Size (um),Vol Conc
0.37,0.15
0.44,0.15
0.52,0.15
0.61,0.15
0.72,0.15
0.85,0.16
1.01,0.21
1.19,0.3
1.4,0.42
1.65,0.51
1.95,0.59
2.3,0.66
2.72,0.72
3.2,0.78
3.78,0.84
4.46,0.94
5.27,1.05
6.21,1.18
7.33,1.35
8.65,1.54
10.21,1.78
12.05,2.08
14.22,2.48
16.78,2.98
19.81,3.55
23.37,4.16
27.58,4.89
32.55,5.79
38.41,7.03
45.32,8.4
53.48,9.83
63.11,11.56
74.48,12.48
87.89,13.34
103.72,13.09
122.39,12.51
144.43,11.78
170.44,11.09
201.13,10.27
237.35,9.74
280.09,9.15
330.52,8.55
390.04,7.62
460.27,7.14
TOTAL,203.29
