Size,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.142,0.146,0.149,0.170,0.167,0.162,0.245,0.177,0.180,0.163,0.256,0.306,0.213,0.194,0.192,0.168,0.144,0.246,0.181,0.340,0.195,0.171
0.44,0.142,0.152,0.155,0.177,0.167,0.168,0.256,0.183,0.193,0.177,0.275,0.331,0.223,0.203,0.200,0.184,0.154,0.256,0.188,0.373,0.210,0.180
0.52,0.149,0.157,0.168,0.183,0.175,0.181,0.276,0.195,0.207,0.198,0.294,0.355,0.242,0.220,0.217,0.200,0.164,0.284,0.207,0.421,0.226,0.190
0.61,0.162,0.163,0.181,0.196,0.192,0.200,0.307,0.214,0.233,0.219,0.322,0.417,0.262,0.238,0.233,0.224,0.175,0.313,0.233,0.486,0.257,0.208
0.72,0.176,0.169,0.200,0.215,0.208,0.220,0.348,0.238,0.267,0.255,0.369,0.478,0.291,0.264,0.267,0.256,0.195,0.350,0.266,0.567,0.296,0.227
0.85,0.196,0.191,0.233,0.246,0.233,0.252,0.399,0.268,0.313,0.297,0.426,0.564,0.330,0.300,0.300,0.296,0.226,0.407,0.305,0.681,0.343,0.265
1.01,0.243,0.236,0.291,0.297,0.292,0.310,0.491,0.323,0.380,0.368,0.521,0.686,0.407,0.370,0.367,0.360,0.277,0.502,0.376,0.843,0.421,0.322
1.19,0.331,0.332,0.407,0.417,0.400,0.433,0.685,0.445,0.527,0.502,0.720,0.956,0.553,0.502,0.508,0.504,0.370,0.691,0.518,1.151,0.584,0.445
1.4,0.473,0.478,0.601,0.606,0.567,0.620,0.992,0.635,0.767,0.729,1.042,1.384,0.795,0.722,0.725,0.728,0.534,1.014,0.745,1.669,0.849,0.635
1.65,0.574,0.590,0.756,0.751,0.692,0.769,1.227,0.775,0.954,0.905,1.288,1.728,0.970,0.872,0.891,0.904,0.647,1.250,0.926,2.075,1.051,0.768
