sample,ST5-D1,ST5-D2,ST5-D3,ST5-D4,ST5-D5,ST5-U1,ST5-U2,ST5-U3,ST5-U4,ST5-U5,ST5-U6,ST5-U7,ST5-U8,ST5-U9,ST5-U10,ST5-U11,ST5-U12,ST4-U1,ST4-U2,ST4-U3,ST4-U4,ST4-U5,ST4-U6,ST4-U7,ST4-U8,ST4-U9,ST4-U10,ST4-U11,ST4-U12,ST4-U13,ST4-U14,ST4-U15,ST4-U16,ST4-U17,ST4-U18,ST4-U19,ST4-U20,ST4-U21,ST4-U22,ST4-U24,ST4-D1,ST4-D2,ST4-D3,ST4-D4,ST4-D5,ST6-U1,ST6-U2,ST6-U3,ST6-U4,ST6-U5,ST6-U6,ST6-U7,ST6-U8,ST6-U9,ST6-U10,ST6-U11,ST6-U12,ST7-U1,ST7-U2,ST7-U3,ST7-U4,ST7-U5,ST7-U6,ST7-U7,ST7-U8,ST7-U9,ST7-D1,ST7-D2,ST7-D3,ST7-D4,ST7-D5,ST7-D6
lab_ID,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,446,447,448,449,450,451,452,-,453,-,454,-,-,455,-,-,-,-,-,-,-,-,-,440,441,442,443,444,476,477,478,479,480,-,-,481,-,482,-,-,490,491,492,-,493,-,494,-,-,484,485,486,-,487,488
19.81,7.4045,4.6394,4.1504,3.13675,2.3823,4.526,3.512,2.8138,2.684,2.45,2.52,2.067,1.436,2.161,2.912,2.206,1.839,10.590,9.923,7.462,4.8658,4.150,3.988,2.736,2.507,2.151,1.7806,1.7802,1.7155,2.7412,2.5072,2.722,2.055,1.2992,2.0682,1.625,1.631,1.612,1.2714,1.109,11.062,10.97,10.426,8.953,5.243,7.2184,4.1076,3.8126,2.965,3.197,2.977,2.568,2.848,2.764,2.667,2.059,2.131,3.897,4.12,3.93,2.190,3.112,2.339,2.658,1.679,2.023,2.972,3.556,3.519,2.976,3.644,2.559
23.37,8.30225,4.9382,4.5902,3.412,2.5083,4.964,3.751,3.0273,2.949,2.722,2.902,2.333,1.652,2.278,3.246,2.382,1.936,12.156,10.690,7.711,5.14,4.278,4.200,2.950,2.673,2.256,1.8776,1.8512,1.8235,3.2878,2.91,3.099,2.3322,1.4976,2.4704,1.842,1.956,1.878,1.462,1.186,12.434,12.201,11.632,10.948,5.6156,8.187,4.794,4.26,3.297,3.622,3.384,3.066,3.211,3.123,2.927,2.340,2.487,4.583,4.70,4.38,2.432,3.559,2.694,3.071,1.994,2.403,3.282,3.963,3.953,3.345,4.333,2.951
27.58,9.35475,5.2708,5.0808,3.679,2.5765,5.449,3.892,3.1428,3.091,2.917,3.181,2.595,1.892,2.327,3.564,2.558,2.01,14.017,11.525,7.941,5.4734,4.392,4.355,3.178,2.777,2.355,1.9852,1.9194,1.933,3.8624,3.3376,3.489,2.635,1.728,2.8666,2.058,2.298,2.141,1.6662,1.219,13.94,13.532,12.875,13.152,5.956,9.3236,5.5876,4.75,3.654,4.080,3.828,3.622,3.585,3.505,3.176,2.634,2.890,5.388,5.26,4.79,2.731,4.079,3.085,3.518,2.387,2.79,3.650,4.430,4.380,3.716,5.027,3.307
32.55,10.3205,5.5844,5.5702,3.9465,2.659,5.999,4.004,3.2243,3.207,3.133,3.469,2.971,2.261,2.409,3.888,2.758,2.125,15.716,12.239,8.050,5.8294,4.501,4.499,3.421,2.873,2.446,2.0944,1.9716,2.03875,4.269,3.8352,3.902,2.9692,2.0704,3.2244,2.273,2.602,2.427,1.8932,1.319,15.27,14.608,13.910,15.014,6.229,10.4646,6.3658,5.2246,4.002,4.525,4.266,4.134,3.887,3.847,3.329,2.883,3.327,6.061,5.51,4.91,2.940,4.468,3.390,3.828,2.704,2.983,3.900,4.764,4.692,4.016,5.635,3.580
38.41,11.3545,5.9716,6.1244,4.32,2.8378,6.742,4.219,3.4075,3.439,3.51,3.914,3.586,2.896,2.614,4.316,3.052,2.351,17.397,13.006,8.160,6.3078,4.682,4.718,3.769,3.074,2.592,2.2564,2.0494,2.1945,4.5784,4.5422,4.451,3.4306,2.6336,3.574,2.564,2.917,2.810,2.1992,1.559,16.528,15.592,14.808,16.499,6.4746,11.7224,7.2432,5.7472,4.417,5.031,4.759,4.727,4.179,4.202,3.505,3.142,3.848,6.579,5.53,4.80,3.064,4.726,3.609,4.006,2.927,2.991,4.035,4.973,5.007,4.269,6.200,3.806
45.32,12.412,6.286,6.589,4.6005,2.928,7.483,4.341,3.56,3.621,3.83,4.171,4.157,3.515,2.739,4.58,3.273,2.515,18.821,13.623,8.136,6.7882,4.791,4.807,4.049,3.269,2.730,2.4014,2.0914,2.32325,4.8924,5.31,4.994,3.9268,3.192,3.7184,2.846,3.178,3.115,2.4942,1.718,17.644,16.268,15.451,17.439,6.7132,13.0982,8.2644,6.2412,4.843,5.498,5.220,5.351,4.505,4.532,3.701,3.459,4.401,6.977,5.46,4.61,3.180,4.856,3.695,4.044,3.150,2.968,4.123,5.093,5.089,4.381,6.581,3.906
53.48,13.0115,6.3862,6.8538,4.77175,2.9775,8.19,4.401,3.6825,3.793,4.079,4.429,4.862,4.188,2.851,4.72,3.433,2.679,19.337,13.708,7.781,7.101,4.763,4.763,4.255,3.451,2.832,2.5028,2.083,2.417,4.9962,6.12,5.494,4.4214,3.881,3.6584,3.085,3.347,3.350,2.7738,1.921,17.983,16.094,15.514,17.380,6.877,14.2238,9.1814,6.5776,5.198,5.840,5.563,5.980,4.728,4.746,3.854,3.726,4.906,7.017,5.14,4.19,3.102,4.699,3.560,3.838,3.197,2.791,3.993,4.945,4.999,4.279,6.628,3.842
63.11,13.5495,6.5884,7.1456,5.0375,3.1138,9.182,4.503,3.8223,3.967,4.395,4.554,5.702,5.187,3.036,4.878,3.686,2.963,19.611,13.830,7.457,7.5542,4.785,4.725,4.613,3.667,3.024,2.7034,2.1296,2.614,4.8346,6.9734,6.025,4.9934,4.9574,3.51,3.364,3.493,3.520,3.0758,2.275,17.933,15.554,15.184,16.572,6.9572,15.2838,9.9578,6.8032,5.535,6.097,5.822,6.462,4.912,4.896,3.910,3.966,5.357,6.759,4.62,3.61,2.838,4.343,3.305,3.484,3.079,2.488,3.700,4.599,4.588,4.019,6.230,3.580
74.48,13.19775,6.298,6.931,4.86225,2.995,9.816,4.353,3.763,3.936,4.258,4.427,6.188,5.479,2.992,4.618,3.585,2.984,18.851,13.067,6.708,7.4548,4.506,4.412,4.649,3.728,3.049,2.6992,2.0148,2.60825,4.5384,7.4252,6.204,5.2658,5.6374,3.118,3.426,3.404,3.404,3.1474,2.380,16.477,13.99,13.894,14.875,6.6018,15.361,10.2442,6.5476,5.535,5.961,5.704,6.621,4.865,4.748,3.789,4.030,5.526,6.170,4.03,3.00,2.421,3.733,2.822,2.920,2.783,2.132,3.228,4.028,3.954,3.526,5.505,3.167
87.89,12.525,6.029,6.633,4.683,2.9575,10.763,4.279,3.7593,3.971,4.179,4.324,6.706,5.804,3.041,4.351,3.474,3.061,17.997,12.272,6.064,7.335,4.297,4.189,4.740,3.854,3.089,2.6982,1.9016,2.61225,4.0972,7.7942,6.346,5.468,6.446,2.7942,3.462,3.227,3.274,3.1838,2.634,14.485,12.299,12.275,12.876,6.041,14.847,10.0626,6.0762,5.398,5.664,5.423,6.560,4.697,4.474,3.594,3.973,5.522,5.298,3.33,2.35,1.864,2.984,2.277,2.284,2.285,1.672,2.619,3.319,3.293,2.965,4.605,2.683
103.72,11.01775,5.3528,5.9354,4.15425,2.6743,11.097,3.87,3.4098,3.595,3.614,3.835,6.455,5.385,2.804,3.803,3.112,2.877,16.421,10.732,5.142,6.6672,3.837,3.695,4.606,3.612,2.937,2.538,1.7002,2.4675,3.4354,7.299,5.903,5.166,6.805,2.3222,3.191,2.814,2.834,2.9288,2.595,11.822,10.021,10.189,10.466,5.2538,13.4474,9.0846,5.2484,4.855,4.975,4.774,6.010,4.232,3.914,3.180,3.647,5.123,4.235,2.58,1.71,1.284,2.185,1.680,1.637,1.719,1.204,1.960,2.557,2.503,2.278,3.467,2.040
122.39,9.468,4.6422,5.1554,3.5645,2.3405,11.215,3.426,3.0775,3.211,3.101,3.295,5.725,4.65,2.496,3.215,2.669,2.559,15.054,9.193,4.322,5.8766,3.370,3.199,4.397,3.337,2.716,2.317,1.4828,2.265,2.939,6.515,5.307,4.6798,6.6406,1.9374,2.883,2.390,2.386,2.6022,2.381,9.672,7.995,8.542,8.715,4.7268,12.1352,7.9582,4.4478,4.250,4.247,4.086,5.378,3.770,3.352,2.789,3.287,4.572,3.259,1.95,1.22,0.817,1.497,1.173,1.109,1.219,0.817,1.394,1.899,1.810,1.664,2.537,1.480
144.43,7.791,3.892,4.3274,2.9885,2.0053,10.924,2.926,2.6325,2.676,2.583,2.666,4.825,3.914,2.166,2.675,2.248,2.239,13.490,7.611,3.545,4.9624,2.876,2.656,4.194,2.903,2.440,2.0714,1.2746,2.037,2.3904,5.4098,4.513,4.011,6.308,1.5884,2.466,1.948,1.922,2.1992,2.133,7.58,6.132,6.847,6.892,4.0152,10.4056,6.592,3.639,3.589,3.512,3.392,4.551,3.215,2.780,2.345,2.825,3.927,2.327,1.35,0.78,0.437,0.921,0.744,0.680,0.753,0.469,0.890,1.308,1.211,1.122,1.692,0.954
170.44,6.23575,3.0778,3.451,2.42525,1.6663,10.032,2.501,2.3275,2.282,2.237,2.165,3.91,3.153,1.859,2.173,1.804,1.85,11.932,6.075,2.812,3.8926,2.285,2.093,3.851,2.518,2.108,1.7674,1.0482,1.74775,2.0478,4.3334,3.726,3.301,5.4876,1.3166,2.084,1.559,1.525,1.7886,1.808,5.782,4.621,5.316,5.436,3.1534,8.4568,5.3954,2.9052,2.975,2.859,2.770,3.863,2.749,2.282,1.999,2.417,3.299,1.581,0.90,0.47,0.203,0.513,0.421,0.376,0.415,0.232,0.517,0.842,0.770,0.702,1.108,0.578
201.13,4.61425,2.2092,2.5414,1.84825,1.2965,8.323,2.031,1.96,1.825,1.874,1.693,3.037,2.383,1.522,1.673,1.363,1.433,9.754,4.479,2.060,2.7416,1.639,1.487,3.278,2.040,1.717,1.4084,0.8064,1.40375,1.6872,3.2176,2.879,2.5288,4.449,1.032,1.641,1.176,1.136,1.3596,1.444,4.169,3.28,3.919,4.052,2.3228,6.439,4.174,2.2228,2.348,2.231,2.171,3.080,2.210,1.789,1.606,1.952,2.647,0.966,0.52,0.24,0.073,0.241,0.197,0.176,0.186,0.087,0.251,0.474,0.428,0.385,0.651,0.296
237.35,3.606,1.775,1.985,1.4145,0.991,7.276,1.635,1.6678,1.434,1.661,1.279,2.31,1.897,1.237,1.286,1.038,1.099,8.304,3.495,1.666,2.1152,1.351,1.203,2.672,1.625,1.393,1.1212,0.616,1.1325,1.429,2.3594,2.209,1.9228,3.606,0.8154,1.299,0.888,0.842,1.0312,1.155,3.211,2.464,3.040,3.202,1.8276,5.0906,3.2436,1.7372,1.863,1.757,1.712,2.546,1.799,1.416,1.320,1.600,2.140,0.550,0.27,0.11,0.020,0.099,0.079,0.072,0.071,0.025,0.103,0.239,0.218,0.190,0.349,0.129
280.09,2.98125,1.725,1.7038,1.025,0.7188,7.082,1.298,1.4243,1.117,1.501,0.971,1.777,1.452,0.987,0.942,0.748,0.803,7.285,2.953,1.586,1.9108,1.482,1.321,1.995,1.261,1.090,0.8392,0.435,0.8605,1.209,1.6996,1.646,1.4236,2.811,0.6186,0.996,0.646,0.605,0.7584,0.912,2.74,1.986,2.656,2.797,1.8254,4.4202,2.4852,1.3968,1.457,1.369,1.333,2.078,1.438,1.099,1.064,1.297,1.728,0.284,0.12,0.04,0.004,0.034,0.025,0.025,0.022,0.005,0.035,0.104,0.096,0.083,0.170,0.048
330.52,2.5525,1.7628,1.5318,0.7425,0.5085,6.87,1.022,1.221,0.858,1.406,0.722,1.367,1.154,0.774,0.687,0.536,0.58,6.453,2.557,1.536,1.7706,1.708,1.515,1.462,0.970,0.848,0.6184,0.2938,0.6435,1.0768,1.26,1.243,1.083,2.2236,0.4714,0.773,0.482,0.445,0.5696,0.724,2.462,1.674,2.413,2.581,1.9212,3.9774,1.9688,1.1876,1.181,1.103,1.076,1.813,1.201,0.890,0.894,1.092,1.445,0.142,0.05,0.01,0.001,0.011,0.007,0.008,0.006,0.001,0.010,0.041,0.039,0.033,0.079,0.016
390.04,2.09075,1.5004,1.2596,0.5595,0.3688,5.605,0.82,1.0375,0.66,1.324,0.561,1.11,0.905,0.613,0.523,0.398,0.432,5.357,2.060,1.267,1.3886,1.540,1.326,1.092,0.805,0.693,0.471,0.2058,0.48125,1.094,0.9912,0.987,0.8636,1.7396,0.3792,0.625,0.391,0.348,0.452,0.574,2.141,1.406,2.105,2.357,1.7774,3.4172,1.7084,1.0802,1.058,0.993,0.972,1.741,1.117,0.811,0.843,1.023,1.317,0.079,0.02,0.01,0.000,0.004,0.002,0.003,0.002,0,0.003,0.018,0.017,0.014,0.039,0.005
460.27,1.84625,1.0736,1.0146,0.5185,0.3213,3.976,0.756,0.9598,0.564,1.381,0.504,1.052,0.832,0.549,0.49,0.36,0.379,4.604,1.699,0.931,0.9784,1.027,0.829,0.950,0.849,0.693,0.4382,0.1824,0.424,1.468,0.962,0.965,0.8464,1.5032,0.3902,0.619,0.420,0.346,0.4458,0.495,2.012,1.296,1.952,2.392,1.4638,3.1004,1.9006,1.189,1.209,1.160,1.141,2.103,1.342,0.975,1.027,1.212,1.452,0.065,0.02,0.00,0.000,0.002,0.001,0.002,0.001,0,0.002,0.012,0.010,0.008,0.027,0.003
