sample,ST5-D1,ST5-D2,ST5-D3,ST5-D4,ST5-D5,ST5-U1,ST5-U2,ST5-U3,ST5-U4,ST5-U5,ST5-U6,ST5-U7,ST5-U8,ST5-U9,ST5-U10,ST5-U11,ST5-U12,ST4-U1,ST4-U2,ST4-U3,ST4-U4,ST4-U5,ST4-U6,ST4-U7,ST4-U8,ST4-U9,ST4-U10,ST4-U11,ST4-U12,ST4-U13,ST4-U14,ST4-U15,ST4-U16,ST4-U17,ST4-U18,ST4-U19,ST4-U20,ST4-U21,ST4-U22,ST4-U24,ST4-D1,ST4-D2,ST4-D3,ST4-D4,ST4-D5,ST6-U1,ST6-U2,ST6-U3,ST6-U4,ST6-U5,ST6-U6,ST6-U7,ST6-U8,ST6-U9,ST6-U10,ST6-U11,ST6-U12,ST7-U1,ST7-U2,ST7-U3,ST7-U4,ST7-U5,ST7-U6,ST7-U7,ST7-U8,ST7-U9,ST7-D1,ST7-D2,ST7-D3,ST7-D4,ST7-D5,ST7-D6
lab_ID,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,446,447,448,449,450,451,452,-,453,-,454,-,-,455,-,-,-,-,-,-,-,-,-,440,441,442,443,444,476,477,478,479,480,-,-,481,-,482,-,-,490,491,492,-,493,-,494,-,-,484,485,486,-,487,488
0.72,0.2155,0.1276,0.107,0.07875,0.064,0.123,0.087,0.0758,0.065,0.065,0.055,0.056,0.038,0.055,0.07,0.064,0.051,0.285,0.299,0.264,0.1588,0.148,0.106,0.072,0.071,0.068,0.0624,0.0608,0.05325,0.0532,0.0612,0.065,0.0472,0.0356,0.0438,0.037,0.034,0.031,0.0308,0.026,0.281,0.299,0.273,0.187,0.1352,0.1774,0.102,0.0926,0.078,0.077,0.073,0.050,0.079,0.073,0.063,0.065,0.059,0.093,0.09,0.09,0.079,0.066,0.052,0.051,0.040,0.046,0.092,0.082,0.054,0.063,0.066,0.062
0.85,0.2455,0.1484,0.1232,0.092,0.0755,0.141,0.102,0.0898,0.076,0.077,0.062,0.063,0.043,0.065,0.082,0.075,0.061,0.325,0.342,0.310,0.1854,0.176,0.125,0.083,0.083,0.081,0.0752,0.0738,0.064,0.0612,0.0682,0.074,0.0534,0.0392,0.0514,0.044,0.039,0.036,0.0364,0.031,0.316,0.337,0.307,0.206,0.155,0.1972,0.1142,0.1058,0.089,0.088,0.084,0.056,0.090,0.084,0.074,0.075,0.067,0.108,0.11,0.10,0.095,0.078,0.062,0.060,0.048,0.057,0.110,0.096,0.064,0.074,0.075,0.074
1.01,0.2975,0.1804,0.1486,0.1115,0.0925,0.169,0.124,0.1085,0.094,0.093,0.073,0.075,0.051,0.08,0.098,0.092,0.075,0.390,0.415,0.378,0.2258,0.216,0.151,0.102,0.102,0.100,0.0922,0.0904,0.07775,0.0728,0.0818,0.090,0.0644,0.0476,0.0628,0.055,0.047,0.043,0.0442,0.038,0.381,0.408,0.369,0.246,0.187,0.2362,0.1366,0.1278,0.108,0.106,0.101,0.067,0.109,0.101,0.090,0.091,0.079,0.133,0.13,0.13,0.117,0.094,0.077,0.073,0.060,0.07,0.135,0.118,0.078,0.090,0.092,0.091
1.19,0.41725,0.254,0.2062,0.15575,0.129,0.232,0.173,0.151,0.13,0.128,0.099,0.102,0.069,0.112,0.136,0.128,0.105,0.544,0.584,0.533,0.319,0.304,0.212,0.142,0.143,0.139,0.129,0.1268,0.10775,0.0994,0.114,0.126,0.0896,0.066,0.0868,0.075,0.065,0.060,0.0594,0.053,0.536,0.574,0.517,0.342,0.2616,0.33,0.19,0.1778,0.152,0.147,0.140,0.092,0.152,0.141,0.125,0.126,0.108,0.187,0.19,0.18,0.165,0.131,0.109,0.102,0.086,0.097,0.191,0.170,0.109,0.128,0.128,0.130
1.4,0.6275,0.3866,0.311,0.2355,0.1945,0.347,0.263,0.2308,0.194,0.19,0.145,0.15,0.098,0.168,0.205,0.192,0.157,0.821,0.890,0.820,0.4914,0.469,0.324,0.216,0.221,0.212,0.1996,0.1982,0.16525,0.149,0.168,0.189,0.1324,0.095,0.1286,0.111,0.094,0.089,0.0866,0.078,0.808,0.866,0.778,0.502,0.3974,0.494,0.2844,0.269,0.229,0.220,0.211,0.136,0.228,0.212,0.188,0.187,0.159,0.289,0.29,0.28,0.258,0.199,0.170,0.158,0.132,0.15,0.296,0.268,0.168,0.196,0.194,0.202
1.65,0.8035,0.499,0.398,0.30225,0.25,0.446,0.34,0.2995,0.249,0.243,0.181,0.188,0.12,0.216,0.262,0.245,0.201,1.056,1.149,1.068,0.641,0.614,0.421,0.278,0.289,0.276,0.2608,0.2624,0.21475,0.1914,0.2118,0.242,0.169,0.117,0.1642,0.141,0.119,0.114,0.109,0.099,1.036,1.115,0.994,0.627,0.5124,0.63,0.3642,0.3474,0.297,0.283,0.271,0.172,0.295,0.273,0.243,0.239,0.200,0.381,0.39,0.37,0.342,0.256,0.224,0.207,0.175,0.196,0.392,0.360,0.220,0.257,0.250,0.266
1.95,0.9755,0.6112,0.482,0.3695,0.306,0.546,0.418,0.3673,0.303,0.295,0.217,0.227,0.144,0.265,0.318,0.298,0.244,1.288,1.403,1.308,0.7874,0.753,0.516,0.342,0.359,0.338,0.323,0.3282,0.26325,0.2322,0.256,0.295,0.2048,0.1402,0.1984,0.171,0.141,0.139,0.1288,0.122,1.256,1.358,1.199,0.741,0.6212,0.7636,0.443,0.4238,0.364,0.344,0.329,0.206,0.359,0.331,0.295,0.287,0.237,0.470,0.48,0.45,0.421,0.309,0.276,0.254,0.216,0.237,0.485,0.454,0.268,0.316,0.303,0.328
2.3,1.1775,0.7468,0.5832,0.453,0.3743,0.667,0.516,0.4543,0.371,0.358,0.266,0.278,0.174,0.324,0.388,0.363,0.299,1.572,1.696,1.586,0.961,0.918,0.632,0.422,0.451,0.419,0.4048,0.4184,0.33,0.2968,0.314,0.363,0.255,0.1684,0.2454,0.217,0.177,0.178,0.1608,0.151,1.518,1.638,1.435,0.875,0.7534,0.9246,0.5466,0.5234,0.450,0.425,0.406,0.256,0.446,0.409,0.366,0.350,0.289,0.591,0.60,0.57,0.536,0.386,0.352,0.329,0.279,0.299,0.615,0.584,0.340,0.400,0.380,0.417
2.72,1.3655,0.8752,0.6764,0.53,0.4343,0.788,0.607,0.5323,0.429,0.411,0.308,0.321,0.196,0.375,0.448,0.417,0.343,1.836,1.980,1.852,1.1266,1.071,0.741,0.491,0.529,0.483,0.471,0.493,0.382,0.3428,0.3594,0.417,0.2904,0.189,0.2762,0.244,0.197,0.203,0.1774,0.170,1.775,1.91,1.671,0.993,0.8822,1.0766,0.6348,0.608,0.521,0.491,0.468,0.333,0.515,0.472,0.491,0.397,0.325,0.688,0.70,0.67,0.625,0.445,0.405,0.383,0.318,0.329,0.722,0.692,0.490,0.466,0.437,0.480
3.2,1.5695,1.016,0.7876,0.619,0.5048,0.924,0.712,0.623,0.503,0.474,0.363,0.382,0.227,0.438,0.522,0.483,0.398,2.129,2.275,2.123,1.3028,1.228,0.865,0.574,0.624,0.563,0.5494,0.5836,0.45,0.4152,0.4196,0.486,0.3434,0.2182,0.3236,0.291,0.237,0.247,0.2112,0.201,2.053,2.195,1.925,1.135,1.0332,1.253,0.7452,0.7142,0.610,0.577,0.548,0.512,0.607,0.553,0.775,0.463,0.377,0.811,0.83,0.81,0.744,0.531,0.481,0.466,0.383,0.384,0.857,0.825,0.851,0.555,0.520,0.562
