LISST-Portable Data File  Created on: Monday, February 07, 2022  16:13:37   Day: 038 
  LISST-Portable Serial number = 606
  Firmware Version 3.013 Aug 10 2021 11:19:30
Date, Time, Optical Transmission, Total Volume Concentration, Total Mass Concentration, Mean Size, Standard Deviation, D5, D10, D16, D25, D50, D60, D75, D84, D90, D95, D60/D10, Surface Area, Silt Volume, Silt Ratio,  0.37,  0.44,  0.52,  0.61,  0.72,  0.85,  1.01,  1.19,  1.40,  1.65,  1.95,  2.30,  2.72,  3.20,  3.78,  4.46,  5.27,  6.21,  7.33,  8.65, 10.21, 12.05, 14.22, 16.78, 19.81, 23.37, 27.58, 32.55, 38.41, 45.32, 53.48, 63.11, 74.48, 87.89,103.72,122.39,144.43,170.44,201.13,237.35,280.09,330.52,390.04,460.27,Sample Note, Operator Name, SOP Name, SOP Note, Optical Model, [real imag], Effective Density, Mixer Speed, Mixer Duration, Ultrasonic Power,Ultrasonic Duration, Average Duration, Single Sample, Manual Control, Battery Voltage, Lref, Lpwr, Reserved, Reserved 
MM/DD/YYYY, HH:MM:SS, %, ul/l, mg/l, microns, microns, microns, microns, microns, microns, microns, microns, microns, microns, microns, microns,No units, m^2/l, ul/l,No units ,ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l,ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, , , , ,No units, ,g/cm^3, %, sec, %, sec, sec,  , No units, volts, counts, counts,  ,  
02/07/2022, 16:13:17,     0.916,   231.371,     0.000,   323.724,   154.126,    33.121,    80.633,   184.690,   268.036,   473.288,   486.503,   507.019,   519.742,   528.401,   535.727,     6.034,     0.039,    22.041,     0.095,     0.345,     0.195,     0.081,     0.023,     0.006,     0.002,     0.003,     0.007,     0.020,     0.060,     0.192,     0.381,     0.558,     0.620,     0.498,     0.388,     0.350,     0.404,     0.517,     0.554,     0.588,     0.687,     0.742,     0.850,     0.964,     1.099,     1.276,     1.496,     1.805,     2.211,     2.527,     2.592,     2.287,     2.064,     1.974,     2.386,     3.462,     5.785,     8.854,    12.241,    12.573,     8.507,    10.085,   139.112, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:30:11,     0.949,    37.184,     0.000,    46.384,    92.455,     3.587,     6.420,    10.213,    17.060,    51.074,    75.858,   126.468,   165.552,   206.612,   276.052,    11.815,     0.170,    22.130,     0.595,     0.038,     0.039,     0.040,     0.041,     0.043,     0.049,     0.063,     0.092,     0.139,     0.185,     0.231,     0.296,     0.333,     0.397,     0.447,     0.529,     0.618,     0.702,     0.783,     0.884,     0.992,     1.068,     1.163,     1.248,     1.318,     1.378,     1.436,     1.460,     1.482,     1.523,     1.530,     1.584,     1.635,     1.778,     1.930,     2.101,     2.016,     1.675,     1.241,     0.899,     0.627,     0.470,     0.377,     0.306, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:31:39,     0.950,    38.568,     0.000,    52.641,    97.480,     3.656,     6.517,    10.438,    17.754,    63.414,   102.070,   157.025,   196.852,   234.446,   285.052,    15.663,     0.164,    20.470,     0.531,     0.038,     0.038,     0.039,     0.040,     0.043,     0.049,     0.064,     0.093,     0.139,     0.184,     0.233,     0.301,     0.342,     0.408,     0.462,     0.546,     0.633,     0.713,     0.789,     0.886,     0.991,     1.057,     1.141,     1.214,     1.270,     1.303,     1.321,     1.285,     1.238,     1.212,     1.176,     1.220,     1.294,     1.524,     1.902,     2.421,     2.605,     2.507,     2.148,     1.660,     1.022,     0.515,     0.269,     0.231, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:32:40,     0.949,    51.363,     0.000,    79.382,   109.092,     4.581,     8.583,    14.534,    27.374,   138.737,   171.353,   210.840,   241.347,   271.640,   316.877,    19.965,     0.127,    19.860,     0.387,     0.048,     0.046,     0.044,     0.042,     0.041,     0.045,     0.061,     0.091,     0.132,     0.177,     0.229,     0.299,     0.345,     0.413,     0.469,     0.554,     0.640,     0.715,     0.786,     0.875,     0.977,     1.043,     1.125,     1.193,     1.241,     1.269,     1.279,     1.233,     1.174,     1.131,     1.073,     1.072,     1.093,     1.246,     1.586,     2.505,     4.326,     6.239,     5.854,     4.315,     2.375,     1.052,     0.502,     0.409, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:34:21,     0.953,    24.699,     0.000,    27.739,    81.224,     2.678,     4.494,     6.743,    10.550,    26.385,    36.323,    61.401,    95.026,   150.169,   248.022,     8.082,     0.238,    19.642,     0.795,     0.025,     0.027,     0.030,     0.036,     0.044,     0.053,     0.068,     0.096,     0.148,     0.194,     0.237,     0.303,     0.337,     0.402,     0.449,     0.531,     0.623,     0.712,     0.791,     0.880,     0.971,     1.023,     1.091,     1.156,     1.209,     1.250,     1.290,     1.275,     1.229,     1.169,     1.052,     0.943,     0.791,     0.668,     0.548,     0.479,     0.432,     0.414,     0.390,     0.379,     0.333,     0.263,     0.192,     0.169, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:35:58,     0.954,    22.965,     0.000,    26.011,    75.561,     2.560,     4.245,     6.366,     9.867,    24.488,    34.011,    58.460,    89.485,   138.348,   228.238,     8.013,     0.252,    18.501,     0.806,     0.023,     0.025,     0.029,     0.034,     0.043,     0.054,     0.069,     0.098,     0.148,     0.195,     0.236,     0.302,     0.333,     0.398,     0.444,     0.526,     0.616,     0.704,     0.780,     0.866,     0.950,     0.997,     1.057,     1.101,     1.131,     1.151,     1.168,     1.136,     1.081,     1.029,     0.931,     0.846,     0.723,     0.616,     0.506,     0.436,     0.390,     0.374,     0.355,     0.338,     0.284,     0.203,     0.133,     0.106, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:37:05,     0.955,    21.240,     0.000,    21.970,    46.483,     2.444,     3.975,     5.923,     9.086,    21.850,    29.820,    48.193,    67.482,    89.916,   130.064,     7.501,     0.270,    18.339,     0.863,     0.022,     0.024,     0.028,     0.034,     0.043,     0.054,     0.068,     0.097,     0.150,     0.195,     0.236,     0.304,     0.336,     0.398,     0.445,     0.526,     0.617,     0.703,     0.776,     0.859,     0.941,     0.983,     1.038,     1.081,     1.111,     1.130,     1.150,     1.123,     1.074,     1.027,     0.928,     0.835,     0.698,     0.573,     0.441,     0.344,     0.265,     0.205,     0.148,     0.103,     0.062,     0.033,     0.016,     0.011, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:38:14,     0.954,    22.196,     0.000,    24.131,    59.299,     2.520,     4.151,     6.213,     9.585,    23.967,    33.428,    54.973,    75.567,   100.757,   155.071,     8.053,     0.260,    18.570,     0.837,     0.026,     0.028,     0.031,     0.036,     0.044,     0.053,     0.067,     0.095,     0.145,     0.191,     0.232,     0.298,     0.331,     0.395,     0.443,     0.525,     0.615,     0.699,     0.771,     0.854,     0.933,     0.973,     1.024,     1.053,     1.073,     1.092,     1.114,     1.112,     1.105,     1.113,     1.081,     1.021,     0.852,     0.671,     0.497,     0.372,     0.288,     0.240,     0.201,     0.165,     0.123,     0.086,     0.065,     0.066, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
02/07/2022, 16:39:30,     0.955,    21.529,     0.000,    22.959,    48.551,     2.462,     4.019,     6.005,     9.271,    23.069,    32.144,    52.915,    72.841,    94.212,   129.151,     7.997,     0.267,    18.215,     0.846,     0.024,     0.026,     0.030,     0.036,     0.044,     0.054,     0.067,     0.094,     0.148,     0.195,     0.235,     0.302,     0.335,     0.399,     0.445,     0.525,     0.612,     0.694,     0.765,     0.846,     0.922,     0.960,     1.006,     1.034,     1.049,     1.064,     1.088,     1.082,     1.066,     1.068,     1.025,     0.975,     0.859,     0.720,     0.535,     0.380,     0.264,     0.187,     0.128,     0.090,     0.061,     0.039,     0.025,     0.027, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,     2.650, 30, 10, 100, 10, 20, 0, 0,     0.000, 0, 0, 30, -1 
