sample,UP68,D11,D8,D7,D16,D9,UP22,UP25,UP8,UP2,UP32,UP24,UP20,GSUT,GSUB,GSLT,GSLB,GSBEDLOAD,GSSIDE,UP77,UP78,UP69,UP84,UP82,UP62,UP71,UP74,UP79,UP81,UP76,UP56,D55,D57,D56,D65,D71,D70,D64,D58,D50,D51,D54,UP33,UP17,UP13,UP57,UP34,UP14,UP48,UP3,UP4,D4,D3,UP1,D2,D1,UP30,UP10,UP9,UP7
lab_ID,334,229,226,225,234,227,242,245,214,191,252,244,240,-,-,-,-,-,-,338,339,335,342,341,328,-,-,-,-,-,309,343,345,344,350,-,356,351,346,323,324,327,253,237,219,310,269,220,291,192,193,207,222,190,206,205,250,216,215,213
0.85,0.035,0.023,0.022,0.054,0.019,0.027,0.018,0.025,0.032,0.036,0.025,0.021,0.031,0.032,0.049,0.046,0.043,0.046,0.036,0.036,0.026,0.087,0.035,0.031,0.045,0.053,0.033,0.043,0.04,0.044,0.025,0.034,0.036,0.03,0.052,0.05,0,0.033,0.021,0.046,0.051,0.041,0.036,0.026,0.023,0.105,0.038,0.023,0.018,0.016,0.021,0.021,0.023,0.051,0.027,0.043,0.018,0.016,0.019,0.049
1.01,0.043,0.029,0.027,0.068,0.024,0.033,0.023,0.032,0.040,0.046,0.031,0.027,0.039,0.039,0.060,0.060,0.055,0.057,0.045,0.045,0.033,0.106,0.044,0.039,0.054,0.062,0.038,0.051,0.048,0.053,0.031,0.039,0.044,0.041,0.062,0.06,0,0.04,0.026,0.055,0.061,0.048,0.044,0.03,0.028,0.128,0.044,0.027,0.020,0.019,0.025,0.025,0.027,0.062,0.036,0.052,0.022,0.020,0.023,0.059
1.19,0.061,0.043,0.037,0.102,0.034,0.048,0.033,0.047,0.058,0.066,0.043,0.038,0.053,0.058,0.089,0.092,0.079,0.084,0.066,0.065,0.047,0.151,0.062,0.058,0.069,0.08,0.046,0.067,0.059,0.069,0.04,0.047,0.058,0.058,0.083,0.082,0,0.052,0.032,0.076,0.078,0.062,0.061,0.041,0.040,0.177,0.059,0.038,0.026,0.026,0.035,0.036,0.037,0.089,0.056,0.075,0.029,0.029,0.032,0.082
1.4,0.092,0.067,0.056,0.164,0.051,0.075,0.051,0.074,0.090,0.104,0.064,0.055,0.080,0.090,0.140,0.149,0.120,0.133,0.104,0.101,0.072,0.232,0.092,0.092,0.098,0.116,0.065,0.097,0.082,0.095,0.059,0.063,0.085,0.089,0.124,0.123,0,0.075,0.044,0.115,0.109,0.092,0.095,0.065,0.064,0.272,0.090,0.061,0.039,0.040,0.056,0.058,0.057,0.138,0.101,0.115,0.045,0.045,0.051,0.123
1.65,0.115,0.08875,0.073,0.220,0.065,0.099,0.068,0.101,0.120,0.139,0.081,0.069,0.101,0.121,0.187,0.204,0.153,0.179,0.140,0.133,0.091,0.301,0.117,0.119,0.119,0.143,0.081,0.118,0.1,0.113,0.076,0.074,0.104,0.116,0.161,0.162,0,0.097,0.057,0.152,0.133,0.119,0.126,0.088,0.090,0.358,0.114,0.085,0.049,0.051,0.073,0.080,0.073,0.183,0.150,0.148,0.056,0.060,0.068,0.158
1.95,0.138,0.11275,0.089,0.284,0.078,0.127,0.085,0.131,0.151,0.174,0.095,0.082,0.122,0.158,0.242,0.262,0.186,0.227,0.178,0.164,0.111,0.370,0.142,0.142,0.14,0.169,0.095,0.133,0.121,0.128,0.094,0.082,0.121,0.146,0.199,0.204,0,0.121,0.069,0.197,0.156,0.149,0.16,0.111,0.124,0.444,0.139,0.116,0.060,0.064,0.092,0.109,0.091,0.235,0.207,0.186,0.067,0.076,0.086,0.191
2.3,0.167,0.1505,0.117,0.373,0.107,0.175,0.120,0.183,0.196,0.227,0.124,0.109,0.156,0.216,0.323,0.340,0.236,0.297,0.236,0.206,0.139,0.459,0.172,0.174,0.178,0.212,0.123,0.162,0.161,0.152,0.131,0.103,0.152,0.194,0.256,0.263,0.006,0.164,0.095,0.258,0.189,0.196,0.204,0.143,0.173,0.548,0.167,0.156,0.072,0.087,0.124,0.156,0.118,0.306,0.287,0.235,0.088,0.108,0.116,0.240
2.72,0.188,0.173,0.130,0.443,0.113,0.205,0.129,0.214,0.221,0.256,0.130,0.117,0.173,0.264,0.390,0.391,0.269,0.347,0.278,0.236,0.156,0.535,0.192,0.197,0.207,0.246,0.139,0.175,0.2,0.167,0.158,0.112,0.166,0.224,0.297,0.312,0.111,0.194,0.105,0.315,0.215,0.243,0.244,0.169,0.219,0.648,0.193,0.198,0.080,0.102,0.151,0.198,0.140,0.378,0.354,0.280,0.100,0.123,0.130,0.273
3.2,0.216,0.2155,0.161,0.540,0.145,0.263,0.169,0.275,0.265,0.311,0.162,0.149,0.212,0.340,0.485,0.462,0.327,0.422,0.346,0.274,0.185,0.620,0.222,0.227,0.256,0.305,0.173,0.205,0.263,0.197,0.217,0.138,0.198,0.274,0.359,0.374,0.487,0.247,0.138,0.385,0.253,0.307,0.294,0.206,0.277,0.747,0.220,0.242,0.091,0.126,0.189,0.253,0.170,0.460,0.429,0.331,0.123,0.161,0.164,0.328
3.78,0.246,0.25175,0.184,0.635,0.162,0.306,0.186,0.316,0.301,0.353,0.184,0.168,0.240,0.410,0.578,0.519,0.383,0.489,0.407,0.313,0.210,0.719,0.250,0.257,0.305,0.368,0.201,0.228,0.327,0.224,0.273,0.159,0.224,0.31,0.416,0.436,0.856,0.29,0.16,0.462,0.29,0.383,0.349,0.25,0.339,0.868,0.259,0.295,0.104,0.144,0.226,0.298,0.195,0.549,0.497,0.385,0.135,0.190,0.188,0.390
