sample_ID,FI,Freshness,HIX,WaterDepth,SampleTime,DOC,fDOM
B1,1.828424043,0.583260426,0.628230643,4.959,3:02:00 PM,4.913,32.36
B2,1.879454326,0.557841536,0.576742014,7.467,3:17:00 PM,6.55,45.55
B4,1.883981572,0.590618337,0.415640356,7,3:47:00 PM,8.035,64.42
B6,1.887218045,0.552685624,0.613949143,7.467,4:17:00 PM,8.691,70.7
B13,1.990235723,0.597811218,0.628230643,7,6:02:00 PM,,73.45
B14,1.95417869,0.556757327,0.492479028,7,6:17:00 PM,8.073,71.92
B17,2.016244381,0.625089734,0.605540251,6.475,7:02:00 PM,,67.8
