Time,,T1,TopTemperature,T2,T3,T4,BottomTemperature,
1626091200,7/12/2021 0:00,,-0.000178138,,-0.000148436,-4.98E-05,-6.59E-05,
1626092100,7/12/2021 0:15,,-0.000177874,,-0.000148507,-4.97E-05,-6.59E-05,
1626093000,7/12/2021 0:30,,-0.000177582,,-0.000148568,-4.96E-05,-6.58E-05,
1626093900,7/12/2021 0:45,,-0.000177303,,-0.000148619,-4.96E-05,-6.57E-05,
1626094800,7/12/2021 1:00,,-0.000176999,,-0.000148657,-4.95E-05,-6.56E-05,
1626095700,7/12/2021 1:15,,-0.000176714,,-0.000148692,-4.94E-05,-6.56E-05,
1626096600,7/12/2021 1:30,,-0.000176421,,-0.000148721,-4.94E-05,-6.55E-05,
1626097500,7/12/2021 1:45,,-0.000176107,,-0.000148746,-4.93E-05,-6.54E-05,
1626098400,7/12/2021 2:00,,-0.000175774,,-0.00014877,-4.92E-05,-6.53E-05,
1626099300,7/12/2021 2:15,,-0.000175436,,-0.000148793,-4.92E-05,-6.52E-05,
1626100200,7/12/2021 2:30,,-0.000175085,,-0.00014881,-4.91E-05,-6.51E-05,
1626101100,7/12/2021 2:45,,-0.000174726,,-0.000148826,-4.91E-05,-6.50E-05,
1626102000,7/12/2021 3:00,,-0.000174367,,-0.000148838,-4.90E-05,-6.49E-05,
1626102900,7/12/2021 3:15,,-0.000174004,,-0.000148852,-4.90E-05,-6.48E-05,
1626103800,7/12/2021 3:30,,-0.000173642,,-0.000148866,-4.89E-05,-6.47E-05,
1626104700,7/12/2021 3:45,,-0.000173274,,-0.000148882,-4.89E-05,-6.46E-05,
1626105600,7/12/2021 4:00,,-0.000172901,,-0.000148899,-4.89E-05,-6.44E-05,
1626106500,7/12/2021 4:15,,-0.000172526,,-0.000148918,-4.89E-05,-6.43E-05,
1626107400,7/12/2021 4:30,,-0.000172152,,-0.00014894,-4.89E-05,-6.42E-05,
1626108300,7/12/2021 4:45,,-0.000171781,,-0.000148969,-4.89E-05,-6.41E-05,
1626109200,7/12/2021 5:00,,-0.000171415,,-0.000149005,-4.89E-05,-6.40E-05,
1626110100,7/12/2021 5:15,,-0.000171053,,-0.000149046,-4.89E-05,-6.38E-05,
1626111000,7/12/2021 5:30,,-0.000170695,,-0.000149094,-4.89E-05,-6.37E-05,
1626111900,7/12/2021 5:45,,-0.000170344,,-0.000149143,-4.89E-05,-6.36E-05,
1626112800,7/12/2021 6:00,,-0.000170002,,-0.0001492,-4.89E-05,-6.35E-05,
1626113700,7/12/2021 6:15,,-0.000169668,,-0.000149261,-4.90E-05,-6.34E-05,
1626114600,7/12/2021 6:30,,-0.000169339,,-0.00014933,-4.90E-05,-6.33E-05,
1626115500,7/12/2021 6:45,,-0.000169015,,-0.000149399,-4.91E-05,-6.32E-05,
1626116400,7/12/2021 7:00,,-0.000168706,,-0.000149474,-4.91E-05,-6.30E-05,
1626117300,7/12/2021 7:15,,-0.000168401,,-0.000149552,-4.92E-05,-6.29E-05,
1626118200,7/12/2021 7:30,,-0.000168103,,-0.00014964,-4.92E-05,-6.28E-05,
1626119100,7/12/2021 7:45,,-0.000167811,,-0.000149731,-4.93E-05,-6.27E-05,
1626120000,7/12/2021 8:00,,-0.000167531,,-0.000149826,-4.94E-05,-6.26E-05,
1626120900,7/12/2021 8:15,,-0.000167263,,-0.000149928,-4.95E-05,-6.25E-05,
1626121800,7/12/2021 8:30,,-0.000167,,-0.000150036,-4.96E-05,-6.24E-05,
1626122700,7/12/2021 8:45,,-0.000166746,,-0.000150148,-4.97E-05,-6.23E-05,
1626123600,7/12/2021 9:00,,-0.000166498,,-0.000150264,-4.98E-05,-6.22E-05,
1626124500,7/12/2021 9:15,,-0.000166257,,-0.000150385,-4.99E-05,-6.21E-05,
1626125400,7/12/2021 9:30,,-0.000166027,,-0.000150509,-5.00E-05,-6.20E-05,
1626126300,7/12/2021 9:45,,-0.0001658,,-0.000150637,-5.01E-05,-6.19E-05,
1626127200,7/12/2021 10:00,,-0.000165584,,-0.000150772,-5.02E-05,-6.18E-05,
1626128100,7/12/2021 10:15,,-0.000165379,,-0.000150913,-5.03E-05,-6.17E-05,
1626129000,7/12/2021 10:30,,-0.00016518,,-0.000151053,-5.04E-05,-6.16E-05,
1626129900,7/12/2021 10:45,,-0.000164989,,-0.000151199,-5.05E-05,-6.15E-05,
1626130800,7/12/2021 11:00,,-0.000164801,,-0.000151335,-5.07E-05,-6.15E-05,
1626131700,7/12/2021 11:15,,-0.000164625,,-0.00015148,-5.08E-05,-6.14E-05,
1626132600,7/12/2021 11:30,,-0.000164456,,-0.00015163,-5.09E-05,-6.13E-05,
1626133500,7/12/2021 11:45,,-0.000164287,,-0.000151777,-5.10E-05,-6.12E-05,
1626134400,7/12/2021 12:00,,-0.000164124,,-0.000151916,-5.12E-05,-6.11E-05,
1626135300,7/12/2021 12:15,,-0.000163967,,-0.000152055,-5.13E-05,-6.10E-05,
1626136200,7/12/2021 12:30,,-0.000163816,,-0.000152198,-5.14E-05,-6.09E-05,
1626137100,7/12/2021 12:45,,-0.000163672,,-0.000152336,-5.16E-05,-6.08E-05,
1626138000,7/12/2021 13:00,,-0.000163533,,-0.000152474,-5.17E-05,-6.07E-05,
1626138900,7/12/2021 13:15,,-0.000163394,,-0.000152611,-5.19E-05,-6.07E-05,
1626139800,7/12/2021 13:30,,-0.000163261,,-0.00015275,-5.20E-05,-6.06E-05,
1626140700,7/12/2021 13:45,,-0.000163135,,-0.000152884,-5.22E-05,-6.05E-05,
1626141600,7/12/2021 14:00,,-0.00016301,,-0.000153016,-5.23E-05,-6.04E-05,
1626142500,7/12/2021 14:15,,-0.000162887,,-0.000153148,-5.25E-05,-6.03E-05,
1626143400,7/12/2021 14:30,,-0.000162772,,-0.000153277,-5.26E-05,-6.02E-05,
1626144300,7/12/2021 14:45,,-0.000162657,,-0.000153404,-5.28E-05,-6.01E-05,
1626145200,7/12/2021 15:00,,-0.000162546,,-0.000153528,-5.29E-05,-6.00E-05,
1626146100,7/12/2021 15:15,,-0.000162434,,-0.000153651,-5.31E-05,-5.99E-05,
1626147000,7/12/2021 15:30,,-0.000162327,,-0.000153773,-5.32E-05,-5.98E-05,
1626147900,7/12/2021 15:45,,-0.000162225,,-0.000153892,-5.34E-05,-5.97E-05,
1626148800,7/12/2021 16:00,,-0.000162127,,-0.00015401,-5.35E-05,-5.96E-05,
1626149700,7/12/2021 16:15,,-0.000162032,,-0.000154125,-5.37E-05,-5.95E-05,
1626150600,7/12/2021 16:30,,-0.000161941,,-0.00015424,-5.38E-05,-5.94E-05,
1626151500,7/12/2021 16:45,,-0.000161854,,-0.000154353,-5.40E-05,-5.93E-05,
1626152400,7/12/2021 17:00,,-0.000161769,,-0.000154465,-5.41E-05,-5.93E-05,
1626153300,7/12/2021 17:15,,-0.000161689,,-0.000154575,-5.43E-05,-5.92E-05,
