,Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average,P4_h_left,P4_h_right,P4_h_average,P6_h_left,P6_h_right,P6_h_average
min,2023-03-02 00:00:00,-0.677878999999848,-0.9719770000001517,-0.797081000000162,-0.8396200000001954,-0.3100960000001578,-0.5606754999998884,-1.5239090000000033,-0.21749599999975544,-1.480735999999979,-0.5087960000000749,-0.37927499999977954,-0.42342500000017935,-0.6496749999996609,-0.5461599999998725,-0.5517424999998184
max,2023-06-18 23:45:00,-0.07146699999975681,-0.23931100000027072,-0.11293000000023312,-0.3520260000000235,0.07111899999972593,-0.16145799999981136,-0.8920750000002045,-0.040516999999908876,-0.4921345000002475,0.10858800000005431,-0.19332000000031258,-0.08204250000017055,-0.25996200000008685,-0.37520500000027823,-0.33511200000020835
mean,2023-04-26 12:58:08.578901504,-0.31802349202867425,-0.6513027400526714,-0.48462374403979147,-0.6912169561146857,-0.13726870440251746,-0.41420815189410587,-1.3283099630007678,-0.13163073672114492,-0.7303842309262583,-0.3750503022738566,-0.2643032130499323,-0.31967675766189446,-0.4860570916873674,-0.44790071408838494,-0.4669633286384854
