,Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average,P4_h_left,P4_h_right,P4_h_average,P6_h_left,P6_h_right,P6_h_average
min,2023-06-19 00:15:00,-0.4962449999998171,-1.016454000000067,-0.9769460000002255,-0.831702999999834,-0.3379880000002231,-0.5705219999999827,-1.4965179999999236,-0.25796500000024025,-1.4196270000002187,-0.38613200000008874,-0.43667299999970055,-0.4105704999997215,-0.6346909999997479,-0.43717000000015105,-0.5225760000000719
max,2023-09-17 23:30:00,-0.26494899999988775,-0.8697519999996075,-0.5805480000001353,-0.7762689999999566,-0.2248939999999493,-0.23735499999975218,-1.3117440000000897,-0.10401599999977407,-0.14195900000004258,-0.35313799999994444,-0.26042699999970864,-0.3089639999998326,-0.5255560000000514,-0.3643480000000636,-0.4527530000000297
mean,2023-08-05 16:57:51.879033856,-0.38533797363036437,-0.9668311588275329,-0.6762096712110821,-0.8037151518527081,-0.290146516927989,-0.5468097013178985,-1.4103763094588517,-0.1667879772727341,-0.7883020024994388,-0.3666824870258892,-0.3811623493013417,-0.37392241816361543,-0.5972023562129855,-0.4029790149901032,-0.5000906856015443
