Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
2023-07-29 14:00:00,9.353,,,,,21.73,19.77,2723.153246,2724.1857,14.424599999983911,19.770000000016807,19.770000000016807
2023-07-29 15:16:00,327.453,,13.905,1.139,446,23.05,37.64,2723.171407266667,2724.2103933333333,16.24072666668326,22.239333333345712,22.239333333345712
2023-07-29 15:31:00,241.809,4.031,11.146,0.778,447,25.6,36.12,2723.1727996,2724.213026666667,16.379959999994753,22.502666666696314,22.502666666696314
2023-07-29 15:46:00,158.525,4.186,7.452,0.531,448,28.44,30.57,2723.1766041333335,2724.21188,16.76041333334979,22.38800000000083,22.38800000000083
2023-07-29 16:01:00,132.472,4.351,7.501,0.684,449,31.24,22.92,2723.1686788,2724.2100066666667,15.967880000016521,22.20066666668572,22.20066666668572
2023-07-29 16:16:00,98.91,4.311,,,450,33.09,18.28,2723.164555266667,2724.2072200000002,15.555526666685182,21.922000000040498,21.922000000040498
2023-07-29 16:31:00,90.357,4.472,5.92,0.411,451,34.41,15.32,2723.1674711333335,2724.205753333333,15.847113333347806,21.775333333334856,21.775333333334856
2023-07-29 16:46:00,84.562,4.663,,,452,35.26,13.42,2723.1626896000002,2724.20082,15.368960000023435,21.282000000019252,21.282000000019252
2023-07-29 17:01:00,69.045,,,,-,36.23,12.15,2723.1640108,2724.1995866666666,15.501080000012735,21.158666666678982,21.158666666678982
2023-07-29 17:16:00,59.01,4.974,2.948,0.197,453,37.12,11.36,2723.159731933333,2724.1978799999997,15.073193333319068,20.98799999998846,20.98799999998846
2023-07-29 17:31:00,50.82,,,,-,37.89,11.64,2723.1607457333334,2724.1961266666667,15.174573333342778,20.81266666668853,20.81266666668853
2023-07-29 17:46:00,42.72,4.939,,,454,38.48,10.72,2723.159664,2724.1949066666666,15.066399999977875,20.690666666678226,20.690666666678226
2023-07-29 18:01:00,48.345,,,,-,38.99,10.14,2723.159430733333,2724.19208,15.043073333299617,20.407999999997628,20.407999999997628
2023-07-29 18:16:00,74.882,,,,-,39.04,9.39,2723.1562816,2724.1904,14.728160000004209,20.240000000012515,20.240000000012515
2023-07-29 18:31:00,98.146,5.252,4.275,0.3,455,42.91,11.43,2723.1577973999997,2724.1902866666665,14.879739999969388,20.22866666666232,20.22866666666232
2023-07-29 18:46:00,91.214,,,,-,40.49,17.37,2723.1560483333333,2724.1887333333334,14.70483333332595,20.07333333335737,20.07333333335737
2023-07-29 19:01:00,74.508,,,,-,38.58,14.93,2723.1546482666668,2724.1892799999996,14.56482666667398,20.127999999976964,20.127999999976964
2023-07-29 19:16:00,81.948,,,,-,36.36,23.72,2723.1576028,2724.1902866666665,14.860279999993509,20.22866666666232,20.22866666666232
2023-07-29 19:31:00,52.01,,,,-,38.06,14.71,2723.153323933333,2724.1888133333337,14.432393333299842,20.081333333382645,20.081333333382645
2023-07-29 19:46:00,52.247,,,,-,37.56,15.71,2723.154415,2724.1902866666665,14.541499999995722,20.22866666666232,20.22866666666232
2023-07-29 20:01:00,48.755,,,,-,36.92,13.76,2723.154570333333,2724.1886200000004,14.557033333312575,20.06200000005265,20.06200000005265
2023-07-29 20:16:00,48.024,,,,-,36.25,14.37,2723.156628333333,2724.1873066666667,14.762833333315939,19.930666666687102,19.930666666687102
2023-07-29 20:31:00,44.088,,,,-,35.44,12.03,2723.1551116666665,2724.184673333333,14.611166666645659,19.6673333333365,19.6673333333365
2023-07-29 20:46:00,0.0,,,,-,34.63,9.42,2723.1568222666665,2724.1857,14.782226666648057,19.770000000016807,19.770000000016807
2023-07-29 21:01:00,37.737,,,,-,33.85,8.76,2723.1575934666666,2724.1857,14.859346666662532,19.770000000016807,19.770000000016807
