Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID,fDOM,Turbidity,P2C_x,P3C_x,P2C_depth_x,P3C_depth_x,depth_x,P2C_y,P3C_y,P2C_depth_y,P3C_depth_y,depth_y,P2C_x.1,P3C_x.1,P2C_depth_x.1,P3C_depth_x.1,depth_x.1,P2C_y.1,P3C_y.1,P2C_depth_y.1,P3C_depth_y.1,depth_y.1,P2C_x,P3C_x,P2C_depth_x,P3C_depth_x,depth_x,P2C_y,P3C_y,P2C_depth_y,P3C_depth_y,depth_y,P2C,P3C,P2C_depth,P3C_depth,depth
2023-08-28 12:20:00,232.052,3.104,12.67,1.193,476,20.59,36.07,2723.1569443333333,2724.1918,14.794433333327106,20.380000000022847,20.380000000022847,2723.1569443333333,2724.1918,14.794433333327106,20.380000000022847,20.380000000022847,2723.1569443333333,2724.1918,14.794433333327106,20.380000000022847,20.380000000022847,2723.1569443333333,2724.1918,14.794433333327106,20.380000000022847,20.380000000022847,2723.1569443333333,2724.1918,14.794433333327106,20.380000000022847,20.380000000022847,2723.1569443333333,2724.1918,14.794433333327106,20.380000000022847,20.380000000022847,2723.1569443333333,2724.1918,14.794433333327106,20.380000000022847,20.380000000022847
2023-08-28 12:35:00,143.896,3.305,6.271,0.464,477,24.21,25.26,2723.1555816666664,2724.1904,14.658166666640682,20.240000000012515,20.240000000012515,2723.1555816666664,2724.1904,14.658166666640682,20.240000000012515,20.240000000012515,2723.1555816666664,2724.1904,14.658166666640682,20.240000000012515,20.240000000012515,2723.1555816666664,2724.1904,14.658166666640682,20.240000000012515,20.240000000012515,2723.1555816666664,2724.1904,14.658166666640682,20.240000000012515,20.240000000012515,2723.1555816666664,2724.1904,14.658166666640682,20.240000000012515,20.240000000012515,2723.1555816666664,2724.1904,14.658166666640682,20.240000000012515,20.240000000012515
2023-08-28 12:50:00,104.006,3.336,5.673,0.694,478,28.86,15.44,2723.154415,2724.1892,14.541499999995722,20.11999999999716,20.11999999999716,2723.154415,2724.1892,14.541499999995722,20.11999999999716,20.11999999999716,2723.154415,2724.1892,14.541499999995722,20.11999999999716,20.11999999999716,2723.154415,2724.1892,14.541499999995722,20.11999999999716,20.11999999999716,2723.154415,2724.1892,14.541499999995722,20.11999999999716,20.11999999999716,2723.154415,2724.1892,14.541499999995722,20.119999999997162,20.119999999997162,2723.154415,2724.1892,14.541499999995722,20.119999999997162,20.119999999997162
2023-08-28 13:05:00,88.144,3.199,4.649,0.622,479,28.53,13.02,2723.153832,2724.1882333333333,14.483199999995122,20.023333333347185,20.023333333347185,2723.153832,2724.1882333333333,14.483199999995122,20.023333333347185,20.023333333347185,2723.153832,2724.1882333333333,14.483199999995122,20.023333333347185,20.023333333347185,2723.153832,2724.1882333333333,14.483199999995122,20.023333333347185,20.023333333347185,2723.153832,2724.1882333333333,14.483199999995122,20.023333333347185,20.023333333347185,2723.153832,2724.1882333333333,14.483199999995122,20.023333333347182,20.023333333347182,2723.153832,2724.1882333333333,14.483199999995122,20.023333333347182,20.023333333347182
2023-08-28 13:20:00,92.256,3.226,5.424,0.63,480,27.67,11.49,2723.154805333333,2724.1874666666668,14.580533333310086,19.94666666669218,19.94666666669218,2723.154805333333,2724.1874666666668,14.580533333310086,19.94666666669218,19.94666666669218,2723.154805333333,2724.1874666666668,14.580533333310086,19.94666666669218,19.94666666669218,2723.154805333333,2724.1874666666668,14.580533333310086,19.94666666669218,19.94666666669218,2723.154805333333,2724.1874666666668,14.580533333310086,19.94666666669218,19.94666666669218,2723.154805333333,2724.1874666666668,14.580533333310086,19.94666666669218,19.94666666669218,2723.154805333333,2724.1874666666668,14.580533333310086,19.94666666669218,19.94666666669218
2023-08-28 13:35:00,87.688,,,,-,26.57,13.39,2723.1573313333333,2724.1884333333333,14.833133333331716,20.04333333334216,20.04333333334216,2723.1573313333333,2724.1884333333333,14.833133333331716,20.04333333334216,20.04333333334216,2723.1573313333333,2724.1884333333333,14.833133333331716,20.04333333334216,20.04333333334216,2723.1573313333333,2724.1884333333333,14.833133333331716,20.04333333334216,20.04333333334216,2723.1573313333333,2724.1884333333333,14.833133333331716,20.04333333334216,20.04333333334216,2723.1573313333333,2724.1884333333333,14.833133333331716,20.04333333334216,20.04333333334216,2723.1573313333333,2724.1884333333333,14.833133333331716,20.04333333334216,20.04333333334216
2023-08-28 13:50:00,95.622,,,,-,26.8,10.99,2723.154409,2724.1853333333333,14.540900000019974,19.73333333335177,19.73333333335177,2723.154409,2724.1853333333333,14.540900000019974,19.73333333335177,19.73333333335177,2723.154409,2724.1853333333333,14.540900000019974,19.73333333335177,19.73333333335177,2723.154409,2724.1853333333333,14.540900000019974,19.73333333335177,19.73333333335177,2723.154409,2724.1853333333333,14.540900000019974,19.73333333335177,19.73333333335177,2723.154409,2724.1853333333333,14.540900000019974,19.733333333351766,19.733333333351766,2723.154409,2724.1853333333333,14.540900000019974,19.733333333351766,19.733333333351766
2023-08-28 14:05:00,82.494,3.206,4.496,0.619,481,26.75,10.75,2723.155575,2724.1846,14.657500000021171,19.66000000002168,19.66000000002168,2723.155575,2724.1846,14.657500000021171,19.66000000002168,19.66000000002168,2723.155575,2724.1846,14.657500000021171,19.66000000002168,19.66000000002168,2723.155575,2724.1846,14.657500000021171,19.66000000002168,19.66000000002168,2723.155575,2724.1846,14.657500000021171,19.66000000002168,19.66000000002168,2723.155575,2724.1846,14.657500000021173,19.660000000021682,19.660000000021682,2723.155575,2724.1846,14.657500000021173,19.660000000021682,19.660000000021682
2023-08-28 14:20:00,77.09,,,,-,26.23,11.79,2723.155965,2724.186133333333,14.69649999999092,19.813333333331684,19.813333333331684,2723.155965,2724.186133333333,14.69649999999092,19.813333333331684,19.813333333331684,2723.155965,2724.186133333333,14.69649999999092,19.813333333331684,19.813333333331684,2723.155965,2724.186133333333,14.69649999999092,19.813333333331684,19.813333333331684,2723.155965,2724.186133333333,14.69649999999092,19.813333333331684,19.813333333331684,2723.155965,2724.186133333333,14.69649999999092,19.813333333331684,19.813333333331684,2723.155965,2724.186133333333,14.69649999999092,19.813333333331684,19.813333333331684
2023-08-28 14:35:00,69.395,3.262,,,482,26.34,11.01,2723.155772,2724.1882333333333,14.67720000000554,20.023333333347185,20.023333333347185,2723.155772,2724.1882333333333,14.67720000000554,20.023333333347185,20.023333333347185,2723.155772,2724.1882333333333,14.67720000000554,20.023333333347185,20.023333333347185,2723.155772,2724.1882333333333,14.67720000000554,20.023333333347185,20.023333333347185,2723.155772,2724.1882333333333,14.67720000000554,20.023333333347185,20.023333333347185,2723.155772,2724.1882333333333,14.677200000005541,20.023333333347182,20.023333333347182,2723.155772,2724.1882333333333,14.677200000005541,20.023333333347182,20.023333333347182
2023-08-28 14:50:00,65.814,,,,-,26.44,10.44,2723.1526596666668,2724.1851333333334,14.365966666673556,19.713333333356783,19.713333333356783,2723.1526596666668,2724.1851333333334,14.365966666673556,19.713333333356783,19.713333333356783,2723.1526596666668,2724.1851333333334,14.365966666673556,19.713333333356783,19.713333333356783,2723.1526596666668,2724.1851333333334,14.365966666673556,19.713333333356783,19.713333333356783,2723.1526596666668,2724.1851333333334,14.365966666673556,19.713333333356783,19.713333333356783,2723.1526596666668,2724.1851333333334,14.365966666673557,19.713333333356786,19.713333333356786,2723.1526596666668,2724.1851333333334,14.365966666673557,19.713333333356786,19.713333333356786
2023-08-28 15:05:00,79.97,,,,-,27.53,10.24,2723.149940333333,2724.181833333333,14.094033333321931,19.38333333337141,19.38333333337141,2723.149940333333,2724.181833333333,14.094033333321931,19.38333333337141,19.38333333337141,2723.149940333333,2724.181833333333,14.094033333321931,19.38333333337141,19.38333333337141,2723.149940333333,2724.181833333333,14.094033333321931,19.38333333337141,19.38333333337141,2723.149940333333,2724.181833333333,14.094033333321931,19.38333333337141,19.38333333337141,2723.1499403333332,2724.1818333333335,14.094033333321931,19.38333333337141,19.38333333337141,2723.1499403333332,2724.1818333333335,14.094033333321931,19.38333333337141,19.38333333337141
2023-08-28 15:20:00,0.0,4.278,,,483,28.3,9.14,2723.150136666666,2724.1808666666666,14.11366666666254,19.28666666667596,19.28666666667596,2723.150136666666,2724.1808666666666,14.11366666666254,19.28666666667596,19.28666666667596,2723.150136666666,2724.1808666666666,14.11366666666254,19.28666666667596,19.28666666667596,2723.150136666666,2724.1808666666666,14.11366666666254,19.28666666667596,19.28666666667596,2723.150136666666,2724.1808666666666,14.11366666666254,19.28666666667596,19.28666666667596,2723.1501366666666,2724.1808666666666,14.113666666662539,19.286666666675956,19.286666666675956,2723.1501366666666,2724.1808666666666,14.113666666662539,19.286666666675956,19.286666666675956
