Date_Time,SS (uL/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),N (mg/L),PP (mg/L),LAB ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
2022-08-08 13:43:00,0.0,,,3.359,1.524,0.0,,102,35.575,4.459,2723.150509466667,2724.2059661999997,14.150946666677555,21.796619999986433,21.796619999986433
2022-08-08 13:58:00,0.0,0.0114741,0.0290394,3.424,1.708,0.0,0.1,103,38.521,5.719,2723.1560269333336,2724.2153322,14.702693333356365,22.73322000000917,22.73322000000917
2022-08-08 14:13:00,,,,,3.059,0.0,,104,41.257,10.917,2723.1653987333334,2724.2243897333333,15.639873333338983,23.638973333345348,23.638973333345348
2022-08-08 14:28:00,204.03,0.0269172,0.0638192,5.279,5.365,0.136,0.11,105,49.596,14.478,2723.1692508,2724.2336480666663,16.02508000000853,24.56480666664902,24.56480666664902
2022-08-08 14:43:00,105.77,,,7.207,5.122,0.203,,106,60.924,22.442,2723.1674913166667,2724.2404466,15.849131666664107,25.244659999998476,25.244659999998476
2022-08-08 14:58:00,,0.0509398,0.0739377,,,,0.17,,64.502,20.366,2723.165012066667,2724.2443326000002,15.60120666667899,25.633260000040536,25.633260000040536
2022-08-08 15:23:00,68.83,,,8.41,2.267,0.298,,107,68.422,13.926,2723.1608799833334,2724.2444902,15.187998333340147,25.649020000037126,25.649020000037126
2022-08-08 16:13:00,36.65,0.0389285,0.040752,8.605,1.972,0.561,0.29,108,72.398,9.508,2723.1567353333335,2724.2399488666665,14.773533333345767,25.194886666668026,25.194886666668026
2022-08-08 16:28:00,25.92,,,8.421,1.872,0.736,,109,73.292,8.677,2723.1552982,2724.2380451999998,14.629819999981919,25.004519999993136,25.004519999993136
2022-08-08 16:43:00,,,,,1.539,0.758,,110,73.353,7.893,2723.1575861333336,2724.2362866666667,14.858613333353787,24.82866666668997,24.82866666668997
2022-08-08 16:58:00,19.05,,,8.183,1.519,0.755,,111,73.981,7.599,2723.1554528666666,2724.2335308666666,14.64528666665501,24.553086666674062,24.553086666674062
2022-08-08 17:28:00,18.36,,,8.042,1.611,0.769,,112,74.143,6.719,2723.154821666667,2724.2313066666666,14.58216666669614,24.330666666674006,24.330666666674006
2022-08-08 17:58:00,,,,,1.741,0.811,,113,76.198,6.122,2723.1532276666667,2724.227538333333,14.422766666666575,23.953833333325747,23.953833333325747
2022-08-08 18:13:00,0.0,,,8.085,1.493,0.754,,114,76.037,5.925,2723.1543189999998,2724.230346133333,14.531899999974485,24.234613333328525,24.234613333328525
2022-08-08 18:28:00,0.0,0.030349,0.0348957,,,,0.06,-,75.451,5.779,2723.153461,2724.2252517333336,14.446099999986473,23.725173333377825,23.725173333377825
2022-08-08 18:58:00,0.0,,,,,,,-,75.421,5.494,2723.1530718,2724.224396,14.40717999998924,23.639600000024075,23.639600000024075
