time,ustar
7/2/2021 17:00,0.064459131
7/2/2021 17:15,0.064324399
7/2/2021 17:30,0.06418975
7/2/2021 17:45,0.064008361
7/2/2021 18:00,0.063824216
7/2/2021 18:15,0.063672593
7/2/2021 18:30,0.063581589
7/2/2021 18:45,0.063600305
7/2/2021 19:00,0.063620766
7/2/2021 19:15,0.063634709
7/2/2021 19:30,0.063649382
7/2/2021 19:45,0.063638827
7/2/2021 20:00,0.063628645
7/2/2021 20:15,0.063618447
7/2/2021 20:30,0.063997528
7/2/2021 20:45,0.064030027
7/2/2021 21:00,0.064062527
7/2/2021 21:15,0.063932532
7/2/2021 21:30,0.063802554
7/2/2021 21:45,0.063683422
7/2/2021 22:00,0.063575209
7/2/2021 22:15,0.063581589
7/2/2021 22:30,0.063588195
7/2/2021 22:45,0.063576414
7/2/2021 23:00,0.063672593
7/2/2021 23:15,0.063672593
7/2/2021 23:30,0.063672593
7/2/2021 23:45,0.063650934
7/3/2021 0:00,0.063629276
7/3/2021 0:15,0.063576414
7/3/2021 0:30,0.063581589
7/3/2021 0:45,0.063593299
7/3/2021 1:00,0.06360571
7/3/2021 1:15,0.063620766
7/3/2021 1:30,0.063636761
7/3/2021 1:45,0.063651538
7/3/2021 2:00,0.063667053
7/3/2021 2:15,0.063688101
7/3/2021 2:30,0.063710403
7/3/2021 2:45,0.063710403
7/3/2021 3:00,0.063710403
7/3/2021 3:15,0.063710403
7/3/2021 3:30,0.063710403
7/3/2021 3:45,0.06373398
7/3/2021 4:00,0.063758851
7/3/2021 4:15,0.063753211
7/3/2021 4:30,0.063747636
7/3/2021 4:45,0.063758851
7/3/2021 5:00,0.063770326
7/3/2021 5:15,0.063803235
7/3/2021 5:30,0.063838161
7/3/2021 5:45,0.063841437
7/3/2021 6:00,0.063844731
7/3/2021 6:15,0.063844731
7/3/2021 6:30,0.063844731
7/3/2021 6:45,0.063858076
7/3/2021 7:00,0.063871695
7/3/2021 7:15,0.063878609
7/3/2021 7:30,0.063885592
7/3/2021 7:45,0.063921557
7/3/2021 8:00,0.063841865
7/3/2021 8:15,0.063895663
7/3/2021 8:30,0.063921557
7/3/2021 8:45,0.063921557
7/3/2021 9:00,0.063921557
7/3/2021 9:15,0.063874141
7/3/2021 9:30,0.063798845
7/3/2021 9:45,0.063745093
7/3/2021 10:00,0.063691366
7/3/2021 10:15,0.063626928
7/3/2021 10:30,0.063562528
7/3/2021 10:45,0.06350889
7/3/2021 11:00,0.063455278
7/3/2021 11:15,0.063412408
7/3/2021 11:30,0.063369556
7/3/2021 11:45,0.063262501
7/3/2021 12:00,0.063155556
7/3/2021 12:15,0.063027371
7/3/2021 12:30,0.062899352
7/3/2021 12:45,0.062856716
7/3/2021 13:00,0.062814099
7/3/2021 13:15,0.06270764
7/3/2021 13:30,0.062601301
7/3/2021 13:45,0.062622559
7/3/2021 14:00,0.062643822
7/3/2021 14:15,0.062601301
7/3/2021 14:30,0.0625588
7/3/2021 14:45,0.062505701
7/3/2021 15:00,0.06353761
7/3/2021 15:15,0.063519275
7/3/2021 15:30,0.063500952
7/3/2021 15:45,0.063491795
7/3/2021 16:00,0.063482641
7/3/2021 16:15,0.063491795
7/3/2021 16:30,0.063500952
7/3/2021 16:45,0.063491795
7/3/2021 17:00,0.063482641
7/3/2021 17:15,0.063464341
7/3/2021 17:30,0.063446054
7/3/2021 17:45,0.063446054
7/3/2021 18:00,0.063446054
7/3/2021 18:15,0.063446054
7/3/2021 18:30,0.063446054
7/3/2021 18:45,0.062505701
7/3/2021 19:00,0.06266509
7/3/2021 19:15,0.062611929
7/3/2021 19:30,0.0625588
7/3/2021 19:45,0.0625588
7/3/2021 20:00,0.0625588
7/3/2021 20:15,0.0625588
7/3/2021 20:30,0.0625588
7/3/2021 20:45,0.062505701
7/3/2021 21:00,0.06353761
7/3/2021 21:15,0.063510112
7/3/2021 21:30,0.063482641
7/3/2021 21:45,0.062473857
7/3/2021 22:00,0.0625588
7/3/2021 22:15,0.0625588
7/3/2021 22:30,0.0625588
7/3/2021 22:45,0.0625588
7/3/2021 23:00,0.0625588
7/3/2021 23:15,0.062537557
7/3/2021 23:30,0.062516319
7/3/2021 23:45,0.062537557
7/4/2021 0:00,0.0625588
7/4/2021 0:15,0.062537557
7/4/2021 0:30,0.062516319
7/4/2021 0:45,0.063500952
7/4/2021 1:00,0.063409515
7/4/2021 1:15,0.06347349
7/4/2021 1:30,0.06353761
7/4/2021 1:45,0.062473857
7/4/2021 2:00,0.062495085
7/4/2021 2:15,0.062473857
7/4/2021 2:30,0.06353761
7/4/2021 2:45,0.063519275
7/4/2021 3:00,0.063500952
7/4/2021 3:15,0.063500952
7/4/2021 3:30,0.063500952
7/4/2021 3:45,0.063546782
7/4/2021 4:00,0.062516319
7/4/2021 4:15,0.062484471
7/4/2021 4:30,0.06353761
7/4/2021 4:45,0.062484471
7/4/2021 5:00,0.062516319
7/4/2021 5:15,0.062537557
7/4/2021 5:30,0.0625588
7/4/2021 5:45,0.062505701
7/4/2021 6:00,0.06353761
7/4/2021 6:15,0.062484471
7/4/2021 6:30,0.062516319
7/4/2021 6:45,0.062505701
