time,ustar,
3/1/2023 0:00,0.071719876,0.267805668
3/1/2023 0:15,0.072184896,0.26867247
3/1/2023 0:30,0.073136679,0.270437939
3/1/2023 0:45,0.073091338,0.270354097
3/1/2023 1:00,0.072498662,0.269255756
3/1/2023 1:15,0.073480001,0.271071948
3/1/2023 1:30,0.074089364,0.272193615
3/1/2023 1:45,0.074438516,0.272834228
3/1/2023 2:00,0.075985844,0.275655299
3/1/2023 2:15,0.07496188,0.273791673
3/1/2023 2:30,0.07514489,0.274125683
3/1/2023 2:45,0.074632273,0.273189079
3/1/2023 3:00,0.075232944,0.274286245
3/1/2023 3:15,0.075536979,0.274839915
3/1/2023 3:30,0.076320356,0.276261391
3/1/2023 3:45,0.075354022,0.274506871
3/1/2023 4:00,0.076249134,0.276132457
3/1/2023 4:15,0.077623489,0.278609923
3/1/2023 4:30,0.075908157,0.27551435
3/1/2023 4:45,0.075795626,0.275310054
3/1/2023 5:00,0.076453573,0.276502392
3/1/2023 5:15,0.076145336,0.275944444
3/1/2023 5:30,0.076093604,0.275850691
3/1/2023 5:45,0.077512859,0.278411313
3/1/2023 6:00,0.07849011,0.280160865
3/1/2023 6:15,0.077295789,0.278021202
3/1/2023 6:30,0.07688727,0.277285539
3/1/2023 6:45,0.077031602,0.277545676
3/1/2023 7:00,0.077390404,0.278191308
3/1/2023 7:15,0.077418353,0.278241537
3/1/2023 7:30,0.079204304,0.281432592
3/1/2023 7:45,0.078601093,0.280358865
3/1/2023 8:00,0.079910114,0.28268377
3/1/2023 8:15,0.078898374,0.280888544
3/1/2023 8:30,0.077341805,0.278103946
3/1/2023 8:45,0.07837265,0.279951156
3/1/2023 9:00,0.077093892,0.277657869
3/1/2023 9:15,0.076922359,0.277348804
3/1/2023 9:30,0.075382358,0.274558478
3/1/2023 9:45,0.074748156,0.27340109
3/1/2023 10:00,0.075159388,0.274152126
3/1/2023 10:15,0.073836427,0.271728591
3/1/2023 10:30,0.073763387,0.271594159
3/1/2023 10:45,0.073170931,0.270501259
3/1/2023 11:00,0.072764396,0.269748765
3/1/2023 11:15,0.07304726,0.270272566
3/1/2023 11:30,0.072726645,0.269678781
3/1/2023 11:45,0.072267392,0.268825951
3/1/2023 12:00,0.072515703,0.269287399
3/1/2023 12:15,0.071897695,0.268137455
3/1/2023 12:30,0.071712489,0.267791876
3/1/2023 12:45,0.071498154,0.267391387
3/1/2023 13:00,0.072220688,0.26873907
3/1/2023 13:15,0.072349896,0.26897936
3/1/2023 13:30,0.071620894,0.267620803
3/1/2023 13:45,0.0721411,0.268590953
3/1/2023 14:00,0.071812192,0.267977969
3/1/2023 14:15,0.071758912,0.26787854
3/1/2023 14:30,0.071482575,0.267362254
3/1/2023 14:45,0.071893772,0.26813014
3/1/2023 15:00,0.071231658,0.266892596
3/1/2023 15:15,0.071108447,0.266661671
3/1/2023 15:30,0.070833442,0.266145528
3/1/2023 15:45,0.070884689,0.266241787
3/1/2023 16:00,0.071515963,0.267424687
3/1/2023 16:15,0.071952085,0.268238858
3/1/2023 16:30,0.070992013,0.266443264
3/1/2023 16:45,0.071254619,0.266935608
3/1/2023 17:00,0.071959166,0.268252057
3/1/2023 17:15,0.071269399,0.266963291
3/1/2023 17:30,0.071312791,0.267044549
3/1/2023 17:45,0.071383493,0.267176895
3/1/2023 18:00,0.071396486,0.267201209
3/1/2023 18:15,0.070627437,0.26575823
3/1/2023 18:30,0.070706354,0.265906664
3/1/2023 18:45,0.071725619,0.26781639
3/1/2023 19:00,0.071437494,0.267277934
3/1/2023 19:15,0.071337287,0.26709041
3/1/2023 19:30,0.071631298,0.26764024
3/1/2023 19:45,0.072044284,0.268410663
3/1/2023 20:00,0.071435658,0.267274499
3/1/2023 20:15,0.071739792,0.267842849
3/1/2023 20:30,0.071590558,0.267564119
3/1/2023 20:45,0.072576775,0.26940077
3/1/2023 21:00,0.071869049,0.268084033
3/1/2023 21:15,0.071820474,0.267993422
3/1/2023 21:30,0.073503015,0.271114395
3/1/2023 21:45,0.073141899,0.27044759
3/1/2023 22:00,0.072896909,0.269994276
3/1/2023 22:15,0.072157041,0.268620627
3/1/2023 22:30,0.072925166,0.2700466
3/1/2023 22:45,0.073041295,0.270261531
3/1/2023 23:00,0.073406162,0.270935716
3/1/2023 23:15,0.072163219,0.268632126
3/1/2023 23:30,0.071683112,0.26773702
3/1/2023 23:45,0.07302881,0.270238432
3/2/2023 0:00,0.072597423,0.26943909
3/2/2023 0:15,0.072656199,0.269548139
3/2/2023 0:30,0.073260036,0.270665912
3/2/2023 0:45,0.073481729,0.271075135
3/2/2023 1:00,0.073255584,0.270657688
3/2/2023 1:15,0.073342118,0.270817499
3/2/2023 1:30,0.073644259,0.271374757
3/2/2023 1:45,0.073242705,0.270633895
3/2/2023 2:00,0.072257533,0.268807613
3/2/2023 2:15,0.073816438,0.271691807
3/2/2023 2:30,0.074108888,0.272229477
3/2/2023 2:45,0.074553779,0.273045379
3/2/2023 3:00,0.074773657,0.273447723
3/2/2023 3:15,0.074416337,0.272793579
3/2/2023 3:30,0.073773224,0.271612268
3/2/2023 3:45,0.074514668,0.27297375
3/2/2023 4:00,0.073433339,0.270985865
3/2/2023 4:15,0.074025142,0.272075618
3/2/2023 4:30,0.073217627,0.270587559
3/2/2023 4:45,0.073814417,0.271688088
3/2/2023 5:00,0.073298907,0.270737709
3/2/2023 5:15,0.07291807,0.270033461
3/2/2023 5:30,0.072405161,0.269082071
3/2/2023 5:45,0.073079967,0.270333067
3/2/2023 6:00,0.073333945,0.27080241
3/2/2023 6:15,0.071321424,0.267060712
3/2/2023 6:30,0.072583133,0.26941257
3/2/2023 6:45,0.072074826,0.268467551
3/2/2023 7:00,0.072787979,0.269792474
3/2/2023 7:15,0.072366014,0.26900932
3/2/2023 7:30,0.072420323,0.269110243
3/2/2023 7:45,0.072573262,0.26939425
3/2/2023 8:00,0.073914466,0.27187215
3/2/2023 8:15,0.07391936,0.271881151
3/2/2023 8:30,0.073773683,0.271613113
3/2/2023 8:45,0.072944611,0.2700826
