Date_Time,U
3/2/2023 17:00,0.061345863
3/2/2023 17:15,0.061345863
3/2/2023 17:30,0.063449037
3/2/2023 17:45,0.065902244
3/2/2023 18:00,0.069944981
3/2/2023 18:15,0.071960603
3/2/2023 18:30,0.077247726
3/2/2023 18:45,0.079868866
3/2/2023 19:00,0.074622393
3/2/2023 19:15,0.079526585
3/2/2023 19:30,0.074151337
3/2/2023 19:45,0.079024427
3/2/2023 20:00,0.080040532
3/2/2023 20:15,0.085211146
3/2/2023 20:30,0.077216627
3/2/2023 20:45,0.074943528
3/2/2023 21:00,0.078372426
3/2/2023 21:15,0.078860535
3/2/2023 21:30,0.078372426
3/2/2023 21:45,0.083953858
3/2/2023 22:00,0.083953858
3/2/2023 22:15,0.088876204
3/2/2023 22:30,0.073540871
3/2/2023 22:45,0.079358868
3/2/2023 23:00,0.09041928
3/2/2023 23:15,0.075581518
3/2/2023 23:30,0.080193052
3/2/2023 23:45,0.095631558
3/3/2023 0:00,0.093546486
3/3/2023 0:15,0.099287138
3/3/2023 0:30,0.092932165
3/3/2023 0:45,0.093546486
3/3/2023 1:00,0.0874826
3/3/2023 1:15,0.098618179
3/3/2023 1:30,0.099729398
3/3/2023 1:45,0.098618179
3/3/2023 2:00,0.098176731
3/3/2023 2:15,0.088041424
3/3/2023 2:30,0.09928332
3/3/2023 2:45,0.088679672
3/3/2023 3:00,0.092928647
3/3/2023 3:15,0.088876204
3/3/2023 3:30,0.092315707
3/3/2023 3:45,0.092315707
3/3/2023 4:00,0.088876204
3/3/2023 4:15,0.098618179
3/3/2023 4:30,0.092520006
3/3/2023 4:45,0.09928332
3/3/2023 5:00,0.098839877
3/3/2023 5:15,0.098176731
3/3/2023 5:30,0.092312198
3/3/2023 5:45,0.098614371
3/3/2023 6:00,0.092928647
3/3/2023 6:15,0.098839877
3/3/2023 6:30,0.098176731
3/3/2023 6:45,0.109407595
3/3/2023 7:00,0.109407595
3/3/2023 7:15,0.104087295
3/3/2023 7:30,0.108670377
3/3/2023 7:45,0.108670377
3/3/2023 8:00,0.105264835
3/3/2023 8:15,0.094158582
3/3/2023 8:30,0.099888372
3/3/2023 8:45,0.098361425
3/3/2023 9:00,0.095422683
3/3/2023 9:15,0.086823428
3/3/2023 9:30,0.095209834
3/3/2023 9:45,0.064796174
3/3/2023 10:00,0.070093548
3/3/2023 10:15,0.062963804
3/3/2023 10:30,0.071816374
3/3/2023 10:45,0.063351646
3/3/2023 11:00,0.071816374
3/3/2023 11:15,0.071264524
3/3/2023 11:30,0.071525536
3/3/2023 11:45,0.059608225
3/3/2023 12:00,0.053138723
3/3/2023 12:15,0.059727428
3/3/2023 12:30,0.061971847
3/3/2023 12:45,0.056419355
3/3/2023 13:00,0.056637277
3/3/2023 13:15,0.060331362
3/3/2023 13:30,0.059033645
3/3/2023 13:45,0.061755628
3/3/2023 14:00,0.055120257
3/3/2023 14:15,0.058692968
3/3/2023 14:30,0.06888168
3/3/2023 14:45,0.06888168
3/3/2023 15:00,0.058806132
3/3/2023 15:15,0.057717301
3/3/2023 15:30,0.058052298
3/3/2023 15:45,0.071264524
3/3/2023 16:00,0.066376616
3/3/2023 16:15,0.059033645
3/3/2023 16:30,0.051687236
3/3/2023 16:45,0.056397158
3/3/2023 17:00,0.063385459
3/3/2023 17:15,0.060372795
3/3/2023 17:30,0.063759445
3/3/2023 17:45,0.066376616
3/3/2023 18:00,0.065577596
3/3/2023 18:15,0.079551357
3/3/2023 18:30,0.066244761
3/3/2023 18:45,0.075477594
3/3/2023 19:00,0.074222896
3/3/2023 19:15,0.09046912
3/3/2023 19:30,0.079013894
3/3/2023 19:45,0.079013894
3/3/2023 20:00,0.074655308
3/3/2023 20:15,0.079013894
3/3/2023 20:30,0.074193308
3/3/2023 20:45,0.079013894
3/3/2023 21:00,0.074655308
3/3/2023 21:15,0.079013894
3/3/2023 21:30,0.083244388
3/3/2023 21:45,0.07884605
3/3/2023 22:00,0.074039675
3/3/2023 22:15,0.070973392
3/3/2023 22:30,0.080686653
3/3/2023 22:45,0.072195322
3/3/2023 23:00,0.075636201
3/3/2023 23:15,0.089108347
3/3/2023 23:30,0.084043555
3/3/2023 23:45,0.083865653
3/4/2023 0:00,0.070973392
3/4/2023 0:15,0.07611355
3/4/2023 0:30,0.079718725
3/4/2023 0:45,0.081555549
3/4/2023 1:00,0.079687336
3/4/2023 1:15,0.09046912
3/4/2023 1:30,0.078046025
3/4/2023 1:45,0.081351503
3/4/2023 2:00,0.091874057
3/4/2023 2:15,0.090073378
3/4/2023 2:30,0.085975608
3/4/2023 2:45,0.086537977
3/4/2023 3:00,0.095607549
3/4/2023 3:15,0.095607549
3/4/2023 3:30,0.095607549
3/4/2023 3:45,0.089874789
3/4/2023 4:00,0.08594258
3/4/2023 4:15,0.095603978
3/4/2023 4:30,0.089874789
3/4/2023 4:45,0.084226209
3/4/2023 5:00,0.095607549
3/4/2023 5:15,0.091908905
3/4/2023 5:30,0.09499108
3/4/2023 5:45,0.088921861
3/4/2023 6:00,0.093648548
3/4/2023 6:15,0.092715374
3/4/2023 6:30,0.091134829
3/4/2023 6:45,0.090633852
3/4/2023 7:00,0.084909202
3/4/2023 7:15,0.089824797
3/4/2023 7:30,0.090350858
3/4/2023 7:45,0.079339018
3/4/2023 8:00,0.082891904
3/4/2023 8:15,0.07920777
3/4/2023 8:30,0.078810712
3/4/2023 8:45,0.075782508
3/4/2023 9:00,0.084094417
3/4/2023 9:15,0.075280446
3/4/2023 9:30,0.075531758
3/4/2023 9:45,0.060393323
3/4/2023 10:00,0.050966647
3/4/2023 10:15,0.069867495
3/4/2023 10:30,0.070291496
3/4/2023 10:45,0.062987945
3/4/2023 11:00,0.070291496
3/4/2023 11:15,0.065436242
3/4/2023 11:30,0.058510501
3/4/2023 11:45,0.054280603
3/4/2023 12:00,0.054602288
3/4/2023 12:15,0.055331149
3/4/2023 12:30,0.059964532
3/4/2023 12:45,0.048295943
3/4/2023 13:00,0.056327417
3/4/2023 13:15,0.052513096
3/4/2023 13:30,0.066238681
3/4/2023 13:45,0.06309134
3/4/2023 14:00,0.064529814
3/4/2023 14:15,0.058603863
3/4/2023 14:30,0.06309134
3/4/2023 14:45,0.062735711
3/4/2023 15:00,0.061326204
3/4/2023 15:15,0.055989421
3/4/2023 15:30,0.061574752
3/4/2023 15:45,0.062342022
3/4/2023 16:00,0.063508817
3/4/2023 16:15,0.058985228
3/4/2023 16:30,0.059350177
3/4/2023 16:45,0.066821753
3/4/2023 17:00,0.06431932
3/4/2023 17:15,0.06431932
3/4/2023 17:30,0.059723927
3/4/2023 17:45,0.071347932
3/4/2023 18:00,0.066821753
3/4/2023 18:15,0.070900215
3/4/2023 18:30,0.0756118
3/4/2023 18:45,0.069359699
3/4/2023 19:00,0.079361749
3/4/2023 19:15,0.073543452
3/4/2023 19:30,0.075144942
3/4/2023 19:45,0.070900215
3/4/2023 20:00,0.078697884
3/4/2023 20:15,0.075144942
3/4/2023 20:30,0.070462797
3/4/2023 20:45,0.078697884
3/4/2023 21:00,0.078697884
3/4/2023 21:15,0.079192432
3/4/2023 21:30,0.074308925
3/4/2023 21:45,0.069214367
3/4/2023 22:00,0.071169392
3/4/2023 22:15,0.065966279
3/4/2023 22:30,0.07043418
3/4/2023 22:45,0.075114893
3/4/2023 23:00,0.070006956
3/4/2023 23:15,0.065436242
3/4/2023 23:30,0.068102225
3/4/2023 23:45,0.065176158
3/5/2023 0:00,0.070291496
3/5/2023 0:15,0.070725351
3/5/2023 0:30,0.075114893
3/5/2023 0:45,0.075114893
3/5/2023 1:00,0.069586177
3/5/2023 1:15,0.073391795
3/5/2023 1:30,0.078372426
3/5/2023 1:45,0.080023879
3/5/2023 2:00,0.069586177
3/5/2023 2:15,0.065566661
3/5/2023 2:30,0.080023879
3/5/2023 2:45,0.082886339
3/5/2023 3:00,0.08235158
3/5/2023 3:15,0.082886339
3/5/2023 3:30,0.072645583
3/5/2023 3:45,0.0806581
3/5/2023 4:00,0.086130399
3/5/2023 4:15,0.082354604
3/5/2023 4:30,0.082354604
3/5/2023 4:45,0.086695962
3/5/2023 5:00,0.074685127
3/5/2023 5:15,0.074685127
3/5/2023 5:30,0.081006545
3/5/2023 5:45,0.087824855
3/5/2023 6:00,0.078210798
3/5/2023 6:15,0.073093497
3/5/2023 6:30,0.083421493
3/5/2023 6:45,0.082886339
3/5/2023 7:00,0.088679672
3/5/2023 7:15,0.084308397
3/5/2023 7:30,0.087292319
3/5/2023 7:45,0.089649363
3/5/2023 8:00,0.079192432
3/5/2023 8:15,0.078210798
3/5/2023 8:30,0.075425675
3/5/2023 8:45,0.079857211
3/5/2023 9:00,0.07772115
3/5/2023 9:15,0.072588783
3/5/2023 9:30,0.071842871
3/5/2023 9:45,0.060207425
3/5/2023 10:00,0.060577925
3/5/2023 10:15,0.058165038
3/5/2023 10:30,0.06321987
3/5/2023 10:45,0.06994243
3/5/2023 11:00,0.058370305
3/5/2023 11:15,0.064661334
3/5/2023 11:30,0.062459135
3/5/2023 11:45,0.06321987
3/5/2023 12:00,0.056441865
3/5/2023 12:15,0.059080036
3/5/2023 12:30,0.056441865
3/5/2023 12:45,0.052407437
3/5/2023 13:00,0.060577925
3/5/2023 13:15,0.060830566
3/5/2023 13:30,0.06800935
3/5/2023 13:45,0.065202469
3/5/2023 14:00,0.064796174
3/5/2023 14:15,0.056213867
3/5/2023 14:30,0.056794751
3/5/2023 14:45,0.056559217
3/5/2023 15:00,0.066540554
3/5/2023 15:15,0.059473059
3/5/2023 15:30,0.056559217
3/5/2023 15:45,0.056912921
3/5/2023 16:00,0.066962808
3/5/2023 16:15,0.052407437
3/5/2023 16:30,0.059473059
3/5/2023 16:45,0.066128128
3/5/2023 17:00,0.062733553
3/5/2023 17:15,0.067587675
3/5/2023 17:30,0.062861341
3/5/2023 17:45,0.06800935
3/5/2023 18:00,0.058864121
3/5/2023 18:15,0.060207425
3/5/2023 18:30,0.06714813
3/5/2023 18:45,0.066745759
3/5/2023 19:00,0.066349458
3/5/2023 19:15,0.066745759
3/5/2023 19:30,0.066745759
3/5/2023 19:45,0.070006956
3/5/2023 20:00,0.075114893
3/5/2023 20:15,0.066745759
3/5/2023 20:30,0.075114893
3/5/2023 20:45,0.063882853
3/5/2023 21:00,0.062117643
3/5/2023 21:15,0.062485203
3/5/2023 21:30,0.0721383
3/5/2023 21:45,0.066773121
3/5/2023 22:00,0.064663611
3/5/2023 22:15,0.067450075
3/5/2023 22:30,0.067450075
3/5/2023 22:45,0.062735711
3/5/2023 23:00,0.066641706
3/5/2023 23:15,0.064532073
3/5/2023 23:30,0.071554392
3/5/2023 23:45,0.06414129
3/6/2023 0:00,0.059610238
3/6/2023 0:15,0.06414129
3/6/2023 0:30,0.068513943
3/6/2023 0:45,0.073543452
3/6/2023 1:00,0.068513943
3/6/2023 1:15,0.063759445
3/6/2023 1:30,0.07199128
3/6/2023 1:45,0.07199128
3/6/2023 2:00,0.067450075
3/6/2023 2:15,0.072438322
3/6/2023 2:30,0.072438322
3/6/2023 2:45,0.067450075
3/6/2023 3:00,0.072438322
3/6/2023 3:15,0.07199128
3/6/2023 3:30,0.067041247
3/6/2023 3:45,0.071554392
3/6/2023 4:00,0.076273968
3/6/2023 4:15,0.076273968
3/6/2023 4:30,0.066641706
3/6/2023 4:45,0.066641706
3/6/2023 5:00,0.071264524
3/6/2023 5:15,0.066641706
3/6/2023 5:30,0.063759445
3/6/2023 5:45,0.071554392
3/6/2023 6:00,0.071120345
3/6/2023 6:15,0.073096048
3/6/2023 6:30,0.06414129
3/6/2023 6:45,0.071382087
3/6/2023 7:00,0.071382087
3/6/2023 7:15,0.068511582
3/6/2023 7:30,0.068929513
3/6/2023 7:45,0.071842871
3/6/2023 8:00,0.067311184
3/6/2023 8:15,0.059845523
3/6/2023 8:30,0.061574752
3/6/2023 8:45,0.065436242
3/6/2023 9:00,0.057171625
3/6/2023 9:15,0.061204419
3/6/2023 9:30,0.064269802
3/6/2023 9:45,0.057081421
3/6/2023 10:00,0.053033666
3/6/2023 10:15,0.054280603
3/6/2023 10:30,0.069893424
3/6/2023 10:45,0.053966338
3/6/2023 11:00,0.062987945
3/6/2023 11:15,0.050286789
3/6/2023 11:30,0.053966338
3/6/2023 11:45,0.060866056
3/6/2023 12:00,0.053966338
3/6/2023 12:15,0.052134177
3/6/2023 12:30,0.052726876
3/6/2023 12:45,0.047742359
3/6/2023 13:00,0.054280603
3/6/2023 13:15,0.060866056
3/6/2023 13:30,0.056504726
3/6/2023 13:45,0.056288573
3/6/2023 14:00,0.056504726
3/6/2023 14:15,0.055968925
3/6/2023 14:30,0.059146433
3/6/2023 14:45,0.059146433
3/6/2023 15:00,0.05618263
3/6/2023 15:15,0.065048684
3/6/2023 15:30,0.060605273
3/6/2023 15:45,0.052406047
3/6/2023 16:00,0.060605273
3/6/2023 16:15,0.060605273
3/6/2023 16:30,0.060842581
3/6/2023 16:45,0.056504726
3/6/2023 17:00,0.060842581
3/6/2023 17:15,0.060842581
3/6/2023 17:30,0.0488071
3/6/2023 17:45,0.060842581
3/6/2023 18:00,0.063008915
3/6/2023 18:15,0.065048684
3/6/2023 18:30,0.060842581
3/6/2023 18:45,0.060488962
3/6/2023 19:00,0.064791546
3/6/2023 19:15,0.067966674
3/6/2023 19:30,0.063632675
3/6/2023 19:45,0.063259497
3/6/2023 20:00,0.067966674
3/6/2023 20:15,0.072496573
3/6/2023 20:30,0.068375173
3/6/2023 20:45,0.063632675
3/6/2023 21:00,0.063632675
3/6/2023 21:15,0.063632675
3/6/2023 21:30,0.072945357
3/6/2023 21:45,0.067966674
3/6/2023 22:00,0.067556027
3/6/2023 22:15,0.067966674
3/6/2023 22:30,0.063259497
3/6/2023 22:45,0.072496573
3/6/2023 23:00,0.060512293
3/6/2023 23:15,0.059491946
3/6/2023 23:30,0.068239783
3/6/2023 23:45,0.071264524
3/7/2023 0:00,0.067966674
3/7/2023 0:15,0.064011569
3/7/2023 0:30,0.072945357
3/7/2023 0:45,0.081035257
3/7/2023 1:00,0.067966674
3/7/2023 1:15,0.068375173
3/7/2023 1:30,0.073391795
3/7/2023 1:45,0.068375173
3/7/2023 2:00,0.066508187
3/7/2023 2:15,0.071408393
3/7/2023 2:30,0.066508187
3/7/2023 2:45,0.073391795
3/7/2023 3:00,0.063632675
3/7/2023 3:15,0.064011569
3/7/2023 3:30,0.06096158
3/7/2023 3:45,0.071408393
3/7/2023 4:00,0.066905524
3/7/2023 4:15,0.064139083
3/7/2023 4:30,0.059608225
