Sieve Size (mm),T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
0.063,49.66879918,61.98331789,65.22277925,56.62615173,63.07531381,61.92637418,47.33680604,49.24289938,73.57335774,55.08709422,46.37936237,48.02185164,45.07933678,57.34108159,58.89760905,47.58788617,64.40026729,59.93661228,56.15664975,59.05731249,57.50309259,52.73298429,47.57937863
0.053,43.54299949,54.36515292,56.57072044,45.43961968,52.44769874,51.54815935,38.34060726,37.74751366,36.79802695,45.38796516,37.72000402,38.67510063,36.47709039,49.97628083,47.58167549,34.48485771,55.01169395,47.32949877,49.28178375,51.42372471,49.34817775,45.63350785,39.43325367
0.038,25.35243164,37.27525487,42.57871909,25.65918447,32.48953975,22.88451841,20.27781688,20.70602993,19.02694033,25.35629454,17.40420396,18.17136285,16.99946515,34.92647059,26.48293484,16.55760158,35.2739726,24.90902688,28.12120346,32.4609233,32.02968884,26.72251309,20.98327074
0.025,11.61184397,22.5115848,34.7828536,11.55410704,18.34728033,7.655068079,6.903186447,10.77860407,3.404422723,13.28846661,2.192497234,2.731454859,4.145123908,19.41413662,8.906734806,2.602343631,16.70564651,5.740110342,6.939183878,10.04483218,9.858216767,10.05235602,5.141686582
