Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.4861,49.98457584,49.98457584,50.01542416
0.038,0.2349,24.15424165,74.13881748,25.86118252
0.025,0.2065,21.23393316,95.37275064,4.627249357
pan,0.045,4.627249357,100,0
TOTAL,0.9725,,,
