Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.1283,23.34425036,23.34425036,76.65574964
0.038,0.1902,34.6069869,57.95123726,42.04876274
0.025,0.1108,20.16011645,78.11135371,21.88864629
pan,0.1203,21.88864629,100,0
TOTAL,0.5496,,,
