Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.0965,19.08245996,19.08245996,80.91754004
0.038,0.2185,43.20743524,62.28989519,37.71010481
0.025,0.1442,28.5149298,90.804825,9.195175005
pan,0.0465,9.195175005,100,0
TOTAL,0.5057,,,
