Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.0822,12.29066986,12.29066986,87.70933014
0.038,0.1844,27.57177033,39.86244019,60.13755981
0.025,0.1593,23.8187799,63.6812201,36.3187799
pan,0.2429,36.3187799,100,0
TOTAL,0.6688,,,
