Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.1074,21.03407756,21.03407756,78.96592244
0.038,0.191,37.40697219,58.44104975,41.55895025
0.025,0.1633,31.98198198,90.42303173,9.576968273
pan,0.0489,9.576968273,100,0
TOTAL,0.5106,,,
