Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.0621,12.84384695,12.84384695,87.15615305
0.038,0.1269,26.24612203,39.08996898,60.91003102
0.025,0.1308,27.05274043,66.14270941,33.85729059
pan,0.1637,33.85729059,100,0
TOTAL,0.4835,,,
