Date_Time,SS (uL/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),N (mg/L),PP (mg/L),LAB_ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
8/3/2022 15:02,206.82,0.0149059,0.099315,4.913,6.784,0.097,0.48,95,33.03,21.59,2723.133916,2724.203287,12.49159333,21.52866,21.52866
8/3/2022 15:17,142.53,0.0715306,0.1012671,6.55,5.715,0.013,0.4,96,47.92,19.97,2723.155489,2724.236409,14.6489,24.84088,24.84088
8/3/2022 15:32,31.82,,,,,,,-,65.64,11.66,2723.154008,2724.23427,14.50084667,24.62704667,24.62704667
8/3/2022 15:47,55.06,0.0543716,0.0856503,8.035,3.149,0,0.14,97,64.42,10.48,2723.150976,2724.229757,14.1976,24.17574667,24.17574667
8/3/2022 16:02,36.44,,,,,,,-,66.67,10.47,2723.151599,2724.227814,14.25985333,23.98140667,23.98140667
8/3/2022 16:17,66.04,,,8.691,2.088,0,,98,70.53,13.01,2723.155256,2724.234504,14.62556667,24.65038,24.65038
8/3/2022 16:32,39.15,,,,,,,-,72.08,16.2,2723.152725,2724.231897,14.3725,24.38966667,24.38966667
8/3/2022 17:02,23.32,,,,,,,-,74.64,13.67,2723.154008,2724.229991,14.50084667,24.19908,24.19908
8/3/2022 17:32,0,,,,,,,-,72.53,11.3,2723.150976,2724.228242,14.1976,24.02416667,24.02416667
8/3/2022 17:47,0,,,,,,,-,74.57,10.57,2723.150976,2724.226259,14.1976,23.82586,23.82586
8/3/2022 18:02,0,,,3.124,5.19,0,,99,73.25,9.67,2723.150587,2724.223071,14.15868,23.5071,23.5071
8/3/2022 18:17,0,0.0286331,0.0446562,8.073,,,0.08,100,71.72,9.15,2723.148057,2724.222057,13.9057,23.4057,23.4057
8/3/2022 18:32,0,,,,,,,-,70.25,8.46,2723.147824,2724.22159,13.88238,23.35904667,23.35904667
8/3/2022 18:47,0,,,,,,,-,68.88,8.09,2723.146231,2724.218325,13.72306667,23.03248,23.03248
8/3/2022 19:02,0,,,3.128,5.459,0,,101,67.64,7.62,2723.145573,2724.21681,13.65733333,22.88103333,22.88103333
8/3/2022 19:17,0,,,,,,,-,66.48,7.48,2723.144335,2724.21643,13.53348,22.84298,22.84298
8/3/2022 19:32,0,,,,,,,-,65.37,7.17,2723.142818,2724.213667,13.38176667,22.56666667,22.56666667
8/3/2022 19:47,0,,,,,,,-,64.4,6.96,2723.142576,2724.21215,13.35756667,22.415,22.415
8/3/2022 20:02,0,,,,,,,-,63.04,6.62,2723.141292,2724.21215,13.22923333,22.415,22.415
8/3/2022 20:17,0,,,,,,,-,60.99,6.49,2723.142653,2724.211761,13.3653,22.37608,22.37608
8/3/2022 20:32,0,,,,,,,-,61.34,6.28,2723.141406,2724.208998,13.24058,22.09978,22.09978
8/3/2022 20:47,0,,,,,,,-,60.36,6.05,2723.139891,2724.207249,13.08913333,21.92488,21.92488
