Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB_ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
9/14/2023 17:52,63.87,5.401,5.339,1.174,484,24.106,13.498,2723.163935,2724.188253,15.49352,20.02533333,20.02533333
9/14/2023 18:07,75.4,4.864,4.613,1.682,485,22.47,13.876,2723.162772,2724.189287,15.37722667,20.12866667,20.12866667
9/14/2023 18:22,70.75,4.632,4.384,0.856,486,23.452,12.424,2723.158577,2724.187067,14.95766667,19.90666667,19.90666667
9/14/2023 18:27,61.61,,,,-,23.33,12.076,2723.1578,2724.1859,14.88,19.79,19.79
9/14/2023 18:37,82.6,4.156,4.11,1.319,487,23.47,11.15,2723.157605,2724.1852,14.86046667,19.72,19.72
9/14/2023 18:52,54.12,3.289,,,488,24.81,9.956,2723.157643,2724.1852,14.86433333,19.72,19.72
9/14/2023 19:09,,8.729,3.764,0.522,489,29.2,8.848,2723.157334,2724.18412,14.8334,19.612,19.612
