distance,elevation
0,2722.281
10,2722.235
20,2722.192
30,2722.15
40,2722.03
50,2721.886
60,2721.809
70,2721.79
80,2721.839
90,2721.947
100,2721.961
110,2721.919
120,2721.896
130,2721.884
140,2721.87
150,2721.901
160,2721.922
170,2721.94
180,2721.981
190,2721.996
200,2721.99
210,2722.041
220,2722.097
230,2722.082
240,2722.089
250,2722.181
260,2722.172
270,2722.187
280,2722.186
290,2722.175
300,2722.177
310,2722.191
320,2722.178
330,2722.186
340,2722.191
350,2722.175
350,2722.372
360,2722.311
370,2722.313
380,2722.31
390,2722.346
400,2722.361
