distance,elevation
0,2736.737
10,2736.727
20,2736.718
30,2736.659
40,2736.493
40,2736.647
50,2736.393
60,2736.409
70,2736.425
80,2736.469
90,2736.477
100,2736.536
110,2736.529
120,2736.535
130,2736.472
140,2736.438
150,2736.441
160,2736.498
170,2736.103
180,2736.257
190,2736.243
200,2736.084
210,2736.128
220,2736.179
230,2736.108
240,2736.082
250,2736.154
260,2736.185
270,2736.182
280,2736.206
290,2736.345
300,2736.321
310,2736.453
320,2736.562
330,2736.574
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
