distance,elevation
0,2723.21
10,2723.206
20,2723.166
30,2723.088
40,2723.071
50,2723.015
60,2723.013
70,2722.995
70,2723.406
80,2723.043
90,2723.034
100,2723.033
110,2723.047
120,2723.084
130,2723.07
140,2723.085
150,2723.083
160,2723.146
170,2723.16
180,2723.117
190,2723.112
200,2723.136
210,2723.146
220,2723.121
230,2723.111
240,2723.116
250,2723.216
260,2723.336
270,2723.37
280,2723.392
290,2723.397
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
