distance,elevation
0,2724.163
10,2724.134
20,2724.119
30,2723.989
40,2723.99
40,2724.179
50,2723.987
60,2723.997
70,2724.019
80,2724.028
90,2724.086
100,2724.095
110,2724.11
120,2724.073
130,2724.099
140,2724.009
150,2723.99
160,2723.999
170,2724.003
180,2723.839
190,2723.79
200,2723.769
210,2723.775
220,2723.799
230,2723.799
240,2723.787
250,2723.811
260,2723.809
270,2723.834
280,2723.839
290,2723.844
300,2723.859
310,2723.82
320,2723.778
330,2723.76
340,2723.724
350,2723.751
360,2723.729
370,2723.765
380,2723.77
390,2723.738
400,2723.747
410,2723.725
420,2723.719
430,2723.802
440,2723.868
450,2723.867
460,2723.88
470,2723.927
480,2723.928
490,2724.239
500,2724.344
510,2724.397
520,2724.374
