Date_Time,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9
3/2/2023 10:30,2721.434851,2721.684399,2722.166226,2723.623936,2732.426551,2734.049745,2734.07849,2735.741724,2735.966787
3/2/2023 10:45,2721.434851,2721.683819,2722.164477,2723.622187,2732.424802,2734.047996,2734.07849,2735.739974,2735.965037
3/2/2023 11:00,2721.436601,2721.687318,2722.167386,2723.625686,2732.429471,2734.051495,2734.08024,2735.742883,2735.970286
3/2/2023 11:15,2721.43835,2721.685568,2722.166226,2723.625686,2732.429471,2734.053244,2734.081989,2735.744633,2735.970286
3/2/2023 11:30,2721.43835,2721.687318,2722.167386,2723.626855,2732.429471,2734.054994,2734.083159,2735.744633,2735.972036
3/2/2023 11:45,2721.43719,2721.684409,2722.167976,2723.625696,2732.426561,2734.052085,2734.081999,2735.744643,2735.969126
3/2/2023 12:00,2721.435441,2721.682659,2722.164477,2723.622197,2732.424812,2734.050335,2734.0785,2735.742893,2735.967377
3/2/2023 12:15,2721.436601,2721.683819,2722.165636,2723.625106,2732.425972,2734.052665,2734.081409,2735.744053,2735.970286
3/2/2023 12:30,2721.436601,2721.683819,2722.165636,2723.626855,2732.427721,2734.053244,2734.083159,2735.747552,2735.972036
3/2/2023 12:45,2721.43835,2721.685568,2722.165636,2723.625106,2732.426551,2734.054414,2734.083159,2735.745803,2735.970286
3/2/2023 13:00,2721.43719,2721.682659,2722.164477,2723.623946,2732.426561,2734.051505,2734.08025,2735.746392,2735.969126
3/2/2023 13:15,2721.43894,2721.687328,2722.167976,2723.625696,2732.428311,2734.053254,2734.081999,2735.748142,2735.970876
3/2/2023 13:30,2721.436601,2721.683819,2722.165636,2723.623356,2732.427721,2734.052665,2734.081409,2735.745803,2735.970286
3/2/2023 13:45,2721.43835,2721.685568,2722.167386,2723.625106,2732.427721,2734.054414,2734.081409,2735.747552,2735.972036
3/2/2023 14:00,2721.43719,2721.684409,2722.164477,2723.622197,2732.424812,2734.051505,2734.08025,2735.742893,2735.967377
3/2/2023 14:15,2721.435441,2721.684409,2722.164477,2723.622197,2732.424812,2734.050335,2734.0785,2735.744643,2735.967377
3/2/2023 14:30,2721.43894,2721.684409,2722.166226,2723.623946,2732.426561,2734.053254,2734.081999,2735.744643,2735.969126
3/2/2023 14:45,2721.43836,2721.685578,2722.166226,2723.625696,2732.426561,2734.053254,2734.081999,2735.746392,2735.970296
3/2/2023 15:00,2721.43836,2721.687328,2722.167396,2723.627445,2732.428311,2734.053254,2734.083749,2735.747562,2735.970296
3/2/2023 15:15,2721.436611,2721.685578,2722.165646,2723.625696,2732.426561,2734.053254,2734.08025,2735.745813,2735.970296
3/2/2023 15:30,2721.44011,2721.690237,2722.167396,2723.628605,2732.429471,2734.055004,2734.083749,2735.749312,2735.972046
3/2/2023 15:45,2721.44011,2721.691407,2722.167396,2723.628605,2732.429471,2734.055004,2734.083159,2735.749312,2735.973795
3/2/2023 16:00,2721.44011,2721.689657,2722.169145,2723.628605,2732.429471,2734.056753,2734.084908,2735.749312,2735.972046
3/2/2023 16:15,2721.43719,2721.686738,2722.164477,2723.623936,2732.426551,2734.052085,2734.07849,2735.745803,2735.969126
3/2/2023 16:30,2721.43719,2721.686738,2722.165646,2723.623936,2732.426551,2734.053254,2734.08024,2735.745803,2735.969126
