Size Class,SM 25th Percentile,SM 50th Percentile,SM 75th Percentile
Coarse Sand,1.1486805707499999,1.703117126,2.779987705
Fine Sand,14.9863134825,19.667539544999997,30.6169922925
Silt,5.5232929945,7.99845744,14.955995625
Clay,0.4103670765,0.571194502,1.147673035
