Date_Time,tau_m
3/1/2023 0:00,10.16464956
3/1/2023 0:15,11.20755585
3/1/2023 0:30,12.30377322
3/1/2023 0:45,12.30377322
3/1/2023 1:00,11.21365238
3/1/2023 1:15,12.29741312
3/1/2023 1:30,13.051008
3/1/2023 1:45,13.051008
3/1/2023 2:00,15.42736491
3/1/2023 2:15,13.43906898
3/1/2023 2:30,14.21704078
3/1/2023 2:45,13.051008
3/1/2023 3:00,14.21704078
3/1/2023 3:15,14.21704078
3/1/2023 3:30,15.42736491
3/1/2023 3:45,13.43244858
3/1/2023 4:00,14.21704078
3/1/2023 4:15,16.26186421
3/1/2023 4:30,13.82557441
3/1/2023 4:45,13.82557441
3/1/2023 5:00,15.0210489
3/1/2023 5:15,15.0210489
3/1/2023 5:30,15.0140864
3/1/2023 5:45,16.25464784
3/1/2023 6:00,17.53866034
3/1/2023 6:15,15.83857048
3/1/2023 6:30,15.0140864
3/1/2023 6:45,15.0140864
3/1/2023 7:00,15.0140864
3/1/2023 7:15,15.0140864
3/1/2023 7:30,17.10799474
3/1/2023 7:45,15.83857048
3/1/2023 8:00,17.10799474
3/1/2023 8:15,15.0140864
3/1/2023 8:30,11.93109919
3/1/2023 8:45,13.81886849
3/1/2023 9:00,11.93109919
3/1/2023 9:15,11.93109919
3/1/2023 9:30,9.168602648
3/1/2023 9:45,10.50533009
3/1/2023 10:00,12.29741312
3/1/2023 10:15,11.20755585
3/1/2023 10:30,11.20755585
3/1/2023 10:45,10.16464956
3/1/2023 11:00,9.493117483
3/1/2023 11:15,11.20755585
3/1/2023 11:30,10.16464956
3/1/2023 11:45,8.528729472
3/1/2023 12:00,10.50533009
3/1/2023 12:15,10.16464956
3/1/2023 12:30,10.16464956
3/1/2023 12:45,9.168602648
3/1/2023 13:00,10.16464956
3/1/2023 13:15,11.20755585
3/1/2023 13:30,9.168602648
3/1/2023 13:45,10.16464956
3/1/2023 14:00,10.17047984
3/1/2023 14:15,10.17047984
3/1/2023 14:30,9.168602648
3/1/2023 14:45,10.16464956
3/1/2023 15:00,7.617253113
3/1/2023 15:15,8.219448006
3/1/2023 15:30,7.318852244
3/1/2023 15:45,8.219448006
3/1/2023 16:00,9.174163341
3/1/2023 16:15,10.85715086
3/1/2023 16:30,8.534108121
3/1/2023 16:45,10.17047984
3/1/2023 17:00,11.21365238
3/1/2023 17:15,10.17047984
3/1/2023 17:30,9.829121908
3/1/2023 17:45,9.829121908
3/1/2023 18:00,9.174163341
3/1/2023 18:15,9.174163341
3/1/2023 18:30,9.829121908
3/1/2023 18:45,10.85715086
3/1/2023 19:00,10.85715086
3/1/2023 19:15,10.85715086
3/1/2023 19:30,10.85715086
3/1/2023 19:45,11.93109919
3/1/2023 20:00,10.85715086
3/1/2023 20:15,11.21365238
3/1/2023 20:30,10.17047984
3/1/2023 20:45,11.93109919
3/1/2023 21:00,10.85715086
3/1/2023 21:15,10.17047984
3/1/2023 21:30,11.93109919
3/1/2023 21:45,12.66876254
3/1/2023 22:00,11.93109919
3/1/2023 22:15,10.85715086
3/1/2023 22:30,11.93109919
3/1/2023 22:45,11.56983896
3/1/2023 23:00,13.051008
3/1/2023 23:15,9.829121908
3/1/2023 23:30,10.16464956
3/1/2023 23:45,12.67520931
3/2/2023 0:00,10.85715086
3/2/2023 0:15,10.85715086
3/2/2023 0:30,12.67520931
3/2/2023 0:45,11.56983896
3/2/2023 1:00,12.67520931
3/2/2023 1:15,12.66876254
3/2/2023 1:30,12.66876254
3/2/2023 1:45,11.56983896
3/2/2023 2:00,10.51124902
3/2/2023 2:15,12.67520931
3/2/2023 2:30,12.67520931
3/2/2023 2:45,13.82557441
3/2/2023 3:00,13.43244858
3/2/2023 3:15,12.29741312
3/2/2023 3:30,11.56365498
3/2/2023 3:45,12.66876254
3/2/2023 4:00,11.56365498
3/2/2023 4:15,12.66876254
3/2/2023 4:30,11.20755585
3/2/2023 4:45,12.29741312
3/2/2023 5:00,11.20755585
3/2/2023 5:15,11.20755585
3/2/2023 5:30,11.20755585
3/2/2023 5:45,12.29741312
3/2/2023 6:00,13.43244858
3/2/2023 6:15,10.16464956
3/2/2023 6:30,12.29741312
3/2/2023 6:45,11.20755585
3/2/2023 7:00,12.29741312
3/2/2023 7:15,11.20755585
3/2/2023 7:30,12.29741312
3/2/2023 7:45,11.20755585
3/2/2023 8:00,13.43244858
3/2/2023 8:15,12.66876254
3/2/2023 8:30,12.66876254
3/2/2023 8:45,11.20755585
3/2/2023 9:00,11.56983896
3/2/2023 9:15,10.85715086
3/2/2023 9:30,10.51124902
3/2/2023 9:45,11.56983896
3/2/2023 10:00,8.848737649
