sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
Clay,0.003403397,0.004677938,0.002966446,0.004385908,0.002787721,0.002767117,0.00491835,0.003117386,0.005876994,0.004587118,0.004510571,0.008003312,0.005123056,0.004034101,0.005832127,0.003864343,0.001935759,0.003482717,0.005147971,0.003845602,0.005927251,0.002568953,0.002912755
Silt,0.02032598,0.028780954,0.018689748,0.027102318,0.018033917,0.016464905,0.028168173,0.018734922,0.033795291,0.027405286,0.028293117,0.046541729,0.028017201,0.022844833,0.031583886,0.023259495,0.012719715,0.020754592,0.036106255,0.025671975,0.035903342,0.016523143,0.017718121
Fine Sand,0.048755019,0.06524299,0.049377353,0.060108037,0.037744585,0.043110314,0.064187843,0.040765452,0.069865114,0.0548065,0.071384018,0.080423567,0.052963519,0.045336956,0.069718289,0.041564793,0.03158602,0.053026395,0.086934091,0.060504078,0.089283575,0.039885217,0.046425744
Coarse Sand,0.927515607,0.901298115,0.928966454,0.90840374,0.941433794,0.937657702,0.902725633,0.937382244,0.890462602,0.913201093,0.895812297,0.865031393,0.913896223,0.927784108,0.892865699,0.931311368,0.953758493,0.9227363,0.871811682,0.909978345,0.868885831,0.941022661,0.932943383
