sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
Clay,0.044862982,0.045587552,0.039878512,0.0467477,0.045354006,0.041099542,0.049294166,0.047942748,0.052577078,0.051075991,0.040737326,0.056995853,0.057620189,0.053576988,0.051676288,0.054028396,0.040131921,0.042478101,0.03864523,0.041655884,0.044084483,0.041952895,0.041163142
Silt,0.267933509,0.28047676,0.251249763,0.288873074,0.29339947,0.244554114,0.282315438,0.288127309,0.30234125,0.305148478,0.255529935,0.331448419,0.315115969,0.303402808,0.279853013,0.325197202,0.26370239,0.253140085,0.271045575,0.278080981,0.267034519,0.269831969,0.250393057
Fine Sand,0.642680152,0.635807349,0.66378905,0.640668251,0.614078503,0.640319796,0.643322455,0.626938335,0.62503103,0.610251534,0.644706424,0.572739023,0.595693002,0.602121289,0.617747674,0.581128441,0.654834495,0.646753613,0.652604359,0.655385287,0.664055081,0.65134736,0.656090079
Coarse Sand,0.044523358,0.038128339,0.045082673,0.023710973,0.047168021,0.07402655,0.025067943,0.036991604,0.020050641,0.033523994,0.059026317,0.038816704,0.031570841,0.040898916,0.050723023,0.039645961,0.041331196,0.057628201,0.03770484,0.02487785,0.024825918,0.036867777,0.052353722
