Date,Depth (m)
2022/07/12 16:00:00,0.2678294117552687
2022/07/12 16:15:00,0.2695838916337889
2022/07/12 16:30:00,0.2666611286616328
2022/07/12 16:45:00,0.26666179381521304
2022/07/12 17:00:00,0.26315658924697866
2022/07/12 17:15:00,0.2649086193799455
2022/07/12 17:30:00,0.2649080783926494
2022/07/12 17:45:00,0.26490692735585075
2022/07/12 18:00:00,0.26373348346706793
2022/07/12 18:15:00,0.2678271083171345
2022/07/12 18:30:00,0.2666537169503099
2022/07/12 18:45:00,0.2637283354754473
2022/07/12 19:00:00,0.2648981794761696
2022/07/12 19:15:00,0.26840097649233413
2022/07/12 19:30:00,0.26373403300634357
2022/07/12 19:45:00,0.2683983315470605
2022/07/12 20:00:00,0.265483910406593
2022/07/12 20:15:00,0.2666541548266302
2022/07/12 20:30:00,0.26665312128039614
2022/07/12 20:45:00,0.265480804068335
2022/07/12 21:00:00,0.26430865486818167
2022/07/12 21:15:00,0.2643078918313388
2022/07/12 21:30:00,0.26371658633921163
2022/07/12 21:45:00,0.2660583485916775
2022/07/12 22:00:00,0.26430598993353643
2022/07/12 22:15:00,0.26488605905866247
2022/07/12 22:30:00,0.26605678504579394
2022/07/12 22:45:00,0.26605631480642855
2022/07/12 23:00:00,0.26722696331322615
2022/07/12 23:15:00,0.2643036780457902
2022/07/12 23:30:00,0.26605493935629054
2022/07/12 23:45:00,0.26430276695702115
2022/07/13 0:00:00,0.2631311832218021
2022/07/13 0:15:00,0.26488249084458204
2022/07/13 0:30:00,0.26780480133730733
2022/07/13 0:45:00,0.2654621155305322
2022/07/13 1:00:00,0.2643005689553708
2022/07/13 1:15:00,0.26546125475317794
2022/07/13 1:30:00,0.265460870893005
2022/07/13 1:45:00,0.26429946426023865
2022/07/13 2:00:00,0.2654701471176019
2022/07/13 2:15:00,0.2654698329935083
2022/07/13 2:30:00,0.26371788760859255
2022/07/13 2:45:00,0.2619659228724843
2022/07/13 3:00:00,0.261965486893417
2022/07/13 3:15:00,0.26546816929923595
2022/07/13 3:30:00,0.26546785517514226
2022/07/13 3:45:00,0.2654674712456945
2022/07/13 4:00:00,0.26546695933976405
2022/07/13 4:15:00,0.2654664939707364
2022/07/13 4:30:00,0.26429505686832544
2022/07/13 4:45:00,0.2625430523592069
2022/07/13 5:00:00,0.2637035530212573
2022/07/13 5:15:00,0.26254224780904517
2022/07/13 5:30:00,0.26545420568457456
2022/07/13 5:45:00,0.2654536938710126
2022/07/13 6:00:00,0.2660438534632848
2022/07/13 6:15:00,0.26370171686669674
2022/07/13 6:30:00,0.26429186805763893
2022/07/13 6:45:00,0.26429172000571416
2022/07/13 7:00:00,0.2625403741990781
2022/07/13 7:15:00,0.26370163801343344
2022/07/13 7:30:00,0.26254133304653104
2022/07/13 7:45:00,0.26138123888961645
2022/07/13 8:00:00,0.26429419133399623
2022/07/13 8:15:00,0.2607920114734068
2022/07/13 8:30:00,0.263125054575378
2022/07/13 8:45:00,0.26079438728431814
2022/07/13 9:00:00,0.26429840511954633
2022/07/13 9:15:00,0.2625478686389405
2022/07/13 9:30:00,0.2643010928314107
2022/07/13 9:45:00,0.2625512080731733
2022/07/13 10:00:00,0.2625544042313499
2022/07/13 10:15:00,0.26196811909024453
2022/07/13 10:30:00,0.26256227339320537
2022/07/13 10:45:00,0.26256602061313655
2022/07/13 11:00:00,0.2608191468563277
2022/07/13 11:15:00,0.2625767773385861
2022/07/13 11:30:00,0.2573235036902712
2022/07/13 11:45:00,0.25908016577333953
2022/07/13 12:00:00,0.2590838997677916
2022/07/13 12:15:00,0.2602580832339282
2022/07/13 12:30:00,0.25791565173217973
2022/07/13 12:45:00,0.25909011280538435
2022/07/13 13:00:00,0.2608412642709083
2022/07/13 13:15:00,0.2579124988990031
2022/07/13 13:30:00,0.25908188361651735
2022/07/13 13:45:00,0.2590797543138961
2022/07/13 14:00:00,0.2573254875125862
2022/07/13 14:15:00,0.25907772787613875
2022/07/13 14:30:00,0.25907656550321106
2022/07/13 14:45:00,0.2619987629957363
2022/07/13 15:00:00,0.25907214231419423
2022/07/13 15:15:00,0.25907139140071
2022/07/13 15:30:00,0.25732102391237555
2022/07/13 15:45:00,0.25907615404376616
2022/07/13 16:00:00,0.2590778718869425
2022/07/13 16:15:00,0.26024062096492295
2022/07/13 16:30:00,0.2584881537612631
2022/07/13 16:45:00,0.2602407683849635
2022/07/13 17:00:00,0.259658793635811
2022/07/13 17:15:00,0.2584955880645694
2022/07/13 17:30:00,0.2579031006446931
2022/07/13 17:45:00,0.2584918271153282
2022/07/13 18:00:00,0.2584898653228847
2022/07/13 18:15:00,0.25964990499501456
2022/07/13 18:30:00,0.2584769037316287
2022/07/13 18:45:00,0.2602279849614455
2022/07/13 19:00:00,0.26315238833843124
2022/07/13 19:15:00,0.2631494577311411
2022/07/13 19:30:00,0.26314797571300585
2022/07/13 19:45:00,0.263146527123851
2022/07/13 20:00:00,0.2613929652806225
2022/07/13 20:15:00,0.2631438528054099
2022/07/13 20:30:00,0.2631426605051056
2022/07/13 20:45:00,0.2631413567748663
2022/07/13 21:00:00,0.2637309120885645
2022/07/13 21:15:00,0.26197783600050256
2022/07/13 21:30:00,0.2654806528234025
2022/07/13 21:45:00,0.262556465202312
2022/07/13 22:00:00,0.2625555063548605
2022/07/13 22:15:00,0.2643066049184546
2022/07/13 22:30:00,0.2660575609407429
2022/07/13 22:45:00,0.2643050788447689
2022/07/13 23:00:00,0.2660561972465876
2022/07/13 23:15:00,0.2608004280232734
2022/07/13 23:30:00,0.26255164892257693
