Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB_ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
9/14/2023 17:45,95.963,8.705,5.137,0.565,490,24.63,12.23,2723.162573,2724.1869,15.3573,19.89,19.89
9/14/2023 18:00,80.18,3.151,4.194,1.612,491,23.71,14.09,2723.165492,2724.1898,15.6492,20.18,20.18
9/14/2023 18:15,70.51,2.312,4.185,0.41,492,21.5,13.07,2723.159664,2724.1887,15.0664,20.07,20.07
9/14/2023 18:30,48.22,,,,-,23.3,11.86,2723.157334,2724.1852,14.8334,19.72,19.72
9/14/2023 18:45,64.437,0.743,2.966,0.497,493,24.57,10.54,2723.157914,2724.1852,14.8914,19.72,19.72
9/14/2023 19:00,48.583,,,,-,27.55,9.42,2723.157334,2724.1852,14.8334,19.72,19.72
9/14/2023 19:15,46.07,0,,,494,29.13,8.47,2723.157334,2724.1834,14.8334,19.54,19.54
9/14/2023 19:30,41.417,,,,-,29.68,7.82,2723.156165,2724.184,14.7165,19.6,19.6
9/14/2023 19:45,39.3,,,,-,31.54,7.18,2723.154415,2724.1822,14.5415,19.42,19.42
9/14/2023 20:00,,0,4.745,1.016,495,32.79,6.55,2723.156165,2724.1805,14.7165,19.25,19.25
