Date/time,Pressure[cmH2O],Barometric[cmH2O],CompPressure[cmH2O]
3/1/2022 12:15,754.375,752.158,2.217
3/1/2022 12:30,754.258,751.983,2.275
3/1/2022 12:45,754.083,751.692,2.391
3/1/2022 13:00,753.792,751.517,2.275
3/1/2022 13:15,753.617,751.342,2.275
3/1/2022 13:30,753.617,751.342,2.275
3/1/2022 13:45,753.5,751.225,2.275
3/1/2022 14:00,753.325,751.225,2.1
3/1/2022 14:15,753.325,750.875,2.45
3/1/2022 14:30,753.033,750.875,2.158
3/1/2022 14:45,753.15,750.758,2.392
3/1/2022 15:00,752.858,750.583,2.275
3/1/2022 15:15,753.15,750.583,2.567
3/1/2022 15:30,753.033,750.408,2.625
3/1/2022 15:45,752.858,750.583,2.275
3/1/2022 16:00,753.033,750.583,2.45
3/1/2022 16:15,753.033,750.758,2.275
3/1/2022 16:30,753.033,750.758,2.275
3/1/2022 16:45,753.033,750.583,2.45
3/1/2022 17:00,753.033,750.583,2.45
3/1/2022 17:15,753.033,750.758,2.275
3/1/2022 17:30,753.033,750.758,2.275
3/1/2022 17:45,753.15,750.583,2.567
3/1/2022 18:00,753.033,750.583,2.45
3/1/2022 18:15,753.325,750.758,2.567
3/1/2022 18:30,753.15,750.583,2.567
3/1/2022 18:45,753.325,750.583,2.742
3/1/2022 19:00,753.5,750.583,2.917
3/1/2022 19:15,753.5,750.758,2.742
3/1/2022 19:30,753.617,750.758,2.859
3/1/2022 19:45,753.967,750.875,3.092
3/1/2022 20:00,753.967,751.05,2.917
3/1/2022 20:15,754.258,751.05,3.208
3/1/2022 20:30,753.792,751.05,2.742
3/1/2022 20:45,754.083,751.225,2.858
3/1/2022 21:00,754.083,751.342,2.741
3/1/2022 21:15,754.375,751.342,3.033
3/1/2022 21:30,754.258,751.342,2.916
3/1/2022 21:45,754.258,751.517,2.741
3/1/2022 22:00,754.55,751.517,3.033
3/1/2022 22:15,754.55,751.692,2.858
3/1/2022 22:30,754.55,751.517,3.033
3/1/2022 22:45,754.725,751.692,3.033
3/1/2022 23:00,754.375,751.692,2.683
3/1/2022 23:15,754.55,751.692,2.858
3/1/2022 23:30,754.55,751.692,2.858
3/1/2022 23:45,754.725,751.692,3.033
3/2/2022 0:00,754.55,751.517,3.033
3/2/2022 0:15,754.55,751.517,3.033
3/2/2022 0:30,754.375,751.692,2.683
3/2/2022 0:45,754.375,751.692,2.683
3/2/2022 1:00,754.55,751.517,3.033
3/2/2022 1:15,754.375,751.692,2.683
3/2/2022 1:30,754.725,751.692,3.033
3/2/2022 1:45,754.725,751.517,3.208
3/2/2022 2:00,754.725,751.692,3.033
3/2/2022 2:15,754.725,751.342,3.383
3/2/2022 2:30,754.725,751.692,3.033
3/2/2022 2:45,754.725,751.692,3.033
3/2/2022 3:00,754.55,751.517,3.033
3/2/2022 3:15,754.55,751.517,3.033
3/2/2022 3:30,754.55,751.517,3.033
3/2/2022 3:45,754.375,751.342,3.033
3/2/2022 4:00,754.083,751.225,2.858
3/2/2022 4:15,754.083,751.05,3.033
3/2/2022 4:30,753.967,751.05,2.917
3/2/2022 4:45,753.967,751.05,2.917
3/2/2022 5:00,754.083,751.05,3.033
3/2/2022 5:15,754.375,751.225,3.15
3/2/2022 5:30,754.258,751.05,3.208
3/2/2022 5:45,754.083,751.05,3.033
3/2/2022 6:00,754.258,751.225,3.033
3/2/2022 6:15,754.083,750.875,3.208
3/2/2022 6:30,754.083,751.05,3.033
3/2/2022 6:45,754.258,751.225,3.033
3/2/2022 7:00,754.375,751.225,3.15
3/2/2022 7:15,754.375,751.225,3.15
3/2/2022 7:30,754.375,751.225,3.15
3/2/2022 7:45,754.55,751.517,3.033
3/2/2022 8:00,754.55,751.517,3.033
