Size,Avg,D25,D50,D75,Class
0.37,0.005058611,0.003370315,0.004272164,0.006329884,C
0.44,0.005367884,0.003556073,0.004559816,0.006697678,C
0.52,0.005859451,0.003853708,0.004995849,0.007298508,C
0.61,0.006577595,0.004285218,0.005639804,0.008132373,C
0.72,0.00758291,0.004882157,0.006522647,0.009394334,C
0.85,0.008942658,0.005709295,0.00774824,0.011108959,C
1.01,0.011119083,0.007075269,0.009690493,0.013899404,C
1.19,0.015419769,0.009824211,0.013471135,0.019298641,C
1.4,0.022382907,0.01424231,0.019609486,0.027858361,C
1.65,0.027841291,0.017681181,0.024511857,0.034515818,C
1.95,0.032170433,0.020432015,0.028582323,0.03975049,C
2.3,0.036335069,0.02308819,0.032648613,0.044824338,S
2.72,0.039286855,0.024961669,0.035531982,0.048189546,S
3.2,0.041662753,0.026449076,0.03796222,0.050987412,S
3.78,0.044195329,0.028006034,0.040423792,0.05367519,S
4.46,0.047555892,0.030090827,0.043539706,0.057716206,S
5.27,0.050990666,0.032279161,0.046634847,0.061747126,S
6.21,0.054765871,0.034807234,0.05004158,0.066175342,S
7.33,0.058719696,0.037565283,0.053500245,0.07085146,S
8.65,0.063026899,0.041254565,0.05715625,0.07595354,S
10.21,0.068678592,0.046047331,0.062193645,0.082910072,S
12.05,0.075437505,0.051667658,0.068321609,0.091403308,S
14.22,0.085659772,0.059770035,0.077648579,0.104197582,S
16.78,0.098912542,0.070003256,0.090029144,0.120503947,S
19.81,0.115359149,0.082909627,0.105432146,0.140116095,S
23.37,0.134377103,0.098520207,0.123494061,0.160701469,S
27.58,0.156936546,0.118049556,0.141673902,0.183383616,S
32.55,0.178023896,0.135963128,0.159916101,0.206141611,S
38.41,0.195723648,0.14506662,0.178709755,0.22512807,S
45.32,0.206335612,0.148893794,0.190051007,0.237921681,S
53.48,0.201280991,0.141677406,0.186576178,0.234990831,S
63.11,0.190551677,0.130844065,0.174911867,0.224783133,FS
74.48,0.164904105,0.111825174,0.152267451,0.196036192,FS
87.89,0.138549708,0.092067135,0.130291421,0.165522916,FS
103.72,0.110668693,0.073441456,0.106380636,0.132308448,FS
122.39,0.088840543,0.060205222,0.085717396,0.105432395,FS
144.43,0.070728876,0.046229673,0.068180596,0.085496943,FS
170.44,0.056226004,0.034677698,0.054848608,0.069471317,FS
201.13,0.042669112,0.024170817,0.042008474,0.053138744,FS
237.35,0.033727351,0.019411106,0.03322554,0.042301886,FS
280.09,0.027468749,0.016805752,0.026295518,0.033560441,FS
330.52,0.023309511,0.015977869,0.021517908,0.030530792,FS
390.04,0.019454434,0.013609428,0.0186674,0.025075099,FS
460.27,0.017775127,0.010508845,0.015724554,0.022298378,FS
