Size,Avg,D25,D50,D75,Class
0.37,0.004491892,0.001746576,0.00320817,0.005049881,C
0.44,0.00490727,0.001890009,0.003488739,0.005845794,C
0.52,0.005543665,0.002084338,0.003915708,0.006499123,C
0.61,0.006511844,0.00241229,0.004674467,0.008198186,C
0.72,0.007854374,0.002796119,0.005766887,0.009770022,C
0.85,0.009394282,0.003322432,0.007220549,0.011038115,C
1.01,0.011438853,0.004095258,0.008808954,0.013270101,C
1.19,0.015718662,0.005868902,0.011855342,0.018250535,C
1.4,0.023915646,0.008913539,0.017821029,0.029251752,C
1.65,0.031191995,0.011570881,0.024129293,0.036400601,C
1.95,0.038931507,0.014445749,0.03021023,0.04295638,C
2.3,0.050291778,0.019574403,0.038484844,0.054973256,S
2.72,0.059453908,0.024713237,0.045327281,0.062764732,S
3.2,0.073861097,0.034766794,0.057002168,0.0790406,S
3.78,0.087899343,0.040076913,0.065041125,0.094069848,S
4.46,0.104139306,0.048773016,0.077753197,0.115172508,S
5.27,0.122006102,0.057825213,0.090422443,0.138146073,S
6.21,0.140070304,0.066466192,0.106353276,0.157656072,S
7.33,0.157056151,0.075235057,0.122722119,0.172121347,S
8.65,0.177426476,0.08674661,0.141735697,0.198293363,S
10.21,0.201684833,0.097912224,0.160568085,0.237468793,S
12.05,0.227357019,0.104390644,0.179488321,0.280765821,S
14.22,0.265069258,0.129606474,0.204530466,0.334561956,S
16.78,0.311415525,0.158190314,0.233984672,0.380051262,S
19.81,0.369497811,0.192578876,0.267809581,0.450705407,S
23.37,0.439581663,0.234482861,0.31863321,0.527981635,S
27.58,0.52253178,0.287645646,0.407424961,0.610339503,S
32.55,0.601696845,0.347156895,0.478921492,0.676494413,S
38.41,0.686995673,0.364535626,0.551475242,0.801875093,S
45.32,0.775874298,0.39554575,0.625211379,0.966895812,S
53.48,0.851246176,0.439627389,0.711180724,1.056698215,S
63.11,0.913566796,0.46142448,0.758326567,1.229122591,FS
74.48,0.925912889,0.467884712,0.770569461,1.314822836,FS
87.89,0.906603004,0.439101051,0.742999289,1.339925681,FS
103.72,0.820967321,0.391823752,0.617405066,1.245597725,FS
122.39,0.718322457,0.334203387,0.531403121,1.046791057,FS
144.43,0.596708438,0.262698106,0.412295847,0.850741394,FS
170.44,0.480542886,0.19713245,0.349149224,0.664472254,FS
201.13,0.365437895,0.136104283,0.252071194,0.470426058,FS
237.35,0.281715646,0.101513404,0.165614259,0.357720161,FS
280.09,0.217747878,0.052933152,0.126741383,0.255417482,FS
330.52,0.174503007,0.03231997,0.089458496,0.204066007,FS
390.04,0.138410824,0.017379467,0.065113093,0.134726154,FS
460.27,0.117301973,0.012086013,0.055287212,0.107757699,FS
