Size,Avg,D25,D50,D75,Class
0.37,0.025797725,0.012687081,0.018197204,0.027738524,C
0.44,0.027697944,0.013806525,0.019742616,0.028967669,C
0.52,0.030621638,0.01529913,0.021857861,0.031503137,C
0.61,0.034828223,0.017538017,0.025148318,0.035900451,C
0.72,0.040119324,0.020545483,0.028908792,0.04141287,C
0.85,0.046318764,0.024338512,0.033139368,0.047908272,C
1.01,0.056208282,0.029784871,0.03972024,0.05816513,C
1.19,0.078767871,0.0415087,0.05452717,0.081616176,C
1.4,0.119617184,0.062689082,0.081555725,0.124779993,C
1.65,0.15471593,0.08060024,0.104823806,0.16405996,C
1.95,0.18885808,0.097909846,0.12834888,0.204052544,C
2.3,0.231603604,0.12090037,0.162556816,0.257259573,S
2.72,0.271152991,0.139930971,0.187827626,0.3027067,S
3.2,0.319643156,0.163439387,0.222688615,0.356557767,S
3.78,0.376127783,0.190306133,0.259803377,0.429402874,S
4.46,0.449624359,0.230233102,0.315411494,0.501812111,S
5.27,0.537078333,0.279557802,0.376466892,0.603347253,S
6.21,0.629162985,0.330355512,0.441388094,0.718151932,S
7.33,0.716044981,0.377743968,0.502161177,0.821040217,S
8.65,0.814035126,0.43536015,0.588218285,0.936359575,S
10.21,0.919524647,0.506828502,0.67792725,1.058096843,S
12.05,1.02270493,0.574798122,0.767875295,1.159959223,S
14.22,1.171681259,0.676167701,0.895595529,1.30558944,S
16.78,1.335331845,0.799611164,1.02432174,1.461925694,S
19.81,1.512931432,0.906176412,1.083480424,1.650938573,S
23.37,1.672097223,1.012284648,1.23793007,1.841918211,S
27.58,1.837443513,1.073463995,1.361990325,2.023280846,S
32.55,1.981500653,1.117949325,1.449141448,2.119363314,S
38.41,2.133899332,1.194319836,1.611189096,2.214227315,S
45.32,2.258300759,1.257526068,1.760746891,2.412833734,S
53.48,2.311962433,1.308466908,1.87027319,2.381583073,S
63.11,2.343762292,1.377687364,1.779899445,2.357866715,FS
74.48,2.229320721,1.304730725,1.601088343,2.276541871,FS
87.89,2.086552711,1.242962448,1.5461757,2.160162138,FS
103.72,1.819973874,1.04631055,1.376953317,1.911133541,FS
122.39,1.565167017,0.868319919,1.212317856,1.626253906,FS
144.43,1.29548893,0.743961513,1.023942374,1.343254802,FS
170.44,1.042182759,0.55209524,0.875215251,1.059479467,FS
201.13,0.784938519,0.449690472,0.679583375,0.785152874,FS
237.35,0.616450096,0.364833326,0.52546255,0.630537672,FS
280.09,0.520481605,0.264753398,0.438425346,0.596837261,FS
330.52,0.458461927,0.178815052,0.353238247,0.546045269,FS
390.04,0.385865052,0.125255754,0.287202347,0.456041788,FS
460.27,0.338178546,0.111013838,0.272195363,0.436545102,FS
