time,tau_m,,,,
3/2/2023 9:00,1.311910527,,,,
3/2/2023 9:15,1.194682756,,,,
3/2/2023 9:30,1.126329034,,,,
3/2/2023 9:45,1.301151668,,,,
3/2/2023 10:00,0.901445813,,,,
3/2/2023 10:15,0.800716136,,,,
3/2/2023 10:30,0.730748517,,,,
3/2/2023 10:45,0.638361291,,,,
3/2/2023 11:00,0.830771092,,,,
3/2/2023 11:15,0.716259372,,,,
3/2/2023 11:30,0.961316736,,,,
3/2/2023 11:45,0.759240386,,,,
3/2/2023 12:00,0.661190159,,,,
3/2/2023 12:15,0.939296232,,,,
3/2/2023 12:30,0.905103109,,,,
3/2/2023 12:45,0.916165453,,,,
3/2/2023 13:00,0.838205107,,,,
3/2/2023 13:15,1.105904901,,,,
3/2/2023 13:30,0.927558636,,,,
3/2/2023 13:45,0.927558636,,,,
3/2/2023 14:00,0.731375289,,,,
3/2/2023 14:15,0.859350324,,,,
3/2/2023 14:30,0.768554072,,,,
3/2/2023 14:45,0.848619587,,,,
3/2/2023 15:00,0.946558156,,,,
3/2/2023 15:15,0.828094376,,,,
3/2/2023 15:30,1.032644103,,,,
3/2/2023 15:45,1.045281096,,,,
3/2/2023 16:00,1.032644103,,,,
3/2/2023 16:15,0.666576094,,,,
3/2/2023 16:30,0.727803485,,,,
3/2/2023 16:45,0.780783285,,,,
3/2/2023 17:00,0.827929285,,,,
3/2/2023 17:15,0.827929285,,,,
3/2/2023 17:30,0.885671667,,,,
3/2/2023 17:45,0.955483271,,,,
3/2/2023 18:00,1.076306079,,,,
3/2/2023 18:15,1.139232255,,,,
3/2/2023 18:30,1.312786452,,,,
3/2/2023 18:45,1.403387857,,,,
3/2/2023 19:00,1.225070327,,,,
3/2/2023 19:15,1.391385097,,,,
3/2/2023 19:30,1.209652563,,,,
3/2/2023 19:45,1.373869222,,,,
3/2/2023 20:00,1.409427081,,,,
3/2/2023 20:15,1.597406666,,,,
3/2/2023 20:30,1.311729636,,,,
3/2/2023 20:45,1.235637118,,,,
3/2/2023 21:00,1.351292169,,,,
3/2/2023 21:15,1.368176483,,,,
3/2/2023 21:30,1.351292169,,,,
3/2/2023 21:45,1.55061505,,,,
3/2/2023 22:00,1.55061505,,,,
3/2/2023 22:15,1.737775512,,,,
3/2/2023 22:30,1.189817151,,,,
3/2/2023 22:45,1.385522588,,,,
3/2/2023 23:00,1.79864215,,,,
3/2/2023 23:15,1.256764486,,,,
3/2/2023 23:30,1.414803634,,,,
3/2/2023 23:45,2.011986883,,,,
3/3/2023 0:00,1.925207916,,,,
3/3/2023 0:15,2.168745852,,,,
3/3/2023 0:30,1.900005215,,,,
3/3/2023 0:45,1.925207916,,,,
3/3/2023 1:00,1.683705172,,,,
3/3/2023 1:15,2.139619938,,,,
3/3/2023 1:30,2.188109613,,,,
3/3/2023 1:45,2.139619938,,,,
3/3/2023 2:00,2.120507518,,,,
3/3/2023 2:15,1.705284321,,,,
3/3/2023 2:30,2.168579062,,,,
3/3/2023 2:45,1.73009853,,,,
3/3/2023 3:00,1.899861353,,,,
3/3/2023 3:15,1.737775512,,,,
3/3/2023 3:30,1.874881754,,,,
3/3/2023 3:45,1.874881754,,,,
3/3/2023 4:00,1.737775512,,,,
3/3/2023 4:15,2.139619938,,,,
3/3/2023 4:30,1.883189327,,,,
3/3/2023 4:45,2.168579062,,,,
3/3/2023 5:00,2.149250663,,,,
3/3/2023 5:15,2.120507518,,,,
3/3/2023 5:30,1.874739226,,,,
3/3/2023 5:45,2.139454712,,,,
3/3/2023 6:00,1.899861353,,,,
3/3/2023 6:15,2.149250663,,,,
3/3/2023 6:30,2.120507518,,,,
3/3/2023 6:45,2.633404829,,,,
3/3/2023 7:00,2.633404829,,,,
