ISCO,Time,SS,Botttle,Depth
DOWN,7/29/2023 14:52,,,
DOWN,7/29/2023 15:07,,,
DOWN,7/29/2023 15:22,,,
DOWN,7/29/2023 15:37,,,
DOWN,7/29/2023 15:52,,,
DOWN,7/29/2023 16:07,,,
DOWN,7/29/2023 16:22,,,
UP,,,,
,,,,
,,,,
