Sample,Source,d13C,d15N,%C,%N,C/N
59,experiment,-27.07,-1.29,8.617,1.271,6.99
61,experiment,-26.54,-2.64,6.77,2.442,2.78
65,experiment,-26.75,-3.42,11.603,6.808,1.73
69,experiment,-26.95,-3.12,14.347,18.616,0.77
89,experiment,-26.88,1.13,6.301,0.463,12.89
351,spring,-25.88,-9.24,18.789,11.397,1.65
436,grab sample,-26.77,-10.92,18.005,13.698,1.31
439,storm 4,-25.74,-3.78,16.012,3.107,5.15
442,storm 4,-25.77,-4.24,9.354,7.316,1.28
456,storm 5,-26.54,-1.7,10.213,1.359,7.52
457,storm 5,-25.79,-12.59,11.007,2.099,5.24
458,storm 5,-25.62,-4.86,14.872,4.627,3.21
459,storm 5,-25.98,-8.5,17.404,3.024,5.76
484,storm 7,-27.06,-4.6,14.201,3.121,4.55
485,storm 7,-26.89,-3.37,14.627,5.335,2.74
487,storm 7,-26.82,-4.02,17.416,5.591,3.12
491,storm 7,-26.5,-3.1,13.891,5.341,2.6
