Distance,Elevation
0,2723.278
0.1,2723.295
0.2,2723.237
0.3,2723.196
0.4,2723.2
0.5,2723.189
0.6,2723.179
0.7,2723.178
0.8,2723.185
0.9,2723.197
1,2723.159
1.1,2723.163
1.2,2723.198
1.3,2723.22
1.4,2723.181
1.5,2723.225
1.6,2723.22
1.7,2723.25
1.8,2723.345
1.9,2723.376
2,2723.437
2.1,2723.551
2.2,2723.65
