Distance,Elevation
0,2733.715
0.1,2733.72
0.2,2733.66
0.3,2733.506
0.4,2733.537
0.5,2733.513
0.6,2733.589
0.7,2733.576
0.8,2733.546
0.9,2733.484
1,2733.434
1.1,2733.441
1.2,2733.573
1.3,2733.526
1.4,2733.535
1.5,2733.631
1.6,2733.645
1.7,2733.653
1.8,2733.685
