Date_Time,Pressure,Temperature,Barom,WC,WSE
2021-09-09 10:30:00,752.917,12.76,757.2336666666666,-4.315192575603065,2737.283848074244
2021-09-09 10:45:00,753.092,15.177,757.117,-4.023625509683973,2737.286763744903
2021-09-09 11:00:00,752.917,16.473,757.078,-4.159579067278232,2737.2854042093268
2021-09-09 11:15:00,752.917,17.42,756.9416666666667,-4.023292290180111,2737.286767077098
2021-09-09 11:30:00,752.917,18.33,756.825,-3.906665463812452,2737.2879333453616
2021-09-09 11:45:00,752.567,19.04,756.825,-4.25654594291543,2737.2844345405706
2021-09-09 12:00:00,752.567,19.573,756.7666666666667,-4.198232529731544,2737.2850176747024
2021-09-09 12:15:00,752.567,20.037,756.611,-4.04261902140671,2737.2865738097858
2021-09-09 12:30:00,752.392,20.44,756.533,-4.139585897043795,2737.285604141029
2021-09-09 12:45:00,752.217,20.733,756.4163333333333,-4.197899310227682,2737.2850210068973
2021-09-09 13:00:00,752.042,21.113,756.2413333333333,-4.197899310227569,2737.2850210068973
2021-09-09 13:15:00,752.042,21.27,756.261,-4.217559260958143,2737.2848244073903
2021-09-09 13:30:00,751.867,21.17,756.1056666666667,-4.237219211688831,2737.2846278078828
2021-09-09 13:45:00,751.867,19.243,756.086,-4.217559260958256,2737.2848244073903
2021-09-09 14:00:00,751.692,17.86,755.9503333333333,-4.256879162419292,2737.2844312083757
2021-09-09 14:15:00,751.517,17.263,756.0086666666667,-4.490132815154611,2737.2820986718484
2021-09-09 14:30:00,751.342,16.97,755.8336666666667,-4.490132815154611,2737.2820986718484
2021-09-09 14:45:00,751.342,16.637,755.6586666666667,-4.315192575603179,2737.283848074244
2021-09-09 15:00:00,751.342,16.35,755.503,-4.1595790672783455,2737.2854042093268
2021-09-09 15:15:00,751.167,16.147,755.3666666666667,-4.198232529731544,2737.2850176747024
2021-09-09 15:30:00,751.167,15.893,755.25,-4.081605703363884,2737.286183942966
2021-09-09 15:45:00,751.167,17.36,755.1526666666666,-3.9843056082228236,2737.2871569439176
2021-09-09 16:00:00,750.992,18.84,754.958,-3.9646456574923628,2737.287353543425
2021-09-09 16:15:00,750.817,19.237,755.0163333333334,-4.197899310227682,2737.2850210068973
2021-09-09 16:30:00,750.817,18.117,755.133,-4.314526136595342,2737.2838547386336
2021-09-09 16:45:00,750.642,17.013,755.0163333333334,-4.372839549779115,2737.283271604502
2021-09-09 17:00:00,750.642,16.14,754.8413333333333,-4.197899310227569,2737.2850210068973
2021-09-09 17:15:00,750.642,15.593,754.8996666666667,-4.256212723411455,2737.2844378727655
2021-09-09 17:30:00,750.467,15.23,754.783,-4.314526136595342,2737.2838547386336
2021-09-09 17:45:00,750.642,14.847,754.8413333333333,-4.197899310227569,2737.2850210068973
2021-09-09 18:00:00,750.642,14.37,754.8413333333333,-4.197899310227569,2737.2850210068973
2021-09-09 18:15:00,750.642,13.927,754.6663333333333,-4.022959070676135,2737.286770409293
2021-09-09 18:30:00,750.817,13.53,754.783,-3.9646456574923628,2737.287353543425
2021-09-09 18:45:00,750.467,13.183,754.783,-4.314526136595342,2737.2838547386336
2021-09-09 19:00:00,750.817,12.78,754.783,-3.9646456574923628,2737.287353543425
2021-09-09 19:15:00,750.817,12.35,754.783,-3.9646456574923628,2737.287353543425
2021-09-09 19:30:00,750.992,11.907,754.783,-3.7897054179409304,2737.2891029458206
2021-09-09 19:45:00,750.992,11.483,754.783,-3.7897054179409304,2737.2891029458206
2021-09-09 20:00:00,750.992,11.163,754.8803333333334,-3.887005513081991,2737.288129944869
2021-09-09 20:15:00,751.167,10.89,755.075,-3.906665463812452,2737.2879333453616
2021-09-09 20:30:00,751.342,10.663,755.075,-3.731725224261019,2737.289682747757
2021-09-09 20:45:00,751.517,10.473,755.1916666666667,-3.6734118110771323,2737.290265881889
2021-09-09 21:00:00,751.867,10.29,755.4639999999999,-3.5957716666666464,2737.291042283333
2021-09-09 21:15:00,752.042,10.11,755.6003333333333,-3.5571182042133347,2737.2914288179577
2021-09-09 21:30:00,752.042,9.933,755.717,-3.673745030580994,2737.290262549694
