Date_Time,Q (L/s),SSC (mg/L)
2023-07-05 20:00:00,4.6787,5.334
2023-07-05 20:15:00,3.9553,4.888
2023-07-05 20:30:00,4.3902,4.833
2023-07-05 20:45:00,3.9553,4.944
2023-07-05 21:00:00,4.2403,5.195
2023-07-05 21:15:00,4.6787,5.251
2023-07-05 21:30:00,4.3902,5.502
2023-07-05 21:45:00,4.6787,5.53
2023-07-05 22:00:00,4.2403,5.446
2023-07-05 22:15:00,4.6787,5.39
2023-07-05 22:30:00,4.2403,5.362
2023-07-05 22:45:00,4.2403,5.334
2023-07-05 23:00:00,4.6787,5.474
2023-07-05 23:15:00,4.6787,5.195
2023-07-05 23:30:00,4.6787,5.167
2023-07-05 23:45:00,5.1912,5.195
2023-07-06 00:00:00,4.6787,5.084
2023-07-06 00:15:00,5.7251,5.056
2023-07-06 00:30:00,4.6787,5.084
2023-07-06 00:45:00,5.1912,5.195
2023-07-06 01:00:00,5.1912,4.944
2023-07-06 01:15:00,4.6787,4.805
2023-07-06 01:30:00,4.6787,4.805
2023-07-06 01:45:00,5.1912,4.721
2023-07-06 02:00:00,4.6787,4.693
2023-07-06 02:15:00,5.0146,4.442
2023-07-06 02:30:00,5.0146,4.331
2023-07-06 02:45:00,5.1912,4.359
2023-07-06 03:00:00,5.1912,4.191
2023-07-06 03:15:00,5.1912,4.135
2023-07-06 03:30:00,5.1912,4.052
2023-07-06 03:45:00,5.1912,3.857
2023-07-06 04:00:00,5.0146,3.773
2023-07-06 04:15:00,5.7251,3.912
2023-07-06 04:30:00,5.1912,3.745
2023-07-06 04:45:00,5.0146,3.689
2023-07-06 05:00:00,5.5627,3.634
2023-07-06 05:15:00,5.7251,3.438
2023-07-06 05:30:00,5.7251,3.634
2023-07-06 05:45:00,5.1912,3.661
2023-07-06 06:00:00,5.0146,3.55
2023-07-06 06:15:00,5.5627,3.801
2023-07-06 06:30:00,5.5627,3.689
2023-07-06 06:45:00,5.5627,3.689
2023-07-06 07:00:00,5.9259,3.606
2023-07-06 07:15:00,5.9259,3.494
2023-07-06 07:30:00,5.0146,3.494
2023-07-06 07:45:00,5.0146,3.355
2023-07-06 08:00:00,5.5627,3.411
2023-07-06 08:15:00,5.5627,3.271
2023-07-06 08:30:00,5.5627,3.271
2023-07-06 08:45:00,5.0146,3.16
2023-07-06 09:00:00,5.5627,3.299
2023-07-06 09:15:00,5.0146,3.048
2023-07-06 09:30:00,5.0146,3.104
