Date_Time,Q (L/s)
7/7/2023 18:15,8.13
7/7/2023 18:30,8.13
7/7/2023 18:45,7.96
7/7/2023 19:00,7.64
7/7/2023 19:15,8.50
7/7/2023 19:30,7.96
7/7/2023 19:45,7.96
7/7/2023 20:00,7.15
7/7/2023 20:15,7.64
7/7/2023 20:30,7.15
7/7/2023 20:45,8.13
7/7/2023 21:00,7.64
7/7/2023 21:15,7.31
7/7/2023 21:30,7.15
7/7/2023 21:45,7.96
7/7/2023 22:00,7.64
7/7/2023 22:15,8.50
7/7/2023 22:30,7.96
7/7/2023 22:45,7.64
7/7/2023 23:00,7.96
7/7/2023 23:15,8.50
7/7/2023 23:30,8.50
7/7/2023 23:45,8.50
7/8/2023 0:00,8.50
7/8/2023 0:15,8.13
7/8/2023 0:30,8.50
7/8/2023 0:45,8.50
7/8/2023 1:00,8.50
7/8/2023 1:15,7.96
7/8/2023 1:30,8.50
7/8/2023 1:45,8.84
7/8/2023 2:00,8.50
7/8/2023 2:15,8.13
7/8/2023 2:30,8.84
7/8/2023 2:45,8.13
7/8/2023 3:00,8.84
7/8/2023 3:15,8.50
7/8/2023 3:30,9.04
7/8/2023 3:45,9.04
7/8/2023 4:00,7.96
7/8/2023 4:15,8.13
7/8/2023 4:30,9.04
7/8/2023 4:45,8.50
7/8/2023 5:00,8.50
7/8/2023 5:15,9.04
7/8/2023 5:30,9.64
7/8/2023 5:45,8.50
7/8/2023 6:00,8.13
7/8/2023 6:15,8.50
7/8/2023 6:30,10.02
7/8/2023 6:45,8.50
7/8/2023 7:00,8.50
7/8/2023 7:15,8.50
7/8/2023 7:30,8.84
7/8/2023 7:45,7.96
7/8/2023 8:00,8.84
7/8/2023 8:15,8.84
7/8/2023 8:30,9.04
7/8/2023 8:45,8.31
7/8/2023 9:00,8.84
7/8/2023 9:15,8.31
7/8/2023 9:30,8.50
7/8/2023 9:45,9.04
7/8/2023 10:00,7.96
7/8/2023 10:15,7.96
7/8/2023 10:30,7.15
7/8/2023 10:45,9.04
7/8/2023 11:00,8.84
7/8/2023 11:15,7.96
7/8/2023 11:30,6.99
7/8/2023 11:45,7.96
7/8/2023 12:00,7.64
7/8/2023 12:15,6.70
7/8/2023 12:30,6.70
7/8/2023 12:45,7.47
7/8/2023 13:00,7.96
7/8/2023 13:15,7.15
7/8/2023 13:30,7.64
7/8/2023 13:45,6.70
7/8/2023 14:00,7.64
7/8/2023 14:15,8.13
7/8/2023 14:30,9.04
7/8/2023 14:45,7.64
7/8/2023 15:00,7.15
7/8/2023 15:15,7.15
7/8/2023 15:30,7.64
7/8/2023 15:45,6.83
7/8/2023 16:00,6.83
7/8/2023 16:15,7.64
7/8/2023 16:30,7.96
7/8/2023 16:45,7.15
7/8/2023 17:00,6.86
7/8/2023 17:15,6.86
7/8/2023 17:30,6.86
7/8/2023 17:45,7.64
7/8/2023 18:00,6.83
7/8/2023 18:15,7.31
7/8/2023 18:30,7.31
7/8/2023 18:45,7.64
7/8/2023 19:00,7.64
7/8/2023 19:15,7.64
7/8/2023 19:30,7.64
7/8/2023 19:45,7.15
7/8/2023 20:00,7.15
7/8/2023 20:15,7.15
7/8/2023 20:30,7.64
7/8/2023 20:45,8.13
7/8/2023 21:00,7.15
7/8/2023 21:15,8.13
7/8/2023 21:30,7.64
7/8/2023 21:45,7.64
7/8/2023 22:00,7.64
7/8/2023 22:15,8.13
7/8/2023 22:30,7.47
7/8/2023 22:45,7.96
7/8/2023 23:00,8.50
7/8/2023 23:15,7.96
7/8/2023 23:30,8.13
7/8/2023 23:45,8.50
7/9/2023 0:00,7.96
7/9/2023 0:15,8.50
7/9/2023 0:30,7.96
7/9/2023 0:45,9.04
7/9/2023 1:00,7.96
7/9/2023 1:15,8.50
7/9/2023 1:30,8.13
7/9/2023 1:45,8.84
7/9/2023 2:00,8.84
7/9/2023 2:15,8.50
7/9/2023 2:30,8.50
7/9/2023 2:45,7.96
7/9/2023 3:00,8.84
7/9/2023 3:15,8.50
7/9/2023 3:30,8.84
7/9/2023 3:45,8.50
7/9/2023 4:00,8.50
7/9/2023 4:15,8.84
7/9/2023 4:30,8.50
7/9/2023 4:45,9.04
7/9/2023 5:00,8.50
7/9/2023 5:15,7.96
7/9/2023 5:30,8.84
7/9/2023 5:45,9.04
7/9/2023 6:00,8.50
7/9/2023 6:15,9.43
7/9/2023 6:30,8.84
7/9/2023 6:45,8.31
7/9/2023 7:00,7.96
7/9/2023 7:15,8.50
7/9/2023 7:30,7.96
7/9/2023 7:45,8.50
7/9/2023 8:00,8.50
7/9/2023 8:15,8.31
7/9/2023 8:30,7.96
7/9/2023 8:45,8.31
7/9/2023 9:00,8.31
7/9/2023 9:15,7.96
7/9/2023 9:30,7.81
7/9/2023 9:45,7.47
7/9/2023 10:00,8.31
7/9/2023 10:15,7.81
7/9/2023 10:30,7.47
7/9/2023 10:45,6.99
7/9/2023 11:00,6.99
7/9/2023 11:15,6.26
7/9/2023 11:30,6.26
7/9/2023 11:45,7.15
7/9/2023 12:00,5.47
7/9/2023 12:15,6.55
7/9/2023 12:30,5.60
7/9/2023 12:45,6.70
7/9/2023 13:00,6.99
7/9/2023 13:15,5.87
7/9/2023 13:30,6.26
7/9/2023 13:45,6.70
7/9/2023 14:00,6.99
7/9/2023 14:15,6.70
7/9/2023 14:30,6.26
7/9/2023 14:45,6.26
7/9/2023 15:00,6.26
