,Date_Time,Q (L/s),Interpolated_SSC
0,2023-07-05 20:00:00,8.84,5.334
1,2023-07-05 20:15:00,7.96,4.888
2,2023-07-05 20:30:00,8.5,4.833
3,2023-07-05 20:45:00,7.96,4.944
4,2023-07-05 21:00:00,8.31,5.195
5,2023-07-05 21:15:00,8.84,5.251
6,2023-07-05 21:30:00,8.5,5.502
7,2023-07-05 21:45:00,8.84,5.53
8,2023-07-05 22:00:00,8.31,5.446
9,2023-07-05 22:15:00,8.84,5.39
10,2023-07-05 22:30:00,8.31,5.362
11,2023-07-05 22:45:00,8.31,5.334
12,2023-07-05 23:00:00,8.84,5.474
13,2023-07-05 23:15:00,8.84,5.195
14,2023-07-05 23:30:00,8.84,5.167
15,2023-07-05 23:45:00,9.43,5.195
16,2023-07-06 00:00:00,8.84,5.084
17,2023-07-06 00:15:00,10.02,5.056
18,2023-07-06 00:30:00,8.84,5.084
19,2023-07-06 00:45:00,9.43,5.195
20,2023-07-06 01:00:00,9.43,4.944
21,2023-07-06 01:15:00,8.84,4.805
22,2023-07-06 01:30:00,8.84,4.805
23,2023-07-06 01:45:00,9.43,4.721
24,2023-07-06 02:00:00,8.84,4.693
25,2023-07-06 02:15:00,9.23,4.442
26,2023-07-06 02:30:00,9.23,4.331
27,2023-07-06 02:45:00,9.43,4.359
28,2023-07-06 03:00:00,9.43,4.191
29,2023-07-06 03:15:00,9.43,4.135
30,2023-07-06 03:30:00,9.43,4.052
31,2023-07-06 03:45:00,9.43,3.857
32,2023-07-06 04:00:00,9.23,3.773
33,2023-07-06 04:15:00,10.02,3.912
34,2023-07-06 04:30:00,9.43,3.745
35,2023-07-06 04:45:00,9.23,3.689
36,2023-07-06 05:00:00,9.85,3.634
37,2023-07-06 05:15:00,10.02,3.438
38,2023-07-06 05:30:00,10.02,3.634
39,2023-07-06 05:45:00,9.43,3.661
40,2023-07-06 06:00:00,9.23,3.55
41,2023-07-06 06:15:00,9.85,3.801
42,2023-07-06 06:30:00,9.85,3.689
43,2023-07-06 06:45:00,9.85,3.689
44,2023-07-06 07:00:00,10.24,3.606
45,2023-07-06 07:15:00,10.24,3.494
46,2023-07-06 07:30:00,9.23,3.494
47,2023-07-06 07:45:00,9.23,3.355
48,2023-07-06 08:00:00,9.85,3.411
49,2023-07-06 08:15:00,9.85,3.271
50,2023-07-06 08:30:00,9.85,3.271
51,2023-07-06 08:45:00,9.23,3.16
52,2023-07-06 09:00:00,9.85,3.299
53,2023-07-06 09:15:00,9.23,3.048
54,2023-07-06 09:30:00,9.23,3.104
55,2023-07-06 09:45:00,9.85,3.299
56,2023-07-06 10:00:00,9.85,3.299
57,2023-07-06 10:15:00,9.85,3.438
58,2023-07-06 10:30:00,8.84,3.494
59,2023-07-06 10:45:00,8.31,3.801
