Date_Time,Q (L/s)
6/16/2023 19:30,16.3693
6/16/2023 19:45,17.4689
6/16/2023 20:00,14.9194
6/16/2023 20:15,12.2995
6/16/2023 20:30,17.4689
6/16/2023 20:45,15.8435
6/16/2023 21:00,14.9194
6/16/2023 21:15,20.4059
6/16/2023 21:30,16.3693
6/16/2023 21:45,18.5351
6/16/2023 22:00,16.3693
6/16/2023 22:15,19.1409
6/16/2023 22:30,15.8435
6/16/2023 22:45,21.7444
6/16/2023 23:00,22.3245
6/16/2023 23:15,19.1409
6/16/2023 23:30,18.5351
6/16/2023 23:45,17.4689
6/17/2023 0:00,18.5351
6/17/2023 0:15,20.4059
6/17/2023 0:30,21.7444
6/17/2023 0:45,22.3245
6/17/2023 1:00,24.5259
6/17/2023 1:15,22.3245
6/17/2023 1:30,23.7721
6/17/2023 1:45,25.9612
6/17/2023 2:00,25.9612
6/17/2023 2:15,22.3245
6/17/2023 2:30,23.7721
6/17/2023 2:45,20.4059
6/17/2023 3:00,25.9612
6/17/2023 3:15,22.3245
6/17/2023 3:30,23.7721
6/17/2023 3:45,22.3245
6/17/2023 4:00,24.5259
6/17/2023 4:15,23.7721
6/17/2023 4:30,20.4059
6/17/2023 4:45,22.3245
6/17/2023 5:00,21.0658
6/17/2023 5:15,24.5259
6/17/2023 5:30,25.3001
6/17/2023 5:45,22.3245
6/17/2023 6:00,25.9612
6/17/2023 6:15,25.9612
6/17/2023 6:30,22.3245
6/17/2023 6:45,20.4059
6/17/2023 7:00,22.3245
6/17/2023 7:15,19.1409
6/17/2023 7:30,18.5351
6/17/2023 7:45,18.5351
6/17/2023 8:00,17.4689
6/17/2023 8:15,19.1409
6/17/2023 8:30,19.1409
6/17/2023 8:45,19.1409
6/17/2023 9:00,19.1409
6/17/2023 9:15,15.8435
6/17/2023 9:30,17.4689
6/17/2023 9:45,15.8435
6/17/2023 10:00,19.1409
6/17/2023 10:15,18.5351
6/17/2023 10:30,20.4059
6/17/2023 10:45,16.3693
6/17/2023 11:00,14.4364
6/17/2023 11:15,21.0658
6/17/2023 11:30,16.3693
6/17/2023 11:45,16.3693
6/17/2023 12:00,14.9194
6/17/2023 12:15,22.3245
6/17/2023 12:30,19.1409
6/17/2023 12:45,17.4689
6/17/2023 13:00,14.9194
6/17/2023 13:15,13.5135
6/17/2023 13:30,16.3693
6/17/2023 13:45,17.4689
6/17/2023 14:00,14.4364
6/17/2023 14:15,15.8435
6/17/2023 14:30,17.4689
6/17/2023 14:45,14.4364
6/17/2023 15:00,15.8435
6/17/2023 15:15,15.8435
6/17/2023 15:30,19.1409
6/17/2023 15:45,16.3693
6/17/2023 16:00,17.4689
6/17/2023 16:15,21.0658
6/17/2023 16:30,17.4689
6/17/2023 16:45,13.9679
6/17/2023 17:00,11.8959
6/17/2023 17:15,11.8959
6/17/2023 17:30,11.8959
6/17/2023 17:45,14.9194
6/17/2023 18:00,9.7788
6/17/2023 18:15,11.5047
6/17/2023 18:30,9.7788
6/17/2023 18:45,11.8959
6/17/2023 19:00,9.7788
6/17/2023 19:15,11.5047
6/17/2023 19:30,11.5047
6/17/2023 19:45,9.7788
6/17/2023 20:00,12.2995
6/17/2023 20:15,11.5047
6/17/2023 20:30,11.5047
6/17/2023 20:45,11.5047
6/17/2023 21:00,12.6456
6/17/2023 21:15,11.5047
6/17/2023 21:30,12.2995
6/17/2023 21:45,12.2995
6/17/2023 22:00,11.5047
6/17/2023 22:15,13.5135
6/17/2023 22:30,14.4364
6/17/2023 22:45,14.9194
6/17/2023 23:00,13.5135
6/17/2023 23:15,13.5135
6/17/2023 23:30,13.5135
6/17/2023 23:45,13.9679
6/18/2023 0:00,14.9194
6/18/2023 0:15,15.8435
6/18/2023 0:30,14.9194
6/18/2023 0:45,13.5135
6/18/2023 1:00,14.9194
6/18/2023 1:15,12.2995
6/18/2023 1:30,13.5135
6/18/2023 1:45,12.6456
6/18/2023 2:00,15.8435
6/18/2023 2:15,14.9194
6/18/2023 2:30,12.2995
6/18/2023 2:45,13.5135
6/18/2023 3:00,12.2995
6/18/2023 3:15,13.5135
6/18/2023 3:30,15.8435
6/18/2023 3:45,15.8435
6/18/2023 4:00,12.2995
6/18/2023 4:15,17.4689
6/18/2023 4:30,14.4364
6/18/2023 4:45,13.5135
6/18/2023 5:00,13.5135
6/18/2023 5:15,15.8435
6/18/2023 5:30,16.3693
6/18/2023 5:45,16.3693
6/18/2023 6:00,17.4689
6/18/2023 6:15,16.3693
6/18/2023 6:30,13.5135
6/18/2023 6:45,14.9194
6/18/2023 7:00,14.9194
6/18/2023 7:15,13.5135
6/18/2023 7:30,14.9194
6/18/2023 7:45,17.4689
6/18/2023 8:00,14.9194
6/18/2023 8:15,13.5135
6/18/2023 8:30,13.5135
6/18/2023 8:45,15.8435
6/18/2023 9:00,14.9194
6/18/2023 9:15,13.5135
6/18/2023 9:30,12.6456
6/18/2023 9:45,11.5047
6/18/2023 10:00,13.9679
6/18/2023 10:15,13.9679
6/18/2023 10:30,12.6456
6/18/2023 10:45,12.2995
6/18/2023 11:00,11.5047
6/18/2023 11:15,9.4537
6/18/2023 11:30,10.4024
6/18/2023 11:45,11.5047
6/18/2023 12:00,8.8341
6/18/2023 12:15,9.7788
6/18/2023 12:30,10.4024
6/18/2023 12:45,10.7583
6/18/2023 13:00,9.1389
6/18/2023 13:15,10.7583
6/18/2023 13:30,11.8959
6/18/2023 13:45,9.1389
6/18/2023 14:00,10.7583
6/18/2023 14:15,9.1389
6/18/2023 14:30,10.7583
6/18/2023 14:45,9.7788
6/18/2023 15:00,10.7583
6/18/2023 15:15,10.7583
