Date_Time,Q (L/s)
3/1/2023 0:00,17.812
3/1/2023 0:15,20.789
3/1/2023 0:30,24.209
3/1/2023 0:45,24.209
3/1/2023 1:00,20.811
3/1/2023 1:15,24.184
3/1/2023 1:30,26.705
3/1/2023 1:45,26.705
3/1/2023 2:00,35.531
3/1/2023 2:15,28.061
3/1/2023 2:30,30.869
3/1/2023 2:45,26.705
3/1/2023 3:00,30.869
3/1/2023 3:15,30.869
3/1/2023 3:30,35.531
3/1/2023 3:45,28.033
3/1/2023 4:00,30.869
3/1/2023 4:15,38.934
3/1/2023 4:30,29.430
3/1/2023 4:45,29.430
3/1/2023 5:00,33.935
3/1/2023 5:15,33.935
3/1/2023 5:30,33.902
3/1/2023 5:45,38.897
3/1/2023 6:00,44.431
3/1/2023 6:15,37.185
3/1/2023 6:30,33.902
3/1/2023 6:45,33.902
3/1/2023 7:00,33.902
3/1/2023 7:15,33.902
3/1/2023 7:30,42.539
3/1/2023 7:45,37.185
3/1/2023 8:00,42.539
3/1/2023 8:15,33.902
3/1/2023 8:30,23.014
3/1/2023 8:45,29.415
3/1/2023 9:00,23.014
3/1/2023 9:15,23.014
3/1/2023 9:30,15.208
3/1/2023 9:45,18.755
3/1/2023 10:00,24.184
3/1/2023 10:15,20.789
3/1/2023 10:30,20.789
3/1/2023 10:45,17.812
3/1/2023 11:00,16.034
3/1/2023 11:15,20.789
3/1/2023 11:30,17.812
3/1/2023 11:45,13.663
3/1/2023 12:00,18.755
3/1/2023 12:15,17.812
3/1/2023 12:30,17.812
3/1/2023 12:45,15.208
3/1/2023 13:00,17.812
3/1/2023 13:15,20.789
3/1/2023 13:30,15.208
3/1/2023 13:45,17.812
3/1/2023 14:00,17.821
3/1/2023 14:15,17.821
3/1/2023 14:30,15.208
3/1/2023 14:45,17.812
3/1/2023 15:00,11.634
3/1/2023 15:15,12.958
3/1/2023 15:30,11.008
3/1/2023 15:45,12.958
3/1/2023 16:00,15.225
3/1/2023 16:15,19.754
3/1/2023 16:30,13.679
3/1/2023 16:45,17.821
3/1/2023 17:00,20.811
3/1/2023 17:15,17.821
3/1/2023 17:30,16.911
3/1/2023 17:45,16.911
3/1/2023 18:00,15.225
3/1/2023 18:15,15.225
3/1/2023 18:30,16.911
3/1/2023 18:45,19.754
3/1/2023 19:00,19.754
3/1/2023 19:15,19.754
3/1/2023 19:30,19.754
3/1/2023 19:45,23.014
3/1/2023 20:00,19.754
3/1/2023 20:15,20.811
3/1/2023 20:30,17.821
3/1/2023 20:45,23.014
3/1/2023 21:00,19.754
3/1/2023 21:15,17.821
3/1/2023 21:30,23.014
3/1/2023 21:45,25.405
3/1/2023 22:00,23.014
3/1/2023 22:15,19.754
3/1/2023 22:30,23.014
3/1/2023 22:45,21.882
3/1/2023 23:00,26.705
3/1/2023 23:15,16.911
3/1/2023 23:30,17.812
3/1/2023 23:45,25.431
3/2/2023 0:00,19.754
3/2/2023 0:15,19.754
3/2/2023 0:30,25.431
3/2/2023 0:45,21.882
3/2/2023 1:00,25.431
3/2/2023 1:15,25.405
3/2/2023 1:30,25.405
3/2/2023 1:45,21.882
3/2/2023 2:00,18.765
3/2/2023 2:15,25.431
3/2/2023 2:30,25.431
3/2/2023 2:45,29.430
3/2/2023 3:00,28.033
3/2/2023 3:15,24.184
3/2/2023 3:30,21.871
