Date_Time,P4,P5,P6
7/30/2021 13:45,2732.027915,2735.792096,2737.005251
7/30/2021 14:00,2732.03025,2735.794429,2737.007584
7/30/2021 14:15,2732.030647,2735.792712,2737.005185
7/30/2021 14:30,2732.028897,2735.790962,2737.003435
7/30/2021 14:45,2732.030561,2735.791552,2737.003678
7/30/2021 15:00,2732.03271,2735.791583,2737.003027
7/30/2021 15:15,2732.036525,2735.792206,2737.002621
7/30/2021 15:30,2732.033293,2735.792167,2737.003612
7/30/2021 15:45,2732.03446,2735.793334,2737.004779
7/30/2021 16:00,2732.030645,2735.792712,2737.005185
7/30/2021 16:15,2732.027218,2735.792477,2737.00598
7/30/2021 16:30,2732.026437,2735.791696,2737.005199
7/30/2021 16:45,2732.0236,2735.792052,2737.006583
7/30/2021 17:00,2732.032219,2735.792152,2737.003937
7/30/2021 17:15,2732.029376,2735.792499,2737.005313
7/30/2021 17:30,2732.032992,2735.792925,2737.00471
7/30/2021 17:45,2732.031616,2735.793683,2737.006156
7/30/2021 18:00,2732.028981,2735.792106,2737.004921
7/30/2021 18:15,2732.030908,2735.796167,2737.00967
7/30/2021 18:30,2732.031315,2735.79444,2737.007255
7/30/2021 18:45,2732.029763,2735.792886,2737.0057
7/30/2021 19:00,2732.032591,2735.794656,2737.007129
7/30/2021 19:15,2732.031533,2735.792522,2737.004648
7/30/2021 19:30,2732.032711,2735.791584,2737.003028
7/30/2021 19:45,2732.035942,2735.791623,2737.002038
7/30/2021 20:00,2732.035944,2735.791623,2737.002037
7/30/2021 20:15,2732.03635,2735.789895,2736.999621
7/30/2021 20:30,2732.036527,2735.792206,2737.00262
7/30/2021 20:45,2732.032536,2735.789273,2737.000029
7/30/2021 21:00,2732.030842,2735.792906,2737.005378
7/30/2021 21:15,2732.03271,2735.791581,2737.003025
7/30/2021 21:30,2732.033293,2735.792164,2737.003608
7/30/2021 21:45,2732.033499,2735.792352,2737.003789
7/30/2021 22:00,2732.030071,2735.792116,2737.004583
7/30/2021 22:15,2732.032721,2735.791572,2737.003009
7/30/2021 22:30,2732.030073,2735.792116,2737.004582
7/30/2021 22:45,2732.028009,2735.793245,2737.006739
7/30/2021 23:00,2732.032138,2735.790988,2737.002424
7/30/2021 23:30,2732.031554,2735.790405,2737.001842
7/30/2021 23:45,2732.034786,2735.790443,2737.000851
7/31/2021 0:00,2732.036267,2735.788732,2736.99811
7/31/2021 0:15,2732.037248,2735.787597,2736.996294
7/31/2021 0:30,2732.034018,2735.787559,2736.997284
7/31/2021 0:45,2732.034603,2735.788142,2736.997867
7/31/2021 1:30,2732.03577,2735.789309,2736.999034
7/31/2021 2:00,2732.03616,2735.789699,2736.999424
7/31/2021 2:15,2732.03626,2735.788741,2736.998125
7/31/2021 2:30,2732.036842,2735.789325,2736.99871
7/31/2021 2:45,2732.03478,2735.790453,2737.000866
7/31/2021 3:00,2732.036357,2735.789896,2736.999621
7/31/2021 3:15,2732.03303,2735.788703,2736.999116
7/31/2021 3:30,2732.033708,2735.790441,2737.001196
7/31/2021 3:45,2732.034293,2735.791024,2737.001778
7/31/2021 4:00,2732.040355,2735.79282,2737.002198
7/31/2021 4:15,2732.036542,2735.792197,2737.002604
7/31/2021 4:30,2732.035458,2735.792191,2737.002946
7/31/2021 4:45,2732.038691,2735.79223,2737.001955
7/31/2021 5:00,2732.035957,2735.791614,2737.002022
7/31/2021 5:15,2732.03506,2735.79391,2737.005346
7/31/2021 5:30,2732.035643,2735.794493,2737.005929
7/31/2021 5:45,2732.037124,2735.792781,2737.003189
7/31/2021 6:00,2732.034791,2735.790448,2737.000856
7/31/2021 6:15,2732.038605,2735.79107,2737.000448
7/31/2021 6:30,2732.036259,2735.788743,2736.998128
7/31/2021 6:45,2732.036548,2735.790091,2736.999817
7/31/2021 7:00,2732.034677,2735.791412,2737.002167
7/31/2021 7:15,2732.036733,2735.792392,2737.0028
7/31/2021 7:30,2732.035953,2735.791612,2737.00202
7/31/2021 7:45,2732.034786,2735.790445,2737.000853
7/31/2021 8:00,2732.038017,2735.790484,2736.999863
7/31/2021 8:15,2732.036148,2735.791809,2737.002218
7/31/2021 8:30,2732.036951,2735.790478,2737.000199
7/31/2021 8:45,2732.037265,2735.787599,2736.996291
7/31/2021 9:00,2732.040496,2735.787638,2736.995301
7/31/2021 9:15,2732.039015,2735.789349,2736.998041
7/31/2021 10:00,2732.03668,2735.787016,2736.995709
7/31/2021 10:15,2732.037847,2735.788183,2736.996876
7/31/2021 10:30,2732.03843,2735.788766,2736.997459
7/31/2021 10:45,2732.03569,2735.788161,2736.997541
7/31/2021 11:00,2732.037753,2735.787033,2736.995385
7/31/2021 11:15,2732.035106,2735.787577,2736.996959
7/31/2021 11:30,2732.033939,2735.78641,2736.995792
7/31/2021 11:45,2732.036212,2735.783358,2736.991022
7/31/2021 12:00,2732.037159,2735.786439,2736.994791
7/31/2021 12:30,2732.034126,2735.786597,2736.995979
7/31/2021 12:45,2732.036071,2735.788544,2736.997926
7/31/2021 13:00,2732.034197,2735.789863,2737.000273
7/31/2021 13:15,2732.035991,2735.785273,2736.993626
7/31/2021 13:30,2732.03424,2735.783523,2736.991876
7/31/2021 13:45,2732.037363,2735.784528,2736.992199
7/31/2021 14:00,2732.03705,2735.78741,2736.99611
7/31/2021 14:15,2732.037736,2735.787036,2736.995394
7/31/2021 14:30,2732.03528,2735.787774,2736.997162
7/31/2021 14:45,2732.03549,2735.78585,2736.99455
7/31/2021 15:00,2732.03489,2735.787384,2736.996772
7/31/2021 15:15,2732.03666,2735.78702,2736.99572
7/31/2021 15:30,2732.0389,2735.788204,2736.996563
