Date_Time,P5C
2/28/2022 0:15,2733.79087
2/28/2022 0:30,2733.798247
2/28/2022 0:45,2733.785025
2/28/2022 1:00,2733.767534
2/28/2022 1:15,2733.747708
2/28/2022 1:30,2733.738571
2/28/2022 1:45,2733.746548
2/28/2022 2:00,2733.765008
2/28/2022 2:15,2733.794945
2/28/2022 2:30,2733.824095
2/28/2022 2:45,2733.851502
2/28/2022 3:00,2733.873085
2/28/2022 3:15,2733.896217
2/28/2022 3:30,2733.912741
2/28/2022 3:45,2733.927899
2/28/2022 4:00,2733.943454
2/28/2022 4:15,2733.962311
2/28/2022 4:30,2733.973387
2/28/2022 4:45,2733.983887
2/28/2022 5:00,2733.998459
2/28/2022 5:15,2734.017119
2/28/2022 5:30,2734.028202
2/28/2022 5:45,2734.035779
2/28/2022 6:00,2734.036556
2/28/2022 6:15,2734.040248
2/28/2022 6:30,2734.043367
2/28/2022 6:45,2734.045696
2/28/2022 7:00,2734.049385
2/28/2022 7:15,2734.048415
2/28/2022 7:30,2734.052883
2/28/2022 7:45,2734.052104
2/28/2022 8:00,2734.054443
2/28/2022 8:15,2734.053277
2/28/2022 8:30,2734.054053
2/28/2022 8:45,2734.053853
2/28/2022 9:00,2734.054436
2/28/2022 9:15,2734.052104
2/28/2022 9:30,2734.052684
2/28/2022 9:45,2734.051717
2/28/2022 10:00,2734.05191
2/28/2022 10:15,2734.053853
2/28/2022 10:30,2734.053856
2/28/2022 10:45,2734.057938
2/28/2022 11:00,2734.056182
2/28/2022 11:15,2734.054053
2/28/2022 11:30,2734.051524
2/28/2022 11:45,2734.048615
2/28/2022 12:00,2734.044336
2/28/2022 12:15,2734.041607
2/28/2022 12:30,2734.03228
2/28/2022 12:45,2734.025276
2/28/2022 13:00,2734.012451
2/28/2022 13:15,2733.992434
2/28/2022 13:30,2733.958802
2/28/2022 13:45,2733.956276
2/28/2022 14:00,2733.955897
2/28/2022 14:15,2733.95531
2/28/2022 14:30,2733.954727
2/28/2022 14:45,2733.953557
2/28/2022 15:00,2733.952978
2/28/2022 15:15,2733.953561
2/28/2022 15:30,2733.954144
2/28/2022 15:45,2733.952394
2/28/2022 16:00,2733.952981
2/28/2022 16:15,2733.952978
2/28/2022 16:30,2733.952978
2/28/2022 16:45,2733.953561
2/28/2022 17:00,2733.952781
2/28/2022 17:15,2733.954137
2/28/2022 17:30,2733.950835
2/28/2022 17:45,2733.952394
2/28/2022 18:00,2733.952198
2/28/2022 18:15,2733.955887
2/28/2022 18:30,2733.957249
2/28/2022 18:45,2733.956476
2/28/2022 19:00,2733.956476
2/28/2022 19:15,2733.95706
2/28/2022 19:30,2733.955897
2/28/2022 19:45,2733.955897
2/28/2022 20:00,2733.957256
2/28/2022 20:15,2733.957446
2/28/2022 20:30,2733.960755
2/28/2022 20:45,2733.961725
2/28/2022 21:00,2733.963274
2/28/2022 21:15,2733.963664
2/28/2022 21:30,2733.964634
2/28/2022 21:45,2733.967549
