Time,T1,TopTemperature,T2,T3,T4,T5,T6,BottomTemperature
1646870400.0,7.5,7.79,8.5,8.5,8.0,8.0,8.0,7.5
1646871300.0,7.5,7.73,8.5,8.0,8.0,8.0,7.5,7.46
1646872200.0,7.5,7.67,8.0,8.0,8.0,8.0,7.5,7.42
1646873100.0,7.5,7.6,8.0,8.0,8.0,7.5,7.5,7.39
1646874000.0,7.5,7.54,8.0,8.0,7.5,7.5,7.5,7.34
1646874900.0,7.5,7.48,8.0,8.0,7.5,7.5,7.5,7.3
1646875800.0,7.0,7.42,8.0,8.0,7.5,7.5,7.5,7.27
1646876700.0,7.0,7.35,8.0,8.0,7.5,7.5,7.5,7.22
1646877600.0,7.0,7.29,8.0,8.0,7.5,7.5,7.5,7.18
1646878500.0,7.0,7.22,8.0,8.0,7.5,7.5,7.5,7.14
1646879400.0,7.0,7.16,8.0,8.0,7.5,7.5,7.5,7.09
1646880300.0,7.0,7.09,8.0,7.5,7.5,7.5,7.5,7.05
1646881200.0,7.0,7.03,7.5,7.5,7.5,7.0,7.0,7.02
1646882100.0,6.5,6.96,7.5,7.5,7.5,7.0,7.0,6.96
1646883000.0,6.5,6.9,7.5,7.5,7.0,7.0,7.0,6.92
1646883900.0,6.5,6.85,7.5,7.5,7.0,7.0,7.0,6.89
1646884800.0,6.5,6.78,7.5,7.5,7.0,7.0,7.0,6.84
1646885700.0,6.5,6.74,7.5,7.5,7.0,7.0,7.0,6.81
1646886600.0,6.5,6.68,7.5,7.5,7.0,7.0,7.0,6.77
1646887500.0,6.5,6.62,7.5,7.5,7.0,7.0,7.0,6.74
1646888400.0,6.0,6.55,7.5,7.5,7.0,7.0,7.0,6.69
1646889300.0,6.0,6.5,7.0,7.0,7.0,7.0,7.0,6.65
1646890200.0,6.0,6.43,7.0,7.0,7.0,7.0,6.5,6.61
1646891100.0,6.0,6.39,7.0,7.0,7.0,7.0,6.5,6.57
