Time,T1,TopTemperature,T2,T3,T4,T5,T6,BottomTemperature
1637193600.0,9.81,10.93,10.5,10.37,10.37,10.62,11.18,12.21
1637194500.0,9.81,10.92,10.5,10.37,10.37,10.68,11.18,12.21
1637195400.0,9.75,10.91,10.5,10.43,10.37,10.68,11.18,12.21
1637196300.0,9.68,10.9,10.5,10.43,10.37,10.68,11.25,12.21
1637197200.0,9.68,10.89,10.5,10.43,10.43,10.68,11.18,12.21
1637198100.0,9.62,10.88,10.5,10.43,10.43,10.68,11.25,12.21
1637199000.0,9.56,10.87,10.5,10.5,10.43,10.68,11.18,12.21
1637199900.0,9.43,10.86,10.5,10.43,10.43,10.62,11.18,12.21
1637200800.0,9.37,10.85,10.43,10.43,10.43,10.68,11.18,12.21
1637201700.0,9.31,10.83,10.43,10.43,10.43,10.68,11.18,12.21
1637202600.0,9.25,10.82,10.43,10.5,10.43,10.68,11.18,12.22
1637203500.0,9.12,10.81,10.43,10.5,10.43,10.68,11.25,12.22
1637204400.0,9.06,10.78,10.43,10.43,10.43,10.68,11.25,12.22
1637205300.0,9.0,10.76,10.43,10.43,10.43,10.68,11.25,12.22
1637206200.0,8.93,10.74,10.43,10.5,10.43,10.68,11.25,12.22
1637207100.0,8.87,10.73,10.43,10.5,10.5,10.68,11.25,12.22
1637208000.0,8.75,10.71,10.43,10.5,10.43,10.68,11.25,12.22
1637208900.0,8.75,10.69,10.37,10.5,10.43,10.68,11.25,12.22
1637209800.0,8.68,10.67,10.37,10.5,10.5,10.68,11.25,12.22
1637210700.0,8.62,10.65,10.37,10.5,10.5,10.68,11.25,12.22
1637211600.0,8.5,10.62,10.37,10.43,10.5,10.68,11.25,12.22
1637212500.0,8.43,10.59,10.37,10.43,10.5,10.75,11.25,12.22
1637213400.0,8.31,10.57,10.31,10.43,10.5,10.75,11.25,12.22
1637214300.0,8.25,10.54,10.31,10.43,10.5,10.75,11.25,12.23
1637215200.0,8.12,10.51,10.31,10.43,10.5,10.75,11.25,12.23
1637216100.0,8.06,10.49,10.31,10.43,10.5,10.75,11.25,12.22
1637217000.0,7.93,10.46,10.25,10.43,10.5,10.75,11.25,12.23
1637217900.0,7.81,10.42,10.25,10.43,10.5,10.81,11.25,12.23
1637218800.0,7.75,10.39,10.25,10.43,10.5,10.75,11.25,12.23
1637219700.0,7.68,10.36,10.25,10.43,10.5,10.75,11.25,12.23
1637220600.0,7.68,10.33,10.25,10.43,10.56,10.75,11.25,12.23
1637221500.0,7.62,10.3,10.18,10.43,10.56,10.75,11.25,12.23
1637222400.0,7.56,10.27,10.18,10.43,10.56,10.75,11.25,12.23
1637223300.0,7.56,10.24,10.18,10.43,10.5,10.75,11.25,12.23
1637224200.0,7.5,10.21,10.18,10.43,10.5,10.75,11.25,12.23
1637225100.0,7.5,10.18,10.18,10.43,10.5,10.75,11.25,12.24
1637226000.0,7.43,10.14,10.12,10.43,10.5,10.75,11.25,12.24
1637226900.0,7.43,10.13,10.12,10.43,10.5,10.75,11.25,12.24
1637227800.0,7.43,10.1,10.12,10.37,10.5,10.75,11.25,12.24
1637228700.0,7.37,10.07,10.06,10.37,10.5,10.75,11.25,12.23
1637229600.0,7.37,10.05,10.06,10.43,10.5,10.75,11.25,12.24
1637230500.0,7.37,10.03,10.06,10.37,10.43,10.75,11.25,12.24
1637231400.0,7.37,10.0,10.06,10.37,10.5,10.75,11.25,12.24
1637232300.0,7.37,9.97,10.06,10.37,10.5,10.75,11.25,12.24
1637233200.0,7.37,9.96,10.0,10.37,10.5,10.75,11.25,12.25
1637234100.0,7.37,9.93,10.0,10.31,10.5,10.75,11.31,12.25
1637235000.0,7.31,9.93,9.93,10.37,10.43,10.75,11.25,12.26
1637235900.0,7.37,9.91,9.93,10.31,10.43,10.75,11.31,12.26
1637236800.0,7.37,9.89,9.87,10.31,10.43,10.68,11.31,12.26
1637237700.0,7.43,9.87,9.93,10.31,10.43,10.75,11.25,12.26
1637238600.0,7.37,9.85,9.87,10.31,10.43,10.75,11.31,12.26
1637239500.0,7.43,9.84,9.87,10.25,10.43,10.75,11.25,12.27
1637240400.0,7.37,9.81,9.81,10.25,10.37,10.68,11.25,12.27
1637241300.0,7.43,9.8,9.81,10.25,10.37,10.75,11.31,12.27
1637242200.0,7.43,9.78,9.81,10.25,10.37,10.68,11.25,12.27
1637243100.0,7.37,9.75,9.81,10.25,10.43,10.68,11.25,12.27
1637244000.0,7.43,9.74,9.75,10.18,10.37,10.68,11.31,12.27
1637244900.0,7.43,9.71,9.75,10.18,10.31,10.68,11.31,12.28
1637245800.0,7.37,9.7,9.68,10.18,10.37,10.68,11.31,12.27
1637246700.0,7.37,9.68,9.68,10.18,10.37,10.68,11.31,12.27
1637247600.0,7.31,9.67,9.62,10.18,10.37,10.68,11.25,12.28
1637248500.0,7.31,9.63,9.62,10.18,10.31,10.68,11.25,12.28
1637249400.0,7.31,9.6,9.62,10.12,10.31,10.68,11.31,12.28
1637250300.0,7.25,9.59,9.62,10.12,10.25,10.68,11.31,12.28
1637251200.0,7.18,9.57,9.56,10.06,10.25,10.75,11.25,12.28
1637252100.0,7.18,9.54,9.56,10.06,10.18,10.75,11.31,12.28
1637253000.0,7.12,9.52,9.5,10.06,10.18,10.75,11.25,12.28
1637253900.0,7.12,9.49,9.5,10.06,10.18,10.75,11.31,12.28
1637254800.0,7.0,9.46,9.5,10.0,10.18,10.75,11.31,12.28
1637255700.0,7.0,9.45,9.5,10.0,10.18,10.75,11.31,12.29
1637256600.0,6.93,9.41,9.43,10.0,10.12,10.75,11.31,12.29
1637257500.0,6.93,9.39,9.43,10.0,10.12,10.75,11.31,12.29
1637258400.0,6.87,9.37,9.43,10.0,10.12,10.75,11.31,12.29
1637259300.0,6.81,9.35,9.37,9.93,10.12,10.75,11.31,12.29
1637260200.0,6.75,9.32,9.37,9.93,10.12,10.75,11.31,12.29
1637261100.0,6.68,9.3,9.37,9.93,10.06,10.75,11.31,12.29
1637262000.0,6.62,9.27,9.37,9.93,10.12,10.75,11.31,12.29
1637262900.0,6.56,9.24,9.31,9.93,10.12,10.68,11.31,12.29
1637263800.0,6.5,9.22,9.31,9.93,10.12,10.68,11.31,12.29
1637264700.0,6.43,9.21,9.31,9.87,10.06,10.68,11.31,12.3
