Time,T1,PT1,T2,T3,T4,PT2
2021-07-24 00:00:00,23.21,23.61,22.83,22.15,21.71,21.89
2021-07-24 00:15:00,23.02,23.53,22.77,22.15,21.71,21.88
2021-07-24 00:30:00,22.9,23.44,22.71,22.15,21.71,21.87
2021-07-24 00:45:00,22.71,23.33,22.65,22.08,21.71,21.86
2021-07-24 01:00:00,22.52,23.21,22.58,22.02,21.65,21.84
2021-07-24 01:15:00,22.33,23.09,22.46,22.02,21.65,21.82
2021-07-24 01:30:00,22.15,22.96,22.4,21.96,21.58,21.79
2021-07-24 01:45:00,21.96,22.82,22.27,21.83,21.52,21.76
2021-07-24 02:00:00,21.77,22.68,22.15,21.83,21.46,21.73
2021-07-24 02:15:00,21.65,22.54,22.08,21.71,21.4,21.68
2021-07-24 02:30:00,21.46,22.4,21.9,21.65,21.33,21.64
2021-07-24 02:45:00,21.27,22.25,21.83,21.58,21.27,21.6
2021-07-24 03:00:00,21.02,22.1,21.71,21.52,21.27,21.56
2021-07-24 03:15:00,20.9,21.96,21.58,21.4,21.15,21.52
2021-07-24 03:30:00,20.71,21.82,21.46,21.33,21.08,21.47
2021-07-24 03:45:00,20.52,21.67,21.33,21.21,21.02,21.42
2021-07-24 04:00:00,20.33,21.53,21.21,21.15,20.96,21.37
2021-07-24 04:15:00,20.15,21.38,21.08,21.08,20.9,21.31
2021-07-24 04:30:00,19.96,21.23,20.96,20.96,20.83,21.25
2021-07-24 04:45:00,19.77,21.08,20.83,20.83,20.71,21.19
2021-07-24 05:00:00,19.65,20.93,20.71,20.77,20.65,21.13
2021-07-24 05:15:00,19.46,20.78,20.58,20.65,20.58,21.07
2021-07-24 05:30:00,19.27,20.64,20.46,20.58,20.46,21.0
2021-07-24 05:45:00,19.08,20.5,20.33,20.46,20.4,20.94
2021-07-24 06:00:00,18.9,20.35,20.15,20.4,20.33,20.87
2021-07-24 06:15:00,18.71,20.21,20.08,20.27,20.27,20.82
2021-07-24 06:30:00,18.52,20.06,19.96,20.15,20.21,20.75
2021-07-24 06:45:00,18.33,19.91,19.83,20.08,20.08,20.7
2021-07-24 07:00:00,18.21,19.75,19.71,20.02,20.02,20.63
2021-07-24 07:15:00,17.96,19.6,19.58,19.9,19.96,20.58
2021-07-24 07:30:00,17.83,19.46,19.46,19.83,19.9,20.52
2021-07-24 07:45:00,17.65,19.3,19.27,19.71,19.83,20.46
2021-07-24 08:00:00,17.46,19.15,19.15,19.58,19.71,20.37
2021-07-24 08:15:00,17.33,19.0,19.02,19.46,19.65,20.29
2021-07-24 08:30:00,17.15,18.84,18.83,19.33,19.52,20.19
2021-07-24 08:45:00,17.08,18.69,18.71,19.21,19.46,20.11
2021-07-24 09:00:00,16.96,18.59,18.65,19.15,19.4,20.04
2021-07-24 09:15:00,16.9,18.49,18.52,19.08,19.33,19.99
2021-07-24 09:30:00,16.83,18.39,18.4,18.96,19.27,19.92
2021-07-24 09:45:00,16.83,18.31,18.33,18.9,19.21,19.87
2021-07-24 10:00:00,16.83,18.26,18.27,18.83,19.15,19.82
2021-07-24 10:15:00,16.9,18.22,18.15,18.77,19.08,19.78
2021-07-24 10:30:00,16.9,18.21,18.15,18.71,19.08,19.74
