Date_Time,depth
10:33:16,0.0265
10:35:46,0.0675
10:35:51,0.074
10:35:56,0.1065
10:36:01,0.0905
10:36:07,0.0795
10:36:15,0.07
10:36:25,0.059
10:36:36,0.053
10:36:47,0.052
10:36:57,0.0495
10:37:07,0.0485
