Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
7/29/2023 15:16,327.453,,13.905,1.139,446,23.05,37.64,2723.171407,2724.210393,16.24072667,22.23933333,22.23933333
7/29/2023 15:31,241.809,4.031,11.146,0.778,447,25.6,36.12,2723.1728,2724.213027,16.37996,22.50266667,22.50266667
7/29/2023 15:46,158.525,4.186,7.452,0.531,448,28.44,30.57,2723.176604,2724.21188,16.76041333,22.388,22.388
7/29/2023 16:01,132.472,4.351,7.501,0.684,449,31.24,22.92,2723.168679,2724.210007,15.96788,22.20066667,22.20066667
7/29/2023 16:16,98.91,4.311,,,450,33.09,18.28,2723.164555,2724.20722,15.55552667,21.922,21.922
7/29/2023 16:31,90.357,4.472,5.92,0.411,451,34.41,15.32,2723.167471,2724.205753,15.84711333,21.77533333,21.77533333
7/29/2023 16:46,84.562,4.663,,,452,35.26,13.42,2723.16269,2724.20082,15.36896,21.282,21.282
7/29/2023 17:01,69.045,,,,-,36.23,12.15,2723.164011,2724.199587,15.50108,21.15866667,21.15866667
7/29/2023 17:16,59.01,4.974,2.948,0.197,453,37.12,11.36,2723.159732,2724.19788,15.07319333,20.988,20.988
7/29/2023 17:31,50.82,,,,-,37.89,11.64,2723.160746,2724.196127,15.17457333,20.81266667,20.81266667
7/29/2023 17:46,42.72,4.939,,,454,38.48,10.72,2723.159664,2724.194907,15.0664,20.69066667,20.69066667
7/29/2023 18:01,48.345,,,,-,38.99,10.14,2723.159431,2724.19208,15.04307333,20.408,20.408
7/29/2023 18:16,74.882,,,,-,39.04,9.39,2723.156282,2724.1904,14.72816,20.24,20.24
7/29/2023 18:31,98.146,5.252,4.275,0.3,455,42.91,11.43,2723.157797,2724.190287,14.87974,20.22866667,20.22866667
7/29/2023 18:46,91.214,,,,-,40.49,17.37,2723.156048,2724.188733,14.70483333,20.07333333,20.07333333
7/29/2023 19:01,74.508,,,,-,38.58,14.93,2723.154648,2724.18928,14.56482667,20.128,20.128
7/29/2023 19:16,81.948,,,,-,36.36,23.72,2723.157603,2724.190287,14.86028,20.22866667,20.22866667
7/29/2023 19:31,52.01,,,,-,38.06,14.71,2723.153324,2724.188813,14.43239333,20.08133333,20.08133333
7/29/2023 19:46,52.247,,,,-,37.56,15.71,2723.154415,2724.190287,14.5415,20.22866667,20.22866667
7/29/2023 20:01,48.755,,,,-,36.92,13.76,2723.15457,2724.18862,14.55703333,20.062,20.062
7/29/2023 20:16,48.024,,,,-,36.25,14.37,2723.156628,2724.187307,14.76283333,19.93066667,19.93066667
7/29/2023 20:31,44.088,,,,-,35.44,12.03,2723.155112,2724.184673,14.61116667,19.66733333,19.66733333
7/29/2023 20:46,22.642,,,,-,34.63,9.42,2723.156822,2724.1857,14.78222667,19.77,19.77
7/29/2023 21:01,0,,,,-,33.85,8.76,2723.157593,2724.1857,14.85934667,19.77,19.77
