Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
2023-08-13 18:45:00,183.808,9.9,5.555,0.482,461.0,26.75,22.84,2723.160243,2724.1822,15.124299999979485,19.420000000036453,19.420000000036453
2023-08-13 19:00:00,83.528,3.379,5.081,0.552,462.0,28.62,14.52,2723.159654,2724.1787,15.065400000003137,19.070000000010623,19.070000000010623
2023-08-13 19:15:00,72.105,3.191,4.782,0.369,463.0,29.25,11.33,2723.153246,2724.1787,14.424599999983911,19.070000000010623,19.070000000010623
2023-08-13 19:30:00,67.607,3.128,4.037,0.281,464.0,27.37,9.66,2723.152086,2724.1758,14.308600000003935,18.780000000015207,18.780000000015207
2023-08-13 19:45:00,70.3,3.332,,,465.0,26.06,8.83,2723.150337,2724.1723,14.133700000002136,18.430000000034852,18.430000000034852
2023-08-13 20:00:00,67.88,3.131,5.161,1.086,466.0,25.16,7.11,2723.155585,2724.1723,14.658499999995911,18.430000000034852,18.430000000034852
2023-08-13 20:15:00,84.66,3.286,,,467.0,24.27,6.96,2723.153836,2724.1758,14.483599999994112,18.780000000015207,18.780000000015207
2023-08-13 20:30:00,67.57,2.917,5.124,0.42,468.0,24.4,6.4,2723.155575,2724.1741,14.657500000021173,18.610000000035143,18.610000000035143
2023-08-13 20:45:00,54.936,2.548,,,469.0,23.66,7.16,2723.158494,2724.1787,14.949399999977686,19.070000000010623,19.070000000010623
2023-08-13 21:00:00,75.338,2.505,,,470.0,22.58,8.72,2723.158494,2724.1817,14.949399999977686,19.370000000026266,19.370000000026266
2023-08-13 21:15:00,59.166,2.508,,,471.0,22.85,8.99,2723.155575,2724.1787,14.657500000021173,19.070000000010623,19.070000000010623
2023-08-13 21:30:00,50.774,2.482,3.242,0.459,472.0,23.04,7.93,2723.153826,2724.1787,14.482600000019374,19.070000000010623,19.070000000010623
