Size (um),T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
0.37,0.07,0.07,0.06,0.06,0.07,0.08,0.08,0.06,0.07,0.06,0.07,0.08,0.06,0.08,0.1,0.07,0.09,0.09,0.08,0.08,0.07,0.07,0.08
0.44,0.14,0.14,0.12,0.13,0.13,0.16,0.15,0.12,0.15,0.12,0.14,0.16,0.13,0.17,0.18,0.14,0.17,0.17,0.16,0.16,0.14,0.15,0.16
0.52,0.2,0.22,0.18,0.19,0.2,0.24,0.23,0.18,0.22,0.19,0.21,0.25,0.19,0.25,0.27,0.21,0.25,0.25,0.24,0.24,0.21,0.22,0.24
0.61,0.27,0.29,0.24,0.26,0.26,0.32,0.3,0.24,0.3,0.25,0.28,0.33,0.25,0.33,0.34,0.28,0.32,0.33,0.32,0.32,0.29,0.3,0.32
0.72,0.34,0.36,0.3,0.33,0.33,0.4,0.38,0.3,0.37,0.31,0.35,0.42,0.32,0.42,0.41,0.34,0.39,0.41,0.4,0.4,0.36,0.37,0.4
0.85,0.41,0.44,0.37,0.4,0.4,0.49,0.46,0.36,0.46,0.38,0.44,0.52,0.4,0.51,0.48,0.41,0.46,0.49,0.48,0.48,0.45,0.46,0.48
1.01,0.5,0.54,0.45,0.5,0.49,0.61,0.56,0.44,0.56,0.47,0.54,0.64,0.49,0.62,0.58,0.5,0.55,0.59,0.59,0.58,0.55,0.56,0.6
1.19,0.64,0.69,0.57,0.64,0.62,0.77,0.7,0.56,0.71,0.59,0.69,0.81,0.62,0.79,0.72,0.63,0.68,0.73,0.75,0.72,0.7,0.72,0.75
1.4,0.83,0.9,0.73,0.84,0.79,0.99,0.91,0.74,0.93,0.77,0.89,1.06,0.81,1.03,0.93,0.8,0.85,0.92,0.97,0.91,0.92,0.93,0.97
1.65,1.06,1.15,0.94,1.08,1.01,1.27,1.16,0.97,1.2,0.98,1.14,1.35,1.04,1.32,1.17,1.01,1.06,1.15,1.24,1.15,1.18,1.2,1.24
1.95,1.33,1.44,1.17,1.36,1.26,1.58,1.45,1.26,1.5,1.23,1.43,1.68,1.3,1.65,1.46,1.25,1.29,1.4,1.54,1.41,1.49,1.51,1.54
2.3,1.63,1.76,1.43,1.68,1.53,1.93,1.77,1.58,1.85,1.51,1.75,2.05,1.6,2.03,1.77,1.51,1.53,1.68,1.88,1.7,1.83,1.87,1.89
2.72,1.96,2.12,1.72,2.03,1.82,2.3,2.12,1.92,2.23,1.81,2.09,2.45,1.93,2.44,2.1,1.8,1.8,1.98,2.23,2.01,2.2,2.25,2.25
3.2,2.32,2.5,2.03,2.4,2.14,2.7,2.49,2.28,2.63,2.14,2.46,2.88,2.28,2.84,2.44,2.1,2.08,2.29,2.62,2.34,2.6,2.67,2.64
3.78,2.7,2.92,2.36,2.8,2.47,3.13,2.88,2.65,3.08,2.49,2.86,3.33,2.66,3.33,2.8,2.42,2.38,2.64,3.03,2.69,3.02,3.12,3.06
4.46,3.11,3.38,2.72,3.24,2.84,3.6,3.3,3.07,3.57,2.87,3.3,3.82,3.08,3.84,3.19,2.78,2.73,3.02,3.48,3.07,3.5,3.62,3.52
5.27,3.57,3.89,3.12,3.73,3.25,4.13,3.75,3.52,4.11,3.28,3.78,4.36,3.55,4.41,3.64,3.19,3.12,3.47,3.99,3.49,4.03,4.17,4.01
6.21,4.08,4.47,3.56,4.27,3.69,4.7,4.25,4.01,4.7,3.73,4.32,4.95,4.09,5.05,4.15,3.64,3.57,3.98,4.56,3.96,4.62,4.78,4.56
7.33,4.65,5.14,4.03,7.86,4.19,5.34,2.48,4.54,5.35,4.22,4.92,5.61,4.69,5.77,4.72,4.17,4.1,4.58,5.21,4.49,5.28,5.46,5.17
8.65,5.3,5.89,4.56,5.5,4.73,6.06,5.41,5.13,6.07,4.77,5.6,6.34,5.37,6.59,5.38,4.78,4.74,5.29,5.95,5.11,6.02,6.22,5.87
10.21,6.05,6.77,5.16,6.21,5.33,6.87,6.09,5.77,6.88,5.38,6.38,7.17,6.14,7.52,6.13,5.49,5.5,6.13,6.83,5.83,6.85,7.09,6.66
12.05,6.93,7.79,5.85,7,6.01,7.8,6.88,6.49,7.82,6.1,7.28,8.14,7.02,8.59,7.01,6.33,6.42,7.12,7.86,6.69,7.79,8.08,7.6
14.22,8,9.01,6.68,7.93,6.84,8.93,7.84,7.32,8.93,6.99,8.35,9.3,8.04,9.86,8.07,7.35,7.59,8.36,9.11,7.77,8.89,9.23,8.73
16.78,9.32,10.48,7.72,9.03,7.87,10.34,9.04,8.3,10.29,8.14,9.62,10.75,9.24,11.4,9.38,8.61,9.07,9.93,10.66,9.17,10.17,10.6,10.15
19.81,10.93,12.22,9.01,10.34,9.18,12.13,10.56,9.44,11.94,9.59,11.16,12.59,10.67,13.26,11.05,10.2,10.97,11.92,12.58,11.01,11.68,12.24,11.96
23.37,12.84,14.27,10.6,11.86,10.8,14.36,12.44,10.76,13.88,11.37,13,14.94,12.37,15.49,13.17,12.2,13.34,14.38,14.95,13.44,13.44,14.19,14.25
27.58,15.08,16.68,12.56,13.63,12.83,17.15,14.78,12.27,16.15,13.5,15.25,17.98,14.42,18.21,15.91,14.75,16.3,17.46,17.87,16.62,15.52,16.57,17.2
32.55,17.78,19.53,14.99,15.73,15.4,20.62,17.67,14,18.82,16.06,18.03,21.86,16.87,21.58,19.43,18.02,20.02,21.3,21.41,20.73,18.01,19.46,20.91
38.41,21.17,22.98,18.04,18.26,18.68,24.97,21.28,16.05,22,19.29,21.52,26.81,19.86,25.83,23.96,22.25,24.73,26.16,25.67,26.01,20.99,23.03,25.54
45.32,25.31,27.12,21.87,21.41,22.87,30.34,25.74,18.51,25.85,23.31,25.78,32.94,23.53,31.06,29.77,27.53,30.57,32.18,30.76,32.64,24.59,27.43,31.21
53.48,30.27,31.95,26.49,25.24,28.03,36.63,30.99,21.42,30.44,28.14,30.77,40.19,27.96,37.26,36.63,33.82,37.52,39.35,36.61,40.56,28.84,32.72,37.87
63.11,36.22,37.64,32.01,30,34.31,43.72,37.08,24.94,35.91,33.81,36.64,48.42,33.31,44.49,44.4,41.22,45.59,47.59,43.19,49.55,33.89,39.04,45.44
74.48,42.72,43.78,38.11,35.62,41.43,51.07,43.6,29.01,42.13,39.94,42.87,56.95,39.33,52.16,52.35,48.97,53.99,56.08,50.12,58.81,39.54,46.02,53.31
87.89,49.86,50.34,44.78,42.29,49.31,58.54,50.46,33.88,49.1,46.67,49.42,65.26,45.87,60.04,60.14,56.83,62.27,64.31,57.2,67.78,45.71,53.39,61.06
103.72,56.93,56.78,51.4,49.49,57.12,65.37,56.96,39.29,56.07,53.17,55.86,72.68,52.46,67.42,67.11,64.13,69.72,71.54,63.93,75.51,52.04,60.54,68.06
