,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size (um),Vol Conc,Cum Conc,,D5:,9.85,,Size (um),Vol Conc,Cum Conc,,D5:,9.14,,Size (um),Vol Conc,Cum Conc,,D5:,7.92,,Size (um),Vol Conc,Cum Conc,,D5:,10.88,,Size (um),Vol Conc,Cum Conc,,D5:,11.53,,Size (um),Vol Conc,Cum Conc,,D5:,8.98,,Size (um),Vol Conc,Cum Conc,,D5:,11.01,,Size (um),Vol Conc,Cum Conc,,D5:,7.92,,Size (um),Vol Conc,Cum Conc,,D5:,9.28,,Size (um),Vol Conc,Cum Conc,,D5:,8.5,,Size (um),Vol Conc,Cum Conc,,D5:,10.76,,Size (um),Vol Conc,Cum Conc,,D5:,11.03,,Size (um),Vol Conc,Cum Conc,,D5:,10.81,,Size (um),Vol Conc,Cum Conc,,D5:,10.49,,Size (um),Vol Conc,Cum Conc,,D5:,9.54,,Size (um),Vol Conc,Cum Conc,,D5:,9.29,,Size (um),Vol Conc,Cum Conc,,D5:,8.21,,Size (um),Vol Conc,Cum Conc,,D5:,5.45,,Size (um),Vol Conc,Cum Conc,,D5:,9.92,,Size (um),Vol Conc,Cum Conc,,D5:,10.13,,Size (um),Vol Conc,Cum Conc,,D5:,8.07,,Size (um),Vol Conc,Cum Conc,,D5:,7.95,,Size (um),Vol Conc,Cum Conc,,D5:,8.82,,Size (um),Vol Conc,Cum Conc,,D5:,10.52,,Size (um),Vol Conc,Cum Conc,,D5:,7.42,,Size (um),Vol Conc,Cum Conc,,D5:,8.34,,Size (um),Vol Conc,Cum Conc,,D5:,9.34,,Size (um),Vol Conc,Cum Conc,,D5:,8.83,,Size (um),Vol Conc,Cum Conc,,D5:,7.24,,Size (um),Vol Conc,Cum Conc,,D5:,6.39,,Size (um),Vol Conc,Cum Conc,,D5:,9.46,,Size (um),Vol Conc,Cum Conc,,D5:,9.41,,Size (um),Vol Conc,Cum Conc,,D5:,8.37,,Size (um),Vol Conc,Cum Conc,,D5:,7.83,,Size (um),Vol Conc,Cum Conc,,D5:,7.74,,Size (um),Vol Conc,Cum Conc,,D5:,7.84,,Size (um),Vol Conc,Cum Conc,,D5:,8.26,,Size (um),Vol Conc,Cum Conc,,D5:,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37,0.19,0.06,,D10:,25.06,,0.37,0.27,0.08,,D10:,21.99,,0.37,0.21,0.07,,D10:,19.12,,0.37,0.08,0.06,,D10:,24.27,,0.37,0.17,0.06,,D10:,25.92,,0.37,0.18,0.06,,D10:,22.39,,0.37,0.19,0.07,,D10:,25.42,,0.37,0.19,0.08,,D10:,19.04,,0.37,0.25,0.1,,D10:,21.05,,0.37,0.23,0.1,,D10:,18.81,,0.37,0.13,0.07,,D10:,22.88,,0.37,0.17,0.08,,D10:,22.96,,0.37,0.31,0.09,,D10:,21.47,,0.37,0.3,0.09,,D10:,21.03,,0.37,0.26,0.09,,D10:,19.92,,0.37,0.22,0.09,,D10:,19.09,,0.37,0.14,0.08,,D10:,18.46,,0.37,0.2,0.09,,D10:,13.02,,0.37,0.13,0.08,,D10:,21.34,,0.37,0.18,0.08,,D10:,21.63,,0.37,0.23,0.07,,D10:,19.38,,0.37,0.21,0.07,,D10:,18.8,,0.37,0.11,0.07,,D10:,20.63,,0.37,0.09,0.06,,D10:,23.73,,0.37,0.1,0.08,,D10:,18.18,,0.37,0.14,0.08,,D10:,20.35,,0.37,0.12,0.06,,D10:,21.63,,0.37,0.12,0.06,,D10:,20.67,,0.37,0.18,0.08,,D10:,17.04,,0.37,0.15,0.09,,D10:,15.18,,0.37,0.11,0.07,,D10:,21.23,,0.37,0.11,0.07,,D10:,21.68,,0.37,0.15,0.07,,D10:,18.77,,0.37,0.16,0.08,,D10:,18.43,,0.37,0.17,0.07,,D10:,18.42,,0.37,0.15,0.08,,D10:,18.49,,0.37,0.1,0.08,,D10:,19.46,,0.37,0.09,0.07,,D10:,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44,0.19,0.12,,D16:,45.16,,0.44,0.27,0.15,,D16:,34.9,,0.44,0.21,0.15,,D16:,32.18,,0.44,0.08,0.12,,D16:,38.26,,0.44,0.17,0.12,,D16:,40.57,,0.44,0.19,0.13,,D16:,39.1,,0.44,0.19,0.13,,D16:,39.59,,0.44,0.19,0.16,,D16:,30.4,,0.44,0.24,0.18,,D16:,32.68,,0.44,0.23,0.19,,D16:,29.07,,0.44,0.13,0.14,,D16:,34.67,,0.44,0.16,0.17,,D16:,33.7,,0.44,0.3,0.17,,D16:,32,,0.44,0.28,0.17,,D16:,31.59,,0.44,0.26,0.17,,D16:,30.09,,0.44,0.21,0.18,,D16:,28.5,,0.44,0.14,0.16,,D16:,29.27,,0.44,0.21,0.19,,D16:,22.78,,0.44,0.13,0.16,,D16:,31.51,,0.44,0.18,0.17,,D16:,32.05,,0.44,0.23,0.14,,D16:,33.59,,0.44,0.21,0.15,,D16:,31.66,,0.44,0.11,0.14,,D16:,34.03,,0.44,0.09,0.13,,D16:,36.81,,0.44,0.1,0.16,,D16:,29.22,,0.44,0.13,0.16,,D16:,32.03,,0.44,0.12,0.13,,D16:,36.21,,0.44,0.12,0.13,,D16:,34.84,,0.44,0.18,0.17,,D16:,28.45,,0.44,0.15,0.17,,D16:,25.3,,0.44,0.1,0.14,,D16:,34.43,,0.44,0.11,0.14,,D16:,34.96,,0.44,0.15,0.14,,D16:,31.06,,0.44,0.16,0.15,,D16:,30.39,,0.44,0.17,0.15,,D16:,31.29,,0.44,0.15,0.16,,D16:,30.45,,0.44,0.1,0.16,,D16:,30.42,,0.44,0.09,0.14,,D16:,32.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52,0.19,0.18,,D25:,74.65,,0.52,0.27,0.23,,D25:,52.04,,0.52,0.21,0.22,,D25:,51.56,,0.52,0.08,0.19,,D25:,56.68,,0.52,0.17,0.18,,D25:,59.83,,0.52,0.19,0.19,,D25:,62.45,,0.52,0.19,0.2,,D25:,57.26,,0.52,0.19,0.24,,D25:,45.37,,0.52,0.22,0.27,,D25:,46.69,,0.52,0.22,0.28,,D25:,41.27,,0.52,0.13,0.21,,D25:,49.4,,0.52,0.15,0.25,,D25:,46.41,,0.52,0.28,0.25,,D25:,45.67,,0.52,0.27,0.25,,D25:,45.41,,0.52,0.25,0.25,,D25:,43.57,,0.52,0.2,0.27,,D25:,40.49,,0.52,0.14,0.24,,D25:,44.16,,0.52,0.21,0.29,,D25:,36.22,,0.52,0.13,0.24,,D25:,43.91,,0.52,0.18,0.25,,D25:,44.8,,0.52,0.23,0.21,,D25:,54.34,,0.52,0.21,0.22,,D25:,49.59,,0.52,0.11,0.21,,D25:,51.89,,0.52,0.09,0.19,,D25:,54.27,,0.52,0.1,0.25,,D25:,42.66,,0.52,0.13,0.24,,D25:,46.41,,0.52,0.12,0.19,,D25:,56.51,,0.52,0.12,0.19,,D25:,54.71,,0.52,0.18,0.25,,D25:,43.88,,0.52,0.15,0.26,,D25:,39.33,,0.52,0.1,0.2,,D25:,52.82,,0.52,0.1,0.21,,D25:,52.35,,0.52,0.15,0.22,,D25:,49.14,,0.52,0.16,0.23,,D25:,46.67,,0.52,0.17,0.22,,D25:,48.81,,0.52,0.15,0.23,,D25:,46.09,,0.52,0.1,0.24,,D25:,44.46,,0.52,0.09,0.21,,D25:,48.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61,0.18,0.24,,D50:,161.86,,0.61,0.27,0.3,,D50:,102.57,,0.61,0.21,0.3,,D50:,105.96,,0.61,0.08,0.25,,D50:,112.9,,0.61,0.17,0.24,,D50:,118.19,,0.61,0.2,0.26,,D50:,123.78,,0.61,0.19,0.26,,D50:,105.25,,0.61,0.19,0.32,,D50:,85.79,,0.61,0.2,0.34,,D50:,83.69,,0.61,0.21,0.36,,D50:,70.21,,0.61,0.12,0.28,,D50:,89.81,,0.61,0.15,0.32,,D50:,78.15,,0.61,0.26,0.32,,D50:,81.25,,0.61,0.25,0.33,,D50:,80.65,,0.61,0.24,0.33,,D50:,78.06,,0.61,0.19,0.35,,D50:,71.21,,0.61,0.14,0.32,,D50:,87.63,,0.61,0.22,0.39,,D50:,73.66,,0.61,0.13,0.32,,D50:,75.09,,0.61,0.17,0.33,,D50:,77.2,,0.61,0.24,0.29,,D50:,116.04,,0.61,0.21,0.3,,D50:,100.54,,0.61,0.11,0.28,,D50:,105.29,,0.61,0.09,0.25,,D50:,107.85,,0.61,0.1,0.33,,D50:,76.8,,0.61,0.13,0.32,,D50:,85.27,,0.61,0.12,0.25,,D50:,115.06,,0.61,0.12,0.26,,D50:,112.74,,0.61,0.18,0.33,,D50:,83.89,,0.61,0.15,0.34,,D50:,76.41,,0.61,0.1,0.27,,D50:,104.05,,0.61,0.1,0.28,,D50:,98.5,,0.61,0.15,0.29,,D50:,102.83,,0.61,0.16,0.31,,D50:,90.47,,0.61,0.17,0.3,,D50:,96.12,,0.61,0.15,0.31,,D50:,87.27,,0.61,0.1,0.32,,D50:,81.98,,0.61,0.1,0.28,,D50:,93.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72,0.18,0.3,,D60:,204.23,,0.72,0.27,0.38,,D60:,132.91,,0.72,0.21,0.37,,D60:,134.7,,0.72,0.08,0.31,,D60:,146.41,,0.72,0.17,0.3,,D60:,152.68,,0.72,0.21,0.33,,D60:,154.44,,0.72,0.19,0.33,,D60:,130.42,,0.72,0.2,0.4,,D60:,107.46,,0.72,0.18,0.41,,D60:,103.41,,0.72,0.2,0.45,,D60:,83.7,,0.72,0.12,0.34,,D60:,111.45,,0.72,0.14,0.39,,D60:,94.39,,0.72,0.25,0.39,,D60:,99.11,,0.72,0.23,0.4,,D60:,97.93,,0.72,0.23,0.41,,D60:,95.1,,0.72,0.18,0.43,,D60:,86.06,,0.72,0.14,0.4,,D60:,111.1,,0.72,0.24,0.5,,D60:,93.03,,0.72,0.12,0.4,,D60:,89.84,,0.72,0.17,0.4,,D60:,93.3,,0.72,0.25,0.36,,D60:,150.78,,0.72,0.22,0.38,,D60:,126.93,,0.72,0.11,0.35,,D60:,136.65,,0.72,0.09,0.32,,D60:,140.53,,0.72,0.1,0.42,,D60:,93.4,,0.72,0.13,0.4,,D60:,106.18,,0.72,0.13,0.32,,D60:,148.36,,0.72,0.12,0.33,,D60:,147.27,,0.72,0.18,0.42,,D60:,103.63,,0.72,0.15,0.43,,D60:,95.28,,0.72,0.1,0.34,,D60:,131.95,,0.72,0.11,0.35,,D60:,122.22,,0.72,0.15,0.36,,D60:,133.47,,0.72,0.17,0.39,,D60:,112.7,,0.72,0.17,0.37,,D60:,120.87,,0.72,0.15,0.39,,D60:,108.56,,0.72,0.1,0.4,,D60:,101.39,,0.72,0.1,0.36,,D60:,118.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,0.19,0.36,,D75:,287.03,,0.85,0.29,0.46,,D75:,209.81,,0.85,0.23,0.46,,D75:,202.48,,0.85,0.09,0.38,,D75:,226.76,,0.85,0.18,0.37,,D75:,231.31,,0.85,0.23,0.4,,D75:,223.2,,0.85,0.21,0.4,,D75:,188.39,,0.85,0.22,0.49,,D75:,160.72,,0.85,0.19,0.48,,D75:,151.57,,0.85,0.21,0.54,,D75:,113.68,,0.85,0.13,0.41,,D75:,163.49,,0.85,0.15,0.47,,D75:,133.27,,0.85,0.26,0.46,,D75:,139.89,,0.85,0.24,0.47,,D75:,136.55,,0.85,0.24,0.49,,D75:,134.01,,0.85,0.19,0.52,,D75:,119.26,,0.85,0.16,0.48,,D75:,165.66,,0.85,0.27,0.63,,D75:,138.28,,0.85,0.13,0.48,,D75:,121.07,,0.85,0.18,0.48,,D75:,129.39,,0.85,0.27,0.45,,D75:,230.43,,0.85,0.24,0.47,,D75:,185.84,,0.85,0.13,0.44,,D75:,208.54,,0.85,0.1,0.39,,D75:,217.83,,0.85,0.12,0.52,,D75:,129.98,,0.85,0.15,0.49,,D75:,156.65,,0.85,0.14,0.4,,D75:,224.13,,0.85,0.14,0.41,,D75:,227.55,,0.85,0.2,0.51,,D75:,148.6,,0.85,0.17,0.53,,D75:,139.12,,0.85,0.11,0.41,,D75:,196.99,,0.85,0.12,0.42,,D75:,176.49,,0.85,0.16,0.44,,D75:,206.57,,0.85,0.18,0.48,,D75:,163.98,,0.85,0.19,0.46,,D75:,178.58,,0.85,0.16,0.47,,D75:,159.04,,0.85,0.11,0.48,,D75:,147.58,,0.85,0.11,0.44,,D75:,174.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01,0.24,0.44,,D84:,356.29,,1.01,0.36,0.56,,D84:,291.68,,1.01,0.29,0.56,,D84:,278.61,,1.01,0.11,0.47,,D84:,302.38,,1.01,0.23,0.45,,D84:,303.86,,1.01,0.29,0.5,,D84:,295.53,,1.01,0.26,0.49,,D84:,255.19,,1.01,0.27,0.61,,D84:,224.33,,1.01,0.25,0.58,,D84:,202.1,,1.01,0.27,0.65,,D84:,146.36,,1.01,0.16,0.5,,D84:,222.02,,1.01,0.19,0.56,,D84:,178.31,,1.01,0.32,0.55,,D84:,185.67,,1.01,0.3,0.56,,D84:,178.81,,1.01,0.3,0.59,,D84:,176.82,,1.01,0.23,0.62,,D84:,156.93,,1.01,0.2,0.59,,D84:,223.86,,1.01,0.33,0.78,,D84:,189.1,,1.01,0.16,0.58,,D84:,154.77,,1.01,0.22,0.58,,D84:,169.09,,1.01,0.34,0.55,,D84:,307.27,,1.01,0.3,0.58,,D84:,251.09,,1.01,0.16,0.54,,D84:,278.27,,1.01,0.13,0.48,,D84:,291.27,,1.01,0.15,0.64,,D84:,168.82,,1.01,0.19,0.6,,D84:,213.07,,1.01,0.17,0.49,,D84:,295.31,,1.01,0.17,0.51,,D84:,301.96,,1.01,0.25,0.62,,D84:,197.67,,1.01,0.21,0.65,,D84:,189.24,,1.01,0.14,0.5,,D84:,264.92,,1.01,0.15,0.52,,D84:,233.3,,1.01,0.21,0.54,,D84:,279.8,,1.01,0.23,0.59,,D84:,220.22,,1.01,0.24,0.56,,D84:,239.17,,1.01,0.2,0.58,,D84:,214.73,,1.01,0.14,0.6,,D84:,198.06,,1.01,0.14,0.55,,D84:,232.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.19,0.37,0.56,,D90:,419.94,,1.19,0.51,0.7,,D90:,359.97,,1.19,0.42,0.71,,D90:,349.17,,1.19,0.16,0.59,,D90:,369.7,,1.19,0.33,0.57,,D90:,369.15,,1.19,0.41,0.64,,D90:,361.18,,1.19,0.37,0.62,,D90:,327.2,,1.19,0.39,0.77,,D90:,302.33,,1.19,0.38,0.72,,D90:,265.77,,1.19,0.38,0.8,,D90:,189.18,,1.19,0.23,0.63,,D90:,288.58,,1.19,0.27,0.7,,D90:,240.6,,1.19,0.45,0.68,,D90:,244.2,,1.19,0.43,0.69,,D90:,233.61,,1.19,0.42,0.73,,D90:,232.97,,1.19,0.33,0.76,,D90:,206.22,,1.19,0.28,0.75,,D90:,288.55,,1.19,0.47,1,,D90:,254.29,,1.19,0.23,0.72,,D90:,194.59,,1.19,0.31,0.73,,D90:,222.3,,1.19,0.48,0.7,,D90:,371.74,,1.19,0.43,0.73,,D90:,322.62,,1.19,0.23,0.69,,D90:,345.37,,1.19,0.18,0.61,,D90:,359.13,,1.19,0.21,0.81,,D90:,217.06,,1.19,0.26,0.76,,D90:,279.56,,1.19,0.25,0.62,,D90:,361.62,,1.19,0.25,0.64,,D90:,367.74,,1.19,0.36,0.79,,D90:,262.76,,1.19,0.31,0.82,,D90:,249.98,,1.19,0.2,0.64,,D90:,334.1,,1.19,0.21,0.65,,D90:,296.67,,1.19,0.3,0.69,,D90:,350.19,,1.19,0.33,0.75,,D90:,284.88,,1.19,0.35,0.72,,D90:,306.8,,1.19,0.29,0.73,,D90:,279.73,,1.19,0.2,0.75,,D90:,257.28,,1.19,0.2,0.69,,D90:,295.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,0.57,0.74,,D95:,481.52,,1.4,0.73,0.91,,D95:,432.2,,1.4,0.6,0.93,,D95:,425.9,,1.4,0.22,0.77,,D95:,442.99,,1.4,0.46,0.73,,D95:,442.03,,1.4,0.59,0.84,,D95:,433.56,,1.4,0.51,0.79,,D95:,410.16,,1.4,0.54,0.99,,D95:,394.17,,1.4,0.55,0.93,,D95:,369.29,,1.4,0.52,1.02,,D95:,272.31,,1.4,0.32,0.8,,D95:,381.6,,1.4,0.36,0.88,,D95:,345.47,,1.4,0.62,0.85,,D95:,341.33,,1.4,0.59,0.87,,D95:,330.2,,1.4,0.58,0.92,,D95:,331.8,,1.4,0.46,0.96,,D95:,307.54,,1.4,0.39,0.97,,D95:,380.25,,1.4,0.66,1.3,,D95:,351.3,,1.4,0.32,0.91,,D95:,266.22,,1.4,0.43,0.93,,D95:,319.68,,1.4,0.69,0.92,,D95:,441.32,,1.4,0.62,0.95,,D95:,407.42,,1.4,0.32,0.89,,D95:,424.29,,1.4,0.25,0.79,,D95:,435.93,,1.4,0.29,1.06,,D95:,298.56,,1.4,0.37,0.99,,D95:,377.48,,1.4,0.35,0.81,,D95:,437.74,,1.4,0.35,0.84,,D95:,441.71,,1.4,0.51,1.03,,D95:,356.95,,1.4,0.44,1.08,,D95:,345.42,,1.4,0.29,0.83,,D95:,419.94,,1.4,0.29,0.85,,D95:,383.07,,1.4,0.42,0.9,,D95:,431.01,,1.4,0.47,0.97,,D95:,379.02,,1.4,0.49,0.93,,D95:,395.91,,1.4,0.42,0.95,,D95:,377.44,,1.4,0.28,0.97,,D95:,345.83,,1.4,0.27,0.9,,D95:,384.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,0.72,0.97,,D60/D10:,8.15,,1.65,0.9,1.16,,D60/D10:,6.04,,1.65,0.74,1.2,,D60/D10:,7.05,,1.65,0.27,0.98,,D60/D10:,6.03,,1.65,0.56,0.94,,D60/D10:,5.89,,1.65,0.72,1.08,,D60/D10:,6.9,,1.65,0.62,1.01,,D60/D10:,5.13,,1.65,0.65,1.27,,D60/D10:,5.64,,1.65,0.67,1.17,,D60/D10:,4.91,,1.65,0.62,1.28,,D60/D10:,4.45,,1.65,0.38,1.01,,D60/D10:,4.87,,1.65,0.42,1.09,,D60/D10:,4.11,,1.65,0.73,1.06,,D60/D10:,4.62,,1.65,0.69,1.08,,D60/D10:,4.66,,1.65,0.69,1.15,,D60/D10:,4.77,,1.65,0.54,1.2,,D60/D10:,4.51,,1.65,0.47,1.24,,D60/D10:,6.02,,1.65,0.81,1.68,,D60/D10:,7.15,,1.65,0.38,1.15,,D60/D10:,4.21,,1.65,0.51,1.16,,D60/D10:,4.31,,1.65,0.85,1.18,,D60/D10:,7.78,,1.65,0.75,1.22,,D60/D10:,6.75,,1.65,0.38,1.14,,D60/D10:,6.62,,1.65,0.31,1.01,,D60/D10:,5.92,,1.65,0.35,1.35,,D60/D10:,5.14,,1.65,0.45,1.26,,D60/D10:,5.22,,1.65,0.43,1.04,,D60/D10:,6.86,,1.65,0.43,1.08,,D60/D10:,7.12,,1.65,0.63,1.32,,D60/D10:,6.08,,1.65,0.55,1.39,,D60/D10:,6.28,,1.65,0.35,1.06,,D60/D10:,6.21,,1.65,0.36,1.08,,D60/D10:,5.64,,1.65,0.51,1.15,,D60/D10:,7.11,,1.65,0.56,1.24,,D60/D10:,6.11,,1.65,0.61,1.2,,D60/D10:,6.56,,1.65,0.51,1.21,,D60/D10:,5.87,,1.65,0.33,1.24,,D60/D10:,5.21,,1.65,0.33,1.15,,D60/D10:,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
