Size (um),T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
7.33,0.87,1.35,1.34,1.75,1.41,1.53,1.96,1.67,1.81,0.63,0.94,0.78,1.12,1.55,1.55,0.96,1.91,1.82,1.15,0.87,2.13,1.55,0.77
8.65,0.99,1.54,1.48,1.91,1.56,1.71,2.18,1.81,2.01,0.69,1.05,0.87,1.27,1.76,1.75,1.11,2.27,2.13,1.32,1,2.39,1.74,0.87
10.21,1.15,1.78,1.67,2.1,1.73,1.93,2.43,2,2.27,0.78,1.21,0.99,1.44,2,2.01,1.3,2.72,2.52,1.55,1.17,2.68,1.97,1.01
12.05,1.35,2.08,1.93,2.35,1.97,2.23,2.81,2.24,2.6,0.91,1.39,1.15,1.63,2.3,2.35,1.53,3.29,3.001,1.83,1.4,3.03,2.25,1.18
14.22,1.64,2.48,2.33,2.75,2.38,2.71,3.43,2.59,3.12,1.13,1.65,1.38,1.9,2.75,2.84,1.86,4.17,3.74,2.22,1.76,3.53,2.63,1.43
16.78,2.02,2.98,2.89,3.27,2.97,3.37,4.29,3.04,3.78,1.45,1.98,1.72,2.24,3.32,3.52,2.31,5.31,4.73,2.74,2.28,4.13,3.11,1.79
19.81,2.45,3.55,3.61,3.88,3.76,4.3,5.43,3.57,4.61,1.85,2.38,2.18,2.66,4.01,4.46,2.9,6.78,6.01,3.4,2.99,4.87,3.72,2.28
23.37,2.91,4.16,4.45,4.51,4.66,5.34,6.71,4.09,5.42,2.26,2.85,2.8,3.17,4.79,5.67,3.64,8.47,7.43,4.2,3.94,5.67,4.45,2.90
27.58,3.43,4.89,5.49,5.27,5.85,6.66,8.34,4.7,6.35,2.69,3.48,3.61,3.82,5.85,7.34,4.66,10.6,9.27,5.18,5.18,6.73,5.4,3.71
32.55,4.13,5.79,6.79,6.22,7.39,8.31,10.32,5.38,7.44,3.25,4.3,4.61,4.57,7.27,9.42,5.98,13.29,11.61,6.27,6.68,8.01,6.58,4.67
38.41,5.18,7.03,8.54,7.53,9.44,10.42,12.87,6.36,8.89,4.09,5.4,5.88,5.56,9.15,12.12,7.72,16.83,14.65,7.55,8.57,9.61,8.13,5.84
45.32,6.32,8.4,10.7,9.34,12.08,12.86,15.91,7.68,10.75,5.1,6.59,7.29,6.84,11.27,15.56,9.64,20.88,18.17,9.02,10.78,11.63,10.01,7.15
53.48,7.58,9.83,12.92,11.38,14.85,15.05,18.75,9.06,12.79,6.13,7.72,8.61,8.26,13.34,18.37,11.48,24.86,21.64,10.38,12.87,13.68,12.02,8.39
63.11,9.08,11.56,15.42,14.12,18.08,16.98,21.74,10.95,15.29,7.19,9.09,9.78,9.96,15.58,20.81,13.51,28.83,24.89,11.65,14.6,16.3,14.39,9.54
74.48,9.94,12.48,17.07,16.69,20.48,17.59,23.29,12.65,17.34,7.78,9.65,10.14,11.23,16.51,21.27,14.17,30.04,25.63,12.3,15.06,18.21,15.87,9.93
87.89,10.91,13.34,18.65,19.78,22.69,17.87,24.49,15.15,19.47,8.53,10.12,9.88,12.19,16.97,20.85,14.34,29.63,24.82,12.55,14.57,19.92,16.77,9.77
103.72,10.8,13.09,18.49,21.37,22.49,16.35,23.19,16.86,19.46,8.26,9.98,8.81,12.28,15.9,18.66,13.32,26.61,21.84,11.93,12.56,20.4,16.27,8.82
122.39,10.32,12.51,18.23,22.35,21.63,14.8,21.82,19.03,18.94,8.05,9.62,7.6,12.16,14.2,16.79,11.95,23.41,19.05,11.22,10.41,20.47,15.29,7.86
144.43,9.57,11.78,17.38,21.88,19.49,12.79,19.86,20.76,17.41,7.46,9.3,6.22,11.7,12.34,14.87,10.56,19.53,15.77,10.13,8.1,20.06,14.04,6.84
170.44,8.83,11.09,16.98,20.56,17.13,11.1,18.55,22.58,15.94,7.26,8.9,5.01,11.26,10.23,13.25,9.17,15.73,12.5,9.13,6.28,19.29,12.67,5.95
201.13,7.9,10.27,15.89,17.39,13.87,8.96,16.35,22.38,13.61,6.81,8.21,3.84,10.54,7.88,10.54,7.72,12.17,9.45,7.85,4.55,17.33,10.93,4.97
237.35,7.14,9.74,15.46,15.45,12.04,7.84,15.89,23.07,12.46,6.61,7.82,2.99,10.11,6.46,8.54,6.79,9.78,7.44,6.82,3.34,16.58,9.58,4.50
280.09,6.4,9.15,14.69,14.84,11.18,7.52,16.53,22.32,12.29,6.34,7.22,2.27,9.45,5.8,6.79,5.8,8.33,6.45,5.77,2.4,16.72,8.2,3.40
330.52,5.74,8.55,13.95,14.53,10.85,7.49,17.34,19.82,12.26,6.22,6.62,1.76,8.75,5.33,5.81,5.04,7.42,5.84,4.88,1.79,16.89,7.14,2.75
390.04,5.1,7.62,12.36,12.67,9.43,6.7,15.24,17.57,10.84,5.64,5.65,1.41,7.64,4.37,5.44,4.33,6.28,4.97,4.14,1.42,15.05,6.1,2.22
460.27,4.81,7.14,10.96,10.26,7.83,5.7,12.05,21.39,8.88,5.04,4.96,1.38,7,3.54,6.03,4.13,5.62,4.42,3.97,1.49,12.3,5.83,2.09
