Date_Time,P4_WSE,P4_gw_left,P4_gw_right,P4_h_left,P4_h_right,P4_h_average
2021-08-04 00:00:00,2733.078391,2732.064448,2732.486317,-1.0139429999999265,-0.5920740000001388,-0.8030085000000327
2021-08-04 00:30:00,2733.079171,2732.065228,2732.486087,-1.0139429999999265,-0.5930839999996351,-0.8035134999997808
2021-08-04 00:45:00,2733.076458,2732.062693,2732.485831,-1.0137650000001486,-0.5906270000000404,-0.8021960000000945
2021-08-04 01:00:00,2733.077815,2732.065032,2732.485149,-1.0127830000001268,-0.5926660000000084,-0.8027245000000676
2021-08-04 01:15:00,2733.078391,2732.062967,2732.485019,-1.0154240000001664,-0.5933719999998175,-0.804397999999992
2021-08-04 01:45:00,2733.079557,2732.065615,2732.487484,-1.0139420000000428,-0.5920729999998002,-0.8030074999999215
2021-08-04 02:15:00,2733.078781,2732.06484,2732.483659,-1.013941000000159,-0.595122000000174,-0.8045315000001665
2021-08-04 02:30:00,2733.079171,2732.06523,2732.481455,-1.0139409999997042,-0.5977159999997639,-0.805828499999734
2021-08-04 02:45:00,2733.078391,2732.062969,2732.483722,-1.015421999999944,-0.5946690000000672,-0.8050455000000056
2021-08-04 03:15:00,2733.079561,2732.067369,2732.487488,-1.012192000000141,-0.5920729999998002,-0.8021324999999706
2021-08-04 03:30:00,2733.079561,2732.06562,2732.484439,-1.013941000000159,-0.595122000000174,-0.8045315000001665
2021-08-04 03:45:00,2733.078984,2732.062971,2732.488938,-1.0160130000003846,-0.5900460000002568,-0.8030295000003207
2021-08-04 04:00:00,2733.08015,2732.064138,2732.486191,-1.0160119999995914,-0.5939589999998134,-0.8049854999997024
2021-08-04 04:15:00,2733.078984,2732.067192,2732.485891,-1.0117920000002414,-0.5930930000004082,-0.8024425000003248
2021-08-04 04:30:00,2733.079567,2732.066296,2732.489522,-1.013271000000259,-0.590045000000373,-0.801658000000316
2021-08-04 05:15:00,2733.078401,2732.062388,2732.485306,-1.0160130000003846,-0.5930950000001758,-0.8045540000002802
2021-08-04 05:45:00,2733.079761,2732.065498,2732.489715,-1.0142630000000281,-0.590045999999802,-0.8021544999999151
2021-08-04 06:00:00,2733.079364,2732.063942,2732.486281,-1.015421999999944,-0.5930830000002061,-0.8042525000000751
2021-08-04 06:15:00,2733.078588,2732.066396,2732.48855,-1.0121919999996862,-0.5900379999998222,-0.8011149999997542
2021-08-04 06:30:00,2733.078391,2732.064449,2732.485308,-1.0139420000000428,-0.5930830000002061,-0.8035125000001244
2021-08-04 06:45:00,2733.079364,2732.068655,2732.48933,-1.0107090000001335,-0.590034000000287,-0.8003715000002103
2021-08-04 07:00:00,2733.08092,2732.07021,2732.485801,-1.0107100000000173,-0.5951190000000679,-0.8029145000000426
2021-08-04 07:15:00,2733.079557,2732.065616,2732.485733,-1.013941000000159,-0.5938240000000405,-0.8038825000000998
2021-08-04 08:00:00,2733.079557,2732.067366,2732.486475,-1.0121909999998024,-0.5930819999998675,-0.802636499999835
