Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,17.7386,55.76317328,55.76317328,44.23682672
0.85,2.5945,8.156086336,63.91925962,36.08074038
0.3,8.6206,27.09977177,91.01903139,8.980968608
0.25,0.5675,1.783996529,92.80302792,7.196972078
0.125,1.1733,3.688393177,96.4914211,3.508578901
0.063,0.5665,1.780852923,98.27227402,1.727725978
0.053,0.1283,0.403324678,98.6755987,1.3244013
0.038,0.1902,0.597913903,99.2735126,0.726487397
0.025,0.1108,0.348311569,99.62182417,0.378175828
pan,0.1203,0.378175828,100,0
TOTAL,31.8106,,,
,,,,
